frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y,face_4_tl_x,face_4_tl_y,face_4_br_x,face_4_br_y
37365,20:45.500,20:45.503,3,1652.0,702.0,1813.0,909.0,1192.0,774.0,1341.0,988.0,713.0,780.0,846.0,961.0,,,,,,,,
37380,20:46.000,20:46.003,3,1587.0,612.0,1745.0,825.0,639.0,713.0,779.0,902.0,1133.0,702.0,1279.0,907.0,,,,,,,,
37395,20:46.500,20:46.503,3,1555.0,560.0,1713.0,778.0,604.0,672.0,745.0,867.0,1098.0,657.0,1245.0,866.0,,,,,,,,
37410,20:47.000,20:47.003,3,1086.0,655.0,1231.0,875.0,592.0,673.0,733.0,864.0,1540.0,567.0,1696.0,780.0,,,,,,,,
37425,20:47.500,20:47.503,3,1531.0,564.0,1688.0,776.0,589.0,671.0,730.0,863.0,1081.0,659.0,1228.0,866.0,,,,,,,,
37440,20:48.000,20:48.003,3,1523.0,565.0,1680.0,776.0,1080.0,650.0,1226.0,863.0,589.0,663.0,730.0,853.0,,,,,,,,
37455,20:48.500,20:48.503,3,1089.0,666.0,1239.0,877.0,1537.0,570.0,1692.0,784.0,590.0,688.0,731.0,875.0,,,,,,,,
37470,20:49.000,20:49.003,3,1719.0,532.0,1887.0,753.0,777.0,659.0,908.0,835.0,1249.0,628.0,1399.0,837.0,,,,,,,,
37485,20:49.500,20:49.505,3,1850.0,527.0,2029.0,749.0,898.0,655.0,1025.0,837.0,1344.0,620.0,1497.0,832.0,,,,,,,,
37500,20:50.000,20:50.005,3,1785.0,566.0,1960.0,789.0,837.0,687.0,965.0,867.0,1295.0,668.0,1444.0,880.0,,,,,,,,
37515,20:50.500,20:50.505,3,1779.0,589.0,1950.0,814.0,838.0,708.0,967.0,889.0,1298.0,689.0,1447.0,899.0,,,,,,,,
37530,20:51.000,20:51.005,3,1782.0,582.0,1954.0,805.0,840.0,699.0,968.0,879.0,1313.0,682.0,1460.0,891.0,,,,,,,,
37545,20:51.500,20:51.505,3,829.0,651.0,957.0,827.0,1775.0,576.0,1947.0,806.0,1292.0,655.0,1436.0,863.0,,,,,,,,
37560,20:52.000,20:52.005,3,640.0,680.0,779.0,862.0,1578.0,639.0,1738.0,856.0,1111.0,702.0,1256.0,904.0,,,,,,,,
37575,20:52.500,20:52.505,3,1671.0,762.0,1838.0,984.0,742.0,693.0,874.0,869.0,1193.0,771.0,1339.0,970.0,,,,,,,,
37590,20:53.000,20:53.005,3,1936.0,776.0,2128.0,1009.0,975.0,707.0,1100.0,876.0,1420.0,779.0,1569.0,982.0,,,,,,,,
37605,20:53.500,20:53.505,3,1869.0,709.0,2058.0,940.0,920.0,688.0,1043.0,859.0,1371.0,736.0,1517.0,937.0,,,,,,,,
37620,20:54.000,20:54.007,3,1809.0,675.0,1987.0,899.0,869.0,676.0,993.0,855.0,1320.0,717.0,1466.0,918.0,,,,,,,,
37635,20:54.500,20:54.507,3,1456.0,620.0,1612.0,831.0,501.0,660.0,642.0,853.0,989.0,683.0,1136.0,884.0,,,,,,,,
37650,20:55.000,20:55.007,3,1308.0,602.0,1457.0,808.0,309.0,665.0,463.0,864.0,835.0,668.0,985.0,876.0,,,,,,,,
37665,20:55.500,20:55.507,3,1363.0,627.0,1513.0,828.0,893.0,710.0,1040.0,908.0,388.0,705.0,539.0,902.0,,,,,,,,
37680,20:56.000,20:56.007,3,828.0,721.0,980.0,925.0,318.0,746.0,474.0,941.0,1305.0,616.0,1456.0,815.0,,,,,,,,
37696,20:56.500,20:56.532,3,311.0,727.0,467.0,926.0,820.0,710.0,972.0,913.0,1312.0,608.0,1458.0,805.0,,,,,,,,
37711,20:57.000,20:57.032,3,283.0,730.0,442.0,926.0,1313.0,572.0,1456.0,775.0,805.0,696.0,958.0,898.0,,,,,,,,
37726,20:57.500,20:57.532,3,212.0,878.0,379.0,1081.0,746.0,797.0,904.0,1008.0,1261.0,653.0,1400.0,841.0,,,,,,,,
37740,20:58.000,20:58.000,3,1247.0,858.0,1388.0,1041.0,191.0,1185.0,363.0,1393.0,742.0,1053.0,905.0,1263.0,,,,,,,,
37755,20:58.500,20:58.500,2,516.0,984.0,694.0,1194.0,1049.0,767.0,1190.0,950.0,,,,,,,,,,,,
37770,20:59.000,20:59.000,3,-2.0,1008.0,188.0,1225.0,603.0,893.0,771.0,1109.0,1149.0,721.0,1291.0,912.0,,,,,,,,
37785,20:59.500,20:59.500,3,411.0,912.0,562.0,1102.0,913.0,860.0,1065.0,1061.0,1457.0,744.0,1602.0,936.0,,,,,,,,
37800,21:00.000,21:00.000,2,1619.0,800.0,1779.0,1005.0,1174.0,818.0,1294.0,984.0,,,,,,,,,,,,
37815,21:00.500,21:00.500,3,1972.0,727.0,2156.0,941.0,936.0,815.0,1057.0,984.0,1376.0,808.0,1523.0,1007.0,,,,,,,,
37831,21:01.000,21:01.000,3,766.0,863.0,893.0,1037.0,1737.0,738.0,1903.0,947.0,1214.0,843.0,1361.0,1040.0,,,,,,,,
37846,21:01.500,21:01.500,3,656.0,891.0,787.0,1067.0,1629.0,739.0,1785.0,944.0,1113.0,856.0,1259.0,1049.0,,,,,,,,
37861,21:02.000,21:02.000,3,912.0,998.0,1064.0,1205.0,403.0,1043.0,556.0,1244.0,1430.0,884.0,1581.0,1084.0,,,,,,,,
37876,21:02.500,21:02.502,3,885.0,956.0,1039.0,1162.0,372.0,1029.0,526.0,1226.0,1396.0,829.0,1540.0,1013.0,,,,,,,,
37891,21:03.000,21:03.002,3,885.0,904.0,1036.0,1106.0,374.0,953.0,528.0,1149.0,1397.0,786.0,1542.0,978.0,,,,,,,,
37906,21:03.500,21:03.502,3,369.0,932.0,526.0,1134.0,879.0,868.0,1034.0,1074.0,1375.0,737.0,1523.0,928.0,,,,,,,,
37921,21:04.000,21:04.002,3,910.0,868.0,1061.0,1069.0,403.0,914.0,555.0,1109.0,1406.0,742.0,1552.0,939.0,,,,,,,,
37936,21:04.500,21:04.502,3,276.0,875.0,437.0,1076.0,814.0,855.0,964.0,1060.0,1347.0,767.0,1490.0,964.0,,,,,,,,
37951,21:05.000,21:05.002,3,247.0,917.0,413.0,1120.0,795.0,889.0,948.0,1094.0,1333.0,797.0,1477.0,997.0,,,,,,,,
37966,21:05.500,21:05.502,3,248.0,946.0,413.0,1149.0,801.0,889.0,956.0,1096.0,1335.0,778.0,1475.0,972.0,,,,,,,,
37981,21:06.000,21:06.002,3,1459.0,664.0,1606.0,874.0,433.0,805.0,582.0,995.0,950.0,774.0,1098.0,972.0,,,,,,,,
37996,21:06.500,21:06.503,3,304.0,942.0,464.0,1143.0,849.0,901.0,999.0,1107.0,1349.0,793.0,1490.0,989.0,,,,,,,,
38011,21:07.000,21:07.003,3,312.0,919.0,471.0,1117.0,852.0,878.0,1000.0,1079.0,1345.0,773.0,1487.0,966.0,,,,,,,,
38026,21:07.500,21:07.503,3,920.0,844.0,1052.0,1033.0,361.0,876.0,513.0,1067.0,1385.0,746.0,1528.0,936.0,,,,,,,,
38041,21:08.000,21:08.003,3,380.0,868.0,534.0,1058.0,1397.0,736.0,1541.0,934.0,961.0,841.0,1085.0,1033.0,,,,,,,,
38056,21:08.500,21:08.503,3,338.0,904.0,493.0,1099.0,1368.0,783.0,1509.0,975.0,937.0,884.0,1061.0,1078.0,,,,,,,,
38071,21:09.000,21:09.003,3,303.0,901.0,463.0,1101.0,915.0,883.0,1038.0,1076.0,1340.0,777.0,1481.0,973.0,,,,,,,,
38086,21:09.500,21:09.503,3,335.0,898.0,490.0,1091.0,934.0,883.0,1055.0,1076.0,1360.0,786.0,1506.0,978.0,,,,,,,,
38101,21:10.000,21:10.003,3,993.0,888.0,1112.0,1081.0,409.0,877.0,560.0,1072.0,1419.0,801.0,1566.0,1000.0,,,,,,,,
38116,21:10.500,21:10.503,3,981.0,924.0,1104.0,1113.0,401.0,919.0,556.0,1118.0,1403.0,822.0,1549.0,1018.0,,,,,,,,
38131,21:11.000,21:11.005,3,991.0,938.0,1112.0,1133.0,417.0,932.0,567.0,1127.0,1405.0,848.0,1553.0,1041.0,,,,,,,,
38146,21:11.500,21:11.505,3,270.0,904.0,436.0,1108.0,882.0,907.0,1008.0,1100.0,1307.0,817.0,1445.0,1007.0,,,,,,,,
38161,21:12.000,21:12.005,3,217.0,871.0,383.0,1071.0,1269.0,808.0,1409.0,994.0,841.0,880.0,966.0,1077.0,,,,,,,,
38176,21:12.500,21:12.505,3,237.0,824.0,407.0,1030.0,1289.0,758.0,1431.0,952.0,860.0,844.0,983.0,1033.0,,,,,,,,
38191,21:13.000,21:13.005,3,303.0,728.0,464.0,929.0,1338.0,653.0,1479.0,847.0,909.0,738.0,1032.0,928.0,,,,,,,,
38206,21:13.500,21:13.505,3,924.0,739.0,1048.0,927.0,321.0,738.0,480.0,933.0,1349.0,646.0,1492.0,838.0,,,,,,,,
38221,21:14.000,21:14.005,3,413.0,752.0,564.0,945.0,1425.0,662.0,1568.0,865.0,991.0,754.0,1114.0,948.0,,,,,,,,
38236,21:14.500,21:14.505,3,330.0,756.0,488.0,952.0,926.0,746.0,1050.0,941.0,1355.0,659.0,1497.0,846.0,,,,,,,,
38251,21:15.000,21:15.007,3,287.0,783.0,450.0,982.0,839.0,762.0,985.0,964.0,1317.0,656.0,1460.0,849.0,,,,,,,,
38266,21:15.500,21:15.507,3,300.0,780.0,462.0,977.0,812.0,760.0,963.0,966.0,1325.0,654.0,1466.0,845.0,,,,,,,,
38281,21:16.000,21:16.007,3,311.0,828.0,472.0,1028.0,812.0,821.0,962.0,1026.0,1330.0,722.0,1471.0,910.0,,,,,,,,
38297,21:16.500,21:16.532,3,350.0,801.0,509.0,1003.0,844.0,789.0,997.0,998.0,1356.0,700.0,1499.0,891.0,,,,,,,,
38312,21:17.000,21:17.032,3,845.0,732.0,998.0,935.0,335.0,738.0,493.0,936.0,1345.0,628.0,1487.0,826.0,,,,,,,,
38327,21:17.500,21:17.532,3,292.0,733.0,453.0,935.0,739.0,754.0,904.0,956.0,1313.0,619.0,1455.0,819.0,,,,,,,,
38342,21:18.000,21:18.032,3,297.0,728.0,460.0,930.0,710.0,758.0,883.0,963.0,1322.0,610.0,1464.0,808.0,,,,,,,,
38357,21:18.500,21:18.532,3,310.0,723.0,472.0,935.0,754.0,733.0,917.0,946.0,1330.0,608.0,1473.0,807.0,,,,,,,,
38372,21:19.000,21:19.032,3,820.0,762.0,974.0,972.0,334.0,771.0,492.0,968.0,1344.0,652.0,1487.0,847.0,,,,,,,,
38386,21:19.500,21:19.500,2,344.0,921.0,533.0,1163.0,934.0,807.0,1077.0,997.0,,,,,,,,,,,,
38401,21:20.000,21:20.000,0,,,,,,,,,,,,,,,,,,,,
38416,21:20.500,21:20.500,0,,,,,,,,,,,,,,,,,,,,
38431,21:21.000,21:21.000,1,474.0,845.0,638.0,1055.0,,,,,,,,,,,,,,,,
38446,21:21.500,21:21.500,3,1797.0,636.0,1964.0,849.0,878.0,651.0,996.0,831.0,1257.0,694.0,1399.0,898.0,,,,,,,,
38461,21:22.000,21:22.000,3,875.0,649.0,1005.0,824.0,1832.0,657.0,2002.0,876.0,1282.0,711.0,1427.0,912.0,,,,,,,,
38476,21:22.500,21:22.500,3,908.0,744.0,1054.0,940.0,1450.0,675.0,1583.0,866.0,417.0,700.0,567.0,894.0,,,,,,,,
38491,21:23.000,21:23.000,3,1008.0,710.0,1142.0,911.0,488.0,679.0,634.0,873.0,1502.0,626.0,1651.0,823.0,,,,,,,,
38506,21:23.500,21:23.500,3,1723.0,628.0,1888.0,834.0,753.0,694.0,877.0,874.0,1238.0,718.0,1371.0,913.0,,,,,,,,
38521,21:24.000,21:24.002,3,2171.0,653.0,2386.0,885.0,1093.0,732.0,1208.0,903.0,1514.0,752.0,1655.0,964.0,,,,,,,,
38536,21:24.500,21:24.502,3,2245.0,688.0,2451.0,918.0,1146.0,734.0,1261.0,908.0,1558.0,769.0,1685.0,968.0,,,,,,,,
38551,21:25.000,21:25.002,3,1957.0,768.0,2143.0,989.0,950.0,795.0,1073.0,972.0,1355.0,844.0,1460.0,1024.0,,,,,,,,
38566,21:25.500,21:25.502,3,797.0,838.0,928.0,1017.0,1753.0,799.0,1920.0,1006.0,1191.0,887.0,1289.0,1061.0,,,,,,,,
38581,21:26.000,21:26.002,3,600.0,730.0,739.0,915.0,1550.0,693.0,1702.0,889.0,1007.0,784.0,1104.0,952.0,,,,,,,,
38596,21:26.500,21:26.502,3,1896.0,636.0,2075.0,850.0,928.0,691.0,1050.0,865.0,1315.0,730.0,1420.0,903.0,,,,,,,,
38611,21:27.000,21:27.002,3,1197.0,706.0,1315.0,876.0,1610.0,715.0,1750.0,918.0,2273.0,625.0,2472.0,853.0,,,,,,,,
38626,21:27.500,21:27.502,2,1687.0,648.0,1854.0,865.0,1218.0,646.0,1339.0,821.0,,,,,,,,,,,,
38641,21:28.000,21:28.003,3,1630.0,632.0,1793.0,855.0,1162.0,635.0,1281.0,810.0,2240.0,533.0,2445.0,769.0,,,,,,,,
38656,21:28.500,21:28.503,3,1589.0,633.0,1747.0,852.0,2189.0,523.0,2406.0,763.0,1130.0,638.0,1252.0,809.0,,,,,,,,
38671,21:29.000,21:29.003,3,2142.0,509.0,2351.0,741.0,1575.0,628.0,1733.0,848.0,1121.0,633.0,1243.0,817.0,,,,,,,,
38686,21:29.500,21:29.503,3,2115.0,521.0,2327.0,759.0,1118.0,622.0,1240.0,798.0,1568.0,629.0,1725.0,842.0,,,,,,,,
38701,21:30.000,21:30.003,3,2104.0,526.0,2310.0,760.0,1111.0,626.0,1232.0,799.0,1547.0,629.0,1702.0,837.0,,,,,,,,
38716,21:30.500,21:30.503,3,2070.0,524.0,2275.0,757.0,1507.0,628.0,1661.0,832.0,1082.0,636.0,1205.0,808.0,,,,,,,,
38731,21:31.000,21:31.003,3,2066.0,519.0,2271.0,751.0,1509.0,628.0,1663.0,831.0,1078.0,639.0,1198.0,810.0,,,,,,,,
38746,21:31.500,21:31.503,3,1036.0,647.0,1157.0,818.0,2015.0,516.0,2211.0,748.0,1475.0,631.0,1628.0,836.0,,,,,,,,
38761,21:32.000,21:32.003,3,2033.0,503.0,2227.0,729.0,1485.0,622.0,1638.0,827.0,1055.0,637.0,1179.0,809.0,,,,,,,,
38776,21:32.500,21:32.505,3,2025.0,508.0,2219.0,735.0,1484.0,625.0,1637.0,831.0,1040.0,639.0,1164.0,817.0,,,,,,,,
38791,21:33.000,21:33.005,3,2036.0,510.0,2233.0,735.0,1047.0,644.0,1171.0,819.0,1492.0,629.0,1644.0,834.0,,,,,,,,
38806,21:33.500,21:33.505,3,2031.0,514.0,2229.0,743.0,1058.0,641.0,1182.0,822.0,1486.0,631.0,1639.0,838.0,,,,,,,,
38821,21:34.000,21:34.005,3,2031.0,516.0,2231.0,750.0,1070.0,634.0,1195.0,807.0,1486.0,632.0,1639.0,839.0,,,,,,,,
38836,21:34.500,21:34.505,3,2006.0,700.0,2199.0,926.0,1038.0,778.0,1160.0,952.0,1467.0,788.0,1619.0,1000.0,,,,,,,,
38851,21:35.000,21:35.005,3,1940.0,716.0,2127.0,944.0,1413.0,798.0,1564.0,1010.0,984.0,779.0,1107.0,959.0,,,,,,,,
38866,21:35.500,21:35.505,3,1912.0,700.0,2094.0,923.0,960.0,720.0,1084.0,895.0,1389.0,762.0,1535.0,963.0,,,,,,,,
38881,21:36.000,21:36.005,3,1868.0,714.0,2046.0,936.0,918.0,740.0,1043.0,916.0,1349.0,774.0,1496.0,980.0,,,,,,,,
38897,21:36.500,21:36.532,3,1863.0,851.0,2038.0,1064.0,908.0,885.0,1035.0,1062.0,1341.0,913.0,1492.0,1124.0,,,,,,,,
38912,21:37.000,21:37.032,3,2022.0,805.0,2214.0,1032.0,1040.0,809.0,1164.0,983.0,1472.0,854.0,1626.0,1066.0,,,,,,,,
38927,21:37.500,21:37.532,3,2149.0,746.0,2360.0,976.0,1563.0,770.0,1720.0,979.0,1133.0,701.0,1255.0,871.0,,,,,,,,
38942,21:38.000,21:38.032,3,2124.0,746.0,2330.0,977.0,1545.0,772.0,1701.0,983.0,1117.0,703.0,1240.0,881.0,,,,,,,,
38957,21:38.500,21:38.532,3,2045.0,727.0,2241.0,956.0,1492.0,766.0,1645.0,970.0,1066.0,699.0,1190.0,875.0,,,,,,,,
38972,21:39.000,21:39.032,3,2003.0,725.0,2197.0,957.0,1465.0,767.0,1616.0,978.0,1040.0,703.0,1164.0,877.0,,,,,,,,
38987,21:39.500,21:39.532,3,1991.0,712.0,2182.0,936.0,1033.0,686.0,1156.0,859.0,1458.0,752.0,1607.0,965.0,,,,,,,,
39002,21:40.000,21:40.032,3,1990.0,696.0,2180.0,920.0,1034.0,677.0,1158.0,848.0,1451.0,741.0,1601.0,952.0,,,,,,,,
39017,21:40.500,21:40.532,3,1999.0,680.0,2191.0,906.0,1458.0,727.0,1609.0,943.0,1042.0,668.0,1167.0,846.0,,,,,,,,
39031,21:41.000,21:41.000,3,2001.0,658.0,2193.0,887.0,1455.0,715.0,1605.0,927.0,1026.0,666.0,1151.0,839.0,,,,,,,,
39046,21:41.500,21:41.508,3,2006.0,651.0,2198.0,880.0,1013.0,655.0,1135.0,828.0,1459.0,700.0,1612.0,909.0,,,,,,,,
39061,21:42.000,21:42.000,3,1953.0,646.0,2142.0,872.0,1421.0,691.0,1571.0,904.0,979.0,639.0,1101.0,816.0,,,,,,,,
39076,21:42.500,21:42.500,3,636.0,671.0,773.0,860.0,1575.0,661.0,1730.0,860.0,1103.0,720.0,1246.0,922.0,,,,,,,,
39091,21:43.000,21:43.000,3,926.0,720.0,1072.0,928.0,429.0,675.0,579.0,872.0,1394.0,662.0,1541.0,862.0,,,,,,,,
39106,21:43.500,21:43.500,3,481.0,654.0,629.0,844.0,964.0,691.0,1110.0,901.0,1438.0,637.0,1590.0,841.0,,,,,,,,
39121,21:44.000,21:44.000,3,511.0,661.0,657.0,853.0,1460.0,636.0,1611.0,837.0,988.0,696.0,1134.0,900.0,,,,,,,,
39136,21:44.500,21:44.500,3,531.0,666.0,674.0,855.0,1480.0,621.0,1630.0,829.0,1003.0,692.0,1150.0,900.0,,,,,,,,
39151,21:45.000,21:45.002,3,259.0,694.0,425.0,903.0,790.0,729.0,941.0,941.0,1282.0,647.0,1421.0,841.0,,,,,,,,
39166,21:45.500,21:45.502,3,529.0,759.0,698.0,988.0,1067.0,676.0,1206.0,875.0,-76.0,739.0,98.0,960.0,,,,,,,,
39181,21:46.000,21:46.002,2,424.0,759.0,600.0,996.0,990.0,675.0,1130.0,872.0,,,,,,,,,,,,
39196,21:46.500,21:46.502,2,443.0,745.0,619.0,977.0,1021.0,668.0,1158.0,855.0,,,,,,,,,,,,
39211,21:47.000,21:47.002,3,521.0,984.0,696.0,1210.0,1071.0,818.0,1209.0,1002.0,-78.0,1042.0,103.0,1281.0,,,,,,,,
39226,21:47.500,21:47.502,2,334.0,942.0,530.0,1191.0,915.0,760.0,1058.0,948.0,,,,,,,,,,,,
39241,21:48.000,21:48.002,2,404.0,879.0,589.0,1118.0,968.0,710.0,1107.0,897.0,,,,,,,,,,,,
39256,21:48.500,21:48.502,2,434.0,840.0,613.0,1071.0,993.0,677.0,1131.0,864.0,,,,,,,,,,,,
39271,21:49.000,21:49.002,2,453.0,815.0,632.0,1049.0,1022.0,673.0,1156.0,855.0,,,,,,,,,,,,
39286,21:49.500,21:49.503,2,477.0,789.0,657.0,1024.0,1044.0,661.0,1180.0,845.0,,,,,,,,,,,,
39301,21:50.000,21:50.003,3,547.0,767.0,717.0,993.0,1094.0,638.0,1232.0,830.0,-73.0,799.0,122.0,1037.0,,,,,,,,
39316,21:50.500,21:50.503,3,984.0,727.0,1131.0,927.0,1494.0,614.0,1636.0,801.0,506.0,727.0,651.0,925.0,,,,,,,,
39331,21:51.000,21:51.003,3,2134.0,587.0,2338.0,819.0,1517.0,703.0,1673.0,914.0,1086.0,692.0,1209.0,869.0,,,,,,,,
39346,21:51.500,21:51.503,3,1510.0,796.0,1666.0,1012.0,2124.0,703.0,2323.0,928.0,1083.0,783.0,1205.0,964.0,,,,,,,,
39361,21:52.000,21:52.003,3,1521.0,790.0,1677.0,1006.0,2148.0,716.0,2351.0,947.0,1096.0,760.0,1217.0,933.0,,,,,,,,
39376,21:52.500,21:52.503,3,1086.0,773.0,1206.0,945.0,1505.0,818.0,1660.0,1033.0,2136.0,783.0,2338.0,1009.0,,,,,,,,
39391,21:53.000,21:53.003,3,1999.0,830.0,2181.0,1046.0,1402.0,868.0,1552.0,1076.0,981.0,816.0,1106.0,995.0,,,,,,,,
39406,21:53.500,21:53.505,3,1502.0,881.0,1658.0,1094.0,1081.0,814.0,1203.0,992.0,2144.0,872.0,2344.0,1096.0,,,,,,,,
39421,21:54.000,21:54.005,3,1516.0,786.0,1674.0,1006.0,2158.0,727.0,2359.0,956.0,1090.0,756.0,1212.0,931.0,,,,,,,,
