frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
32203,17:50.500,17:50.503,2,1368.0,828.0,1549.0,1089.0,813.0,925.0,1015.0,1207.0,,,,
32218,17:51.000,17:51.003,2,824.0,954.0,1023.0,1218.0,1386.0,857.0,1562.0,1110.0,,,,
32233,17:51.500,17:51.503,2,842.0,968.0,1040.0,1230.0,1407.0,870.0,1586.0,1128.0,,,,
32248,17:52.000,17:52.003,2,853.0,939.0,1052.0,1213.0,1422.0,860.0,1600.0,1115.0,,,,
32263,17:52.500,17:52.505,2,879.0,911.0,1074.0,1170.0,1448.0,861.0,1626.0,1116.0,,,,
32278,17:53.000,17:53.005,2,1531.0,884.0,1713.0,1145.0,957.0,906.0,1145.0,1161.0,,,,
32293,17:53.500,17:53.505,2,952.0,919.0,1145.0,1183.0,1520.0,908.0,1700.0,1171.0,,,,
32308,17:54.000,17:54.005,2,954.0,898.0,1145.0,1160.0,1513.0,881.0,1693.0,1147.0,,,,
32323,17:54.500,17:54.505,2,934.0,923.0,1125.0,1184.0,1507.0,901.0,1685.0,1158.0,,,,
32338,17:55.000,17:55.005,2,979.0,745.0,1168.0,1009.0,1546.0,746.0,1728.0,1006.0,,,,
32354,17:55.500,17:55.530,2,954.0,926.0,1144.0,1190.0,1534.0,910.0,1715.0,1178.0,,,,
32369,17:56.000,17:56.030,2,951.0,999.0,1140.0,1268.0,1543.0,986.0,1727.0,1257.0,,,,
32384,17:56.500,17:56.532,2,1564.0,933.0,1746.0,1196.0,976.0,954.0,1167.0,1220.0,,,,
32399,17:57.000,17:57.032,2,1004.0,1093.0,1202.0,1378.0,1590.0,1014.0,1786.0,1270.0,,,,
32414,17:57.500,17:57.532,2,1007.0,1040.0,1203.0,1310.0,1591.0,938.0,1785.0,1203.0,,,,
32429,17:58.000,17:58.032,2,998.0,1038.0,1194.0,1298.0,1580.0,927.0,1770.0,1193.0,,,,
32444,17:58.500,17:58.532,2,997.0,1020.0,1194.0,1284.0,1572.0,920.0,1760.0,1181.0,,,,
32459,17:59.000,17:59.032,2,1543.0,910.0,1732.0,1174.0,971.0,1021.0,1168.0,1284.0,,,,
32474,17:59.500,17:59.532,2,972.0,1023.0,1168.0,1294.0,1544.0,909.0,1732.0,1171.0,,,,
32489,18:00.000,18:00.032,2,970.0,1004.0,1168.0,1280.0,1540.0,899.0,1730.0,1156.0,,,,
32503,18:00.500,18:00.500,2,975.0,994.0,1172.0,1271.0,1540.0,896.0,1729.0,1154.0,,,,
32518,18:01.000,18:01.000,2,974.0,989.0,1171.0,1265.0,1576.0,881.0,1752.0,1135.0,,,,
32533,18:01.500,18:01.500,2,974.0,987.0,1171.0,1263.0,1669.0,875.0,1831.0,1121.0,,,,
32548,18:02.000,18:02.000,2,981.0,985.0,1179.0,1264.0,1667.0,871.0,1829.0,1115.0,,,,
32563,18:02.500,18:02.500,2,973.0,986.0,1170.0,1257.0,1665.0,861.0,1829.0,1103.0,,,,
32578,18:03.000,18:03.000,2,972.0,989.0,1171.0,1265.0,1610.0,851.0,1779.0,1072.0,,,,
32593,18:03.500,18:03.500,2,971.0,994.0,1168.0,1272.0,1567.0,859.0,1742.0,1083.0,,,,
32608,18:04.000,18:04.000,2,964.0,998.0,1161.0,1275.0,1477.0,904.0,1672.0,1157.0,,,,
32623,18:04.500,18:04.502,2,959.0,1002.0,1153.0,1276.0,1516.0,901.0,1707.0,1162.0,,,,
32638,18:05.000,18:05.002,2,1611.0,882.0,1799.0,1148.0,985.0,996.0,1183.0,1271.0,,,,
32653,18:05.500,18:05.502,2,1615.0,930.0,1799.0,1190.0,991.0,1033.0,1186.0,1302.0,,,,
32668,18:06.000,18:06.002,2,1515.0,931.0,1695.0,1191.0,931.0,1024.0,1127.0,1285.0,,,,
32683,18:06.500,18:06.502,2,1498.0,934.0,1681.0,1195.0,928.0,1021.0,1127.0,1290.0,,,,
32698,18:07.000,18:07.002,2,1525.0,948.0,1709.0,1207.0,943.0,1038.0,1141.0,1306.0,,,,
32713,18:07.500,18:07.502,2,1539.0,939.0,1719.0,1198.0,940.0,1042.0,1138.0,1307.0,,,,
32728,18:08.000,18:08.002,2,999.0,1029.0,1197.0,1280.0,1593.0,925.0,1776.0,1186.0,,,,
32743,18:08.500,18:08.503,2,1532.0,916.0,1723.0,1176.0,994.0,979.0,1188.0,1244.0,,,,
32758,18:09.000,18:09.003,2,593.0,934.0,800.0,1217.0,1196.0,1021.0,1364.0,1279.0,,,,
32773,18:09.500,18:09.503,2,740.0,884.0,944.0,1152.0,1315.0,1067.0,1490.0,1326.0,,,,
32788,18:10.000,18:10.003,2,799.0,928.0,996.0,1204.0,1357.0,1047.0,1531.0,1310.0,,,,
32803,18:10.500,18:10.503,2,1363.0,1031.0,1538.0,1290.0,823.0,930.0,1018.0,1209.0,,,,
32818,18:11.000,18:11.003,2,1360.0,1034.0,1534.0,1295.0,809.0,939.0,1003.0,1210.0,,,,
32833,18:11.500,18:11.503,2,1370.0,1023.0,1543.0,1280.0,809.0,920.0,1002.0,1197.0,,,,
32848,18:12.000,18:12.003,2,826.0,928.0,1020.0,1196.0,1391.0,1023.0,1572.0,1282.0,,,,
32863,18:12.500,18:12.505,2,1401.0,1039.0,1584.0,1298.0,808.0,949.0,1003.0,1226.0,,,,
32878,18:13.000,18:13.005,2,1414.0,1002.0,1593.0,1258.0,823.0,918.0,1018.0,1202.0,,,,
32893,18:13.500,18:13.505,2,1452.0,987.0,1635.0,1248.0,867.0,919.0,1060.0,1184.0,,,,
32908,18:14.000,18:14.005,2,1436.0,1031.0,1617.0,1289.0,844.0,965.0,1035.0,1254.0,,,,
32923,18:14.500,18:14.505,2,835.0,941.0,1031.0,1222.0,1433.0,1002.0,1612.0,1262.0,,,,
32939,18:15.000,18:15.030,2,1431.0,1003.0,1610.0,1261.0,843.0,956.0,1042.0,1233.0,,,,
32954,18:15.500,18:15.530,2,1452.0,956.0,1634.0,1213.0,871.0,912.0,1065.0,1189.0,,,,
32969,18:16.000,18:16.030,2,836.0,1253.0,1036.0,1508.0,1463.0,1294.0,1651.0,1518.0,,,,
32984,18:16.500,18:16.532,2,1474.0,1052.0,1653.0,1312.0,871.0,1044.0,1065.0,1322.0,,,,
32999,18:17.000,18:17.032,2,1451.0,1068.0,1633.0,1330.0,847.0,1054.0,1043.0,1337.0,,,,
33014,18:17.500,18:17.532,2,848.0,1045.0,1045.0,1324.0,1452.0,1054.0,1633.0,1311.0,,,,
33029,18:18.000,18:18.032,2,848.0,1042.0,1045.0,1314.0,1456.0,1041.0,1637.0,1300.0,,,,
33044,18:18.500,18:18.532,2,839.0,1041.0,1035.0,1307.0,1454.0,1029.0,1635.0,1292.0,,,,
33059,18:19.000,18:19.032,2,848.0,1045.0,1047.0,1317.0,1461.0,1026.0,1640.0,1288.0,,,,
33074,18:19.500,18:19.532,2,852.0,1043.0,1051.0,1311.0,1454.0,1015.0,1634.0,1277.0,,,,
33089,18:20.000,18:20.032,2,856.0,1056.0,1055.0,1332.0,1457.0,1021.0,1636.0,1283.0,,,,
33103,18:20.500,18:20.500,2,1458.0,1013.0,1638.0,1273.0,859.0,1052.0,1060.0,1312.0,,,,
33118,18:21.000,18:21.000,2,1458.0,1012.0,1637.0,1272.0,879.0,1031.0,1078.0,1300.0,,,,
33133,18:21.500,18:21.500,2,1454.0,1012.0,1633.0,1271.0,881.0,1042.0,1080.0,1305.0,,,,
33148,18:22.000,18:22.000,2,1459.0,1006.0,1638.0,1262.0,871.0,1035.0,1066.0,1298.0,,,,
33163,18:22.500,18:22.500,2,1457.0,1000.0,1637.0,1260.0,862.0,1031.0,1057.0,1282.0,,,,
33178,18:23.000,18:23.000,2,860.0,1038.0,1054.0,1289.0,1476.0,997.0,1646.0,1254.0,,,,
33193,18:23.500,18:23.500,2,858.0,1035.0,1054.0,1279.0,1520.0,992.0,1677.0,1239.0,,,,
33208,18:24.000,18:24.000,2,875.0,1000.0,1073.0,1273.0,1515.0,980.0,1674.0,1231.0,,,,
33223,18:24.500,18:24.502,2,883.0,994.0,1080.0,1267.0,1466.0,980.0,1644.0,1232.0,,,,
33238,18:25.000,18:25.002,2,884.0,992.0,1081.0,1270.0,1458.0,977.0,1636.0,1230.0,,,,
33253,18:25.500,18:25.502,2,1426.0,971.0,1604.0,1230.0,885.0,988.0,1083.0,1252.0,,,,
33268,18:26.000,18:26.002,2,1435.0,972.0,1611.0,1232.0,882.0,985.0,1080.0,1257.0,,,,
33283,18:26.500,18:26.502,2,875.0,996.0,1068.0,1268.0,1441.0,972.0,1616.0,1229.0,,,,
33298,18:27.000,18:27.002,2,881.0,989.0,1079.0,1258.0,1452.0,969.0,1629.0,1225.0,,,,
33313,18:27.500,18:27.502,2,1455.0,957.0,1630.0,1212.0,888.0,970.0,1083.0,1236.0,,,,
33328,18:28.000,18:28.002,2,896.0,1081.0,1094.0,1346.0,1473.0,1063.0,1652.0,1323.0,,,,
33343,18:28.500,18:28.503,2,1451.0,996.0,1627.0,1253.0,877.0,1023.0,1073.0,1277.0,,,,
33358,18:29.000,18:29.003,2,1466.0,965.0,1641.0,1222.0,892.0,981.0,1084.0,1240.0,,,,
33373,18:29.500,18:29.503,2,916.0,990.0,1111.0,1257.0,1491.0,980.0,1663.0,1232.0,,,,
33388,18:30.000,18:30.003,2,890.0,987.0,1085.0,1266.0,1469.0,964.0,1642.0,1216.0,,,,
33403,18:30.500,18:30.503,2,866.0,990.0,1063.0,1242.0,1459.0,951.0,1631.0,1199.0,,,,
33418,18:31.000,18:31.003,2,1451.0,817.0,1622.0,1066.0,879.0,845.0,1073.0,1098.0,,,,
33433,18:31.500,18:31.503,2,1448.0,632.0,1622.0,885.0,860.0,649.0,1053.0,903.0,,,,
33448,18:32.000,18:32.003,2,1469.0,637.0,1643.0,890.0,934.0,642.0,1120.0,887.0,,,,
33463,18:32.500,18:32.505,2,1532.0,735.0,1710.0,993.0,1021.0,734.0,1207.0,988.0,,,,
33478,18:33.000,18:33.005,2,1499.0,754.0,1675.0,1015.0,1001.0,757.0,1182.0,1002.0,,,,
33493,18:33.500,18:33.505,2,902.0,691.0,1094.0,934.0,1429.0,685.0,1601.0,934.0,,,,
33508,18:34.000,18:34.005,2,1356.0,605.0,1525.0,850.0,843.0,595.0,1038.0,850.0,,,,
33524,18:34.500,18:34.530,2,1418.0,636.0,1590.0,881.0,887.0,635.0,1076.0,886.0,,,,
33539,18:35.000,18:35.030,2,1540.0,751.0,1718.0,1006.0,922.0,703.0,1109.0,970.0,,,,
33554,18:35.500,18:35.530,2,1477.0,728.0,1657.0,984.0,916.0,747.0,1104.0,1008.0,,,,
33569,18:36.000,18:36.030,2,947.0,775.0,1131.0,1035.0,1484.0,714.0,1658.0,941.0,,,,
33584,18:36.500,18:36.532,2,1497.0,765.0,1672.0,1011.0,962.0,796.0,1146.0,1036.0,,,,
33599,18:37.000,18:37.032,2,1447.0,804.0,1626.0,1059.0,964.0,795.0,1149.0,1048.0,,,,
33614,18:37.500,18:37.532,2,1477.0,859.0,1662.0,1123.0,965.0,872.0,1149.0,1126.0,,,,
33629,18:38.000,18:38.032,2,1467.0,883.0,1641.0,1133.0,940.0,870.0,1127.0,1130.0,,,,
33644,18:38.500,18:38.532,2,943.0,863.0,1136.0,1118.0,1463.0,866.0,1632.0,1103.0,,,,
33659,18:39.000,18:39.032,2,1451.0,869.0,1624.0,1114.0,938.0,858.0,1127.0,1114.0,,,,
33674,18:39.500,18:39.532,2,959.0,845.0,1150.0,1102.0,1442.0,872.0,1614.0,1117.0,,,,
33689,18:40.000,18:40.032,2,963.0,838.0,1152.0,1095.0,1443.0,864.0,1618.0,1108.0,,,,
33703,18:40.500,18:40.500,2,963.0,835.0,1152.0,1092.0,1446.0,863.0,1621.0,1105.0,,,,
33718,18:41.000,18:41.000,2,1450.0,865.0,1625.0,1110.0,970.0,843.0,1162.0,1091.0,,,,
33733,18:41.500,18:41.500,2,978.0,824.0,1168.0,1080.0,1452.0,844.0,1625.0,1091.0,,,,
33748,18:42.000,18:42.000,2,972.0,873.0,1164.0,1124.0,1451.0,889.0,1626.0,1134.0,,,,
