frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
30330,16:26.000,16:26.013,2,764.0,763.0,917.0,977.0,1205.0,804.0,1348.0,1008.0,,,,,,,,
30345,16:26.500,16:26.513,2,757.0,748.0,910.0,963.0,1197.0,788.0,1345.0,996.0,,,,,,,,
30360,16:27.000,16:27.013,2,760.0,752.0,912.0,973.0,1200.0,792.0,1347.0,996.0,,,,,,,,
30375,16:27.500,16:27.513,2,760.0,761.0,912.0,984.0,1203.0,805.0,1347.0,1012.0,,,,,,,,
30390,16:28.000,16:28.013,2,754.0,762.0,908.0,984.0,1199.0,804.0,1343.0,1015.0,,,,,,,,
30405,16:28.500,16:28.513,2,752.0,766.0,906.0,980.0,1194.0,805.0,1337.0,1012.0,,,,,,,,
30420,16:29.000,16:29.015,2,1213.0,803.0,1355.0,1009.0,752.0,769.0,906.0,983.0,,,,,,,,
30435,16:29.500,16:29.515,2,750.0,767.0,902.0,983.0,1206.0,801.0,1348.0,1005.0,,,,,,,,
30450,16:30.000,16:30.015,2,747.0,765.0,900.0,984.0,1199.0,804.0,1342.0,1012.0,,,,,,,,
30465,16:30.500,16:30.515,2,759.0,761.0,912.0,982.0,1205.0,805.0,1349.0,1014.0,,,,,,,,
30480,16:31.000,16:31.015,2,760.0,762.0,912.0,982.0,1208.0,812.0,1351.0,1016.0,,,,,,,,
30495,16:31.500,16:31.515,2,757.0,746.0,911.0,966.0,1195.0,790.0,1343.0,998.0,,,,,,,,
30510,16:32.000,16:32.015,2,753.0,763.0,907.0,982.0,1194.0,810.0,1338.0,1019.0,,,,,,,,
30525,16:32.500,16:32.515,2,753.0,760.0,905.0,982.0,1184.0,807.0,1333.0,1016.0,,,,,,,,
30540,16:33.000,16:33.017,2,755.0,764.0,909.0,985.0,1189.0,806.0,1336.0,1011.0,,,,,,,,
30555,16:33.500,16:33.517,2,756.0,764.0,908.0,984.0,1163.0,807.0,1316.0,1015.0,,,,,,,,
30570,16:34.000,16:34.017,2,1168.0,816.0,1320.0,1027.0,754.0,771.0,906.0,988.0,,,,,,,,
30585,16:34.500,16:34.517,2,1163.0,813.0,1314.0,1029.0,755.0,765.0,907.0,984.0,,,,,,,,
30600,16:35.000,16:35.017,2,1154.0,904.0,1305.0,1121.0,745.0,862.0,895.0,1083.0,,,,,,,,
30615,16:35.500,16:35.517,2,1235.0,888.0,1393.0,1109.0,797.0,862.0,951.0,1087.0,,,,,,,,
30630,16:36.000,16:36.017,2,1325.0,885.0,1507.0,1148.0,821.0,811.0,994.0,1066.0,,,,,,,,
30645,16:36.500,16:36.518,2,1223.0,832.0,1419.0,1114.0,653.0,756.0,855.0,1039.0,,,,,,,,
30660,16:37.000,16:37.018,2,1265.0,749.0,1442.0,995.0,769.0,687.0,942.0,940.0,,,,,,,,
30675,16:37.500,16:37.518,2,1327.0,779.0,1505.0,1029.0,819.0,707.0,992.0,957.0,,,,,,,,
30690,16:38.000,16:38.018,2,1533.0,790.0,1726.0,1052.0,1025.0,737.0,1197.0,985.0,,,,,,,,
30705,16:38.500,16:38.518,2,1384.0,812.0,1566.0,1066.0,872.0,744.0,1046.0,1001.0,,,,,,,,
30720,16:39.000,16:39.018,2,1327.0,791.0,1507.0,1038.0,814.0,738.0,990.0,991.0,,,,,,,,
30735,16:39.500,16:39.518,2,1456.0,788.0,1643.0,1044.0,942.0,734.0,1114.0,992.0,,,,,,,,
30750,16:40.000,16:40.018,2,1497.0,807.0,1687.0,1054.0,983.0,751.0,1152.0,1001.0,,,,,,,,
30765,16:40.500,16:40.520,2,1509.0,797.0,1700.0,1055.0,985.0,741.0,1156.0,996.0,,,,,,,,
30780,16:41.000,16:41.020,2,1480.0,800.0,1668.0,1058.0,955.0,740.0,1126.0,998.0,,,,,,,,
30795,16:41.500,16:41.520,2,1451.0,788.0,1635.0,1041.0,928.0,728.0,1098.0,977.0,,,,,,,,
30810,16:42.000,16:42.020,2,1990.0,756.0,2230.0,1044.0,1415.0,721.0,1592.0,974.0,,,,,,,,
30825,16:42.500,16:42.512,1,1726.0,639.0,1932.0,906.0,,,,,,,,,,,,
30840,16:43.000,16:43.012,2,1591.0,608.0,1782.0,869.0,2231.0,636.0,2475.0,939.0,,,,,,,,
30855,16:43.500,16:43.512,2,1411.0,719.0,1595.0,972.0,892.0,664.0,1070.0,915.0,,,,,,,,
30870,16:44.000,16:44.012,2,899.0,727.0,1072.0,980.0,1412.0,764.0,1595.0,1014.0,,,,,,,,
30885,16:44.500,16:44.513,2,330.0,777.0,539.0,1047.0,911.0,812.0,1089.0,1056.0,,,,,,,,
30900,16:45.000,16:45.013,1,547.0,694.0,744.0,951.0,,,,,,,,,,,,
30915,16:45.500,16:45.513,1,336.0,646.0,556.0,910.0,,,,,,,,,,,,
30930,16:46.000,16:46.013,1,7.0,641.0,269.0,936.0,,,,,,,,,,,,
30945,16:46.500,16:46.513,2,548.0,653.0,730.0,904.0,1066.0,696.0,1236.0,926.0,,,,,,,,
30960,16:47.000,16:47.013,2,917.0,716.0,1077.0,949.0,1405.0,735.0,1577.0,971.0,,,,,,,,
30975,16:47.500,16:47.513,2,1443.0,790.0,1605.0,1013.0,987.0,757.0,1138.0,984.0,,,,,,,,
30990,16:48.000,16:48.013,1,474.0,608.0,649.0,830.0,,,,,,,,,,,,
31005,16:48.500,16:48.515,1,-34.0,652.0,177.0,906.0,,,,,,,,,,,,
31020,16:49.000,16:49.015,0,,,,,,,,,,,,,,,,
31035,16:49.500,16:49.515,0,,,,,,,,,,,,,,,,
31050,16:50.000,16:50.015,0,,,,,,,,,,,,,,,,
31065,16:50.500,16:50.515,2,-18.0,601.0,193.0,862.0,575.0,675.0,739.0,896.0,,,,,,,,
