frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
20488,11:00.000,11:00.027,1,1077.0,712.0,1314.0,1020.0
20503,11:00.500,11:00.527,1,1087.0,724.0,1321.0,1027.0
20518,11:01.000,11:01.027,1,1075.0,720.0,1311.0,1025.0
20533,11:01.500,11:01.527,1,1077.0,719.0,1311.0,1026.0
20548,11:02.000,11:02.027,1,933.0,685.0,1172.0,993.0
20563,11:02.500,11:02.528,1,985.0,677.0,1224.0,984.0
20578,11:03.000,11:03.028,1,984.0,677.0,1222.0,985.0
20593,11:03.500,11:03.528,1,1005.0,700.0,1241.0,1012.0
20608,11:04.000,11:04.028,1,1021.0,698.0,1257.0,1010.0
20623,11:04.500,11:04.528,1,1026.0,712.0,1262.0,1022.0
20638,11:05.000,11:05.028,1,1025.0,720.0,1261.0,1028.0
20653,11:05.500,11:05.528,1,1010.0,726.0,1245.0,1035.0
20668,11:06.000,11:06.028,1,1014.0,722.0,1250.0,1031.0
20683,11:06.500,11:06.530,1,1031.0,686.0,1268.0,995.0
20698,11:07.000,11:07.030,1,1041.0,658.0,1276.0,965.0
20713,11:07.500,11:07.530,1,1046.0,655.0,1283.0,963.0
20728,11:08.000,11:08.030,1,1049.0,663.0,1286.0,975.0
20743,11:08.500,11:08.530,1,1056.0,684.0,1292.0,991.0
20758,11:09.000,11:09.030,1,1056.0,678.0,1293.0,987.0
20773,11:09.500,11:09.530,1,1061.0,697.0,1298.0,1004.0
20788,11:10.000,11:10.032,1,1069.0,731.0,1305.0,1042.0
20803,11:10.500,11:10.532,1,1061.0,734.0,1296.0,1040.0
20818,11:11.000,11:11.032,1,1060.0,730.0,1296.0,1035.0
20833,11:11.500,11:11.532,1,1055.0,729.0,1290.0,1035.0
20848,11:12.000,11:12.032,1,1074.0,665.0,1308.0,974.0
20863,11:12.500,11:12.532,1,1090.0,672.0,1325.0,982.0
20878,11:13.000,11:13.032,1,1087.0,677.0,1321.0,986.0
20893,11:13.500,11:13.532,1,1075.0,736.0,1311.0,1045.0
20907,11:14.000,11:14.000,1,1071.0,723.0,1307.0,1034.0
20922,11:14.500,11:14.500,1,1067.0,699.0,1305.0,1012.0
20937,11:15.000,11:15.000,1,1064.0,701.0,1300.0,1011.0
20952,11:15.500,11:15.500,1,1064.0,717.0,1301.0,1027.0
20967,11:16.000,11:16.000,1,1070.0,728.0,1307.0,1039.0
20982,11:16.500,11:16.500,1,1060.0,695.0,1296.0,1000.0
20997,11:17.000,11:17.000,1,1062.0,696.0,1299.0,999.0
21012,11:17.500,11:17.500,1,1107.0,678.0,1345.0,985.0
21027,11:18.000,11:18.002,1,1100.0,689.0,1340.0,994.0
21042,11:18.500,11:18.502,1,1091.0,712.0,1325.0,1020.0
21058,11:19.000,11:19.027,1,1086.0,717.0,1323.0,1033.0
21073,11:19.500,11:19.527,1,1086.0,710.0,1319.0,1021.0
21088,11:20.000,11:20.027,1,1092.0,714.0,1326.0,1022.0
21103,11:20.500,11:20.527,1,1094.0,712.0,1328.0,1022.0
21118,11:21.000,11:21.027,1,1096.0,718.0,1331.0,1031.0
21133,11:21.500,11:21.527,1,1094.0,718.0,1329.0,1032.0
21148,11:22.000,11:22.028,1,1094.0,729.0,1330.0,1040.0
21163,11:22.500,11:22.528,1,1098.0,729.0,1334.0,1040.0
21178,11:23.000,11:23.028,1,1082.0,714.0,1315.0,1027.0
21193,11:23.500,11:23.528,1,1094.0,734.0,1331.0,1046.0
21208,11:24.000,11:24.028,1,1106.0,714.0,1344.0,1026.0
21223,11:24.500,11:24.528,1,1096.0,724.0,1331.0,1038.0
21238,11:25.000,11:25.028,1,1075.0,758.0,1312.0,1071.0
21253,11:25.500,11:25.528,1,1099.0,536.0,1337.0,852.0
21268,11:26.000,11:26.030,1,1089.0,543.0,1326.0,860.0
21283,11:26.500,11:26.530,1,1075.0,609.0,1309.0,919.0
21298,11:27.000,11:27.030,1,1061.0,614.0,1298.0,918.0
21313,11:27.500,11:27.530,1,1062.0,634.0,1298.0,936.0
21328,11:28.000,11:28.030,1,1054.0,637.0,1290.0,940.0
21343,11:28.500,11:28.530,1,1030.0,607.0,1266.0,919.0
21358,11:29.000,11:29.030,1,1063.0,619.0,1300.0,925.0
21373,11:29.500,11:29.530,1,1078.0,679.0,1314.0,989.0
21388,11:30.000,11:30.032,1,1067.0,674.0,1306.0,983.0
21403,11:30.500,11:30.532,1,1075.0,687.0,1312.0,995.0
21418,11:31.000,11:31.032,1,1080.0,731.0,1317.0,1046.0
21433,11:31.500,11:31.532,1,1074.0,734.0,1309.0,1042.0
21448,11:32.000,11:32.032,1,1071.0,717.0,1309.0,1026.0
21463,11:32.500,11:32.532,1,1157.0,639.0,1391.0,946.0
21478,11:33.000,11:33.032,1,1170.0,618.0,1406.0,922.0
21493,11:33.500,11:33.532,1,1155.0,627.0,1393.0,934.0
21507,11:34.000,11:34.000,1,1151.0,648.0,1386.0,955.0
21522,11:34.500,11:34.500,1,1180.0,686.0,1416.0,991.0
21537,11:35.000,11:35.000,1,1145.0,744.0,1378.0,1050.0
21552,11:35.500,11:35.500,1,1127.0,552.0,1364.0,861.0
21567,11:36.000,11:36.000,1,1135.0,483.0,1370.0,799.0
21582,11:36.500,11:36.500,1,1144.0,321.0,1388.0,653.0
21597,11:37.000,11:37.000,1,1149.0,258.0,1397.0,596.0
21612,11:37.500,11:37.500,1,1146.0,268.0,1391.0,604.0
21628,11:38.000,11:38.027,1,1138.0,297.0,1385.0,634.0
21643,11:38.500,11:38.527,1,1142.0,316.0,1386.0,649.0
21658,11:39.000,11:39.027,1,1139.0,628.0,1376.0,938.0
21673,11:39.500,11:39.527,1,1164.0,663.0,1400.0,971.0
21688,11:40.000,11:40.027,1,1156.0,686.0,1394.0,995.0
21703,11:40.500,11:40.527,1,1154.0,687.0,1390.0,993.0
21718,11:41.000,11:41.027,1,1157.0,668.0,1393.0,977.0
21733,11:41.500,11:41.527,1,1195.0,423.0,1434.0,750.0
21748,11:42.000,11:42.028,1,1175.0,351.0,1421.0,685.0
21763,11:42.500,11:42.528,1,1175.0,351.0,1421.0,687.0
21778,11:43.000,11:43.028,1,1162.0,410.0,1405.0,739.0
21793,11:43.500,11:43.528,1,1146.0,484.0,1383.0,802.0
21808,11:44.000,11:44.028,1,1151.0,563.0,1389.0,878.0
21823,11:44.500,11:44.528,1,1148.0,508.0,1384.0,829.0
21838,11:45.000,11:45.028,1,1151.0,472.0,1386.0,791.0
21853,11:45.500,11:45.528,1,1140.0,461.0,1378.0,784.0
21868,11:46.000,11:46.030,1,1140.0,442.0,1378.0,764.0
21883,11:46.500,11:46.530,1,1141.0,429.0,1381.0,757.0
21898,11:47.000,11:47.030,1,1145.0,424.0,1385.0,756.0
21913,11:47.500,11:47.530,1,1138.0,435.0,1378.0,762.0
21928,11:48.000,11:48.030,1,1128.0,495.0,1368.0,817.0
21943,11:48.500,11:48.530,1,1122.0,474.0,1362.0,795.0
21958,11:49.000,11:49.030,1,1145.0,603.0,1380.0,916.0
21973,11:49.500,11:49.530,1,1236.0,853.0,1480.0,1171.0
21988,11:50.000,11:50.032,1,1216.0,798.0,1456.0,1113.0
22003,11:50.500,11:50.532,1,1193.0,628.0,1432.0,942.0
22018,11:51.000,11:51.032,1,1132.0,644.0,1372.0,960.0
22033,11:51.500,11:51.532,1,1099.0,652.0,1338.0,974.0
22048,11:52.000,11:52.032,1,1106.0,656.0,1344.0,970.0
22062,11:52.500,11:52.532,1,1101.0,612.0,1341.0,926.0
22077,11:53.000,11:53.032,1,1084.0,657.0,1320.0,971.0
22092,11:53.500,11:53.532,1,1082.0,669.0,1315.0,982.0
22106,11:54.000,11:54.000,1,1079.0,669.0,1313.0,982.0
22121,11:54.500,11:54.500,1,1080.0,681.0,1315.0,993.0
22136,11:55.000,11:55.000,1,1077.0,678.0,1312.0,992.0
22151,11:55.500,11:55.500,1,1071.0,688.0,1309.0,1001.0
22166,11:56.000,11:56.000,1,1069.0,690.0,1306.0,1002.0
22181,11:56.500,11:56.500,1,1071.0,699.0,1310.0,1016.0
22197,11:57.000,11:57.025,1,1076.0,685.0,1312.0,995.0
22212,11:57.500,11:57.525,1,1060.0,677.0,1299.0,989.0
22227,11:58.000,11:58.027,1,1062.0,661.0,1300.0,974.0
22242,11:58.500,11:58.527,1,1057.0,683.0,1297.0,988.0
22257,11:59.000,11:59.027,1,1057.0,667.0,1296.0,977.0
22272,11:59.500,11:59.527,1,1062.0,707.0,1301.0,1018.0
22287,12:00.000,12:00.027,1,1074.0,731.0,1311.0,1044.0
22302,12:00.500,12:00.527,1,1060.0,759.0,1298.0,1070.0
22317,12:01.000,12:01.027,1,1067.0,705.0,1306.0,1017.0
22332,12:01.500,12:01.527,1,1100.0,676.0,1340.0,989.0
22347,12:02.000,12:02.028,1,1126.0,653.0,1363.0,965.0
22362,12:02.500,12:02.528,1,1139.0,652.0,1373.0,958.0
22377,12:03.000,12:03.028,1,1123.0,659.0,1359.0,967.0
22392,12:03.500,12:03.528,1,1110.0,656.0,1347.0,970.0
22407,12:04.000,12:04.028,1,1136.0,691.0,1373.0,1003.0
22422,12:04.500,12:04.528,1,1140.0,672.0,1379.0,990.0
22437,12:05.000,12:05.028,1,1121.0,673.0,1360.0,988.0
22452,12:05.500,12:05.528,1,1139.0,677.0,1378.0,993.0
22467,12:06.000,12:06.030,1,1132.0,696.0,1371.0,1010.0
22482,12:06.500,12:06.530,1,1134.0,682.0,1374.0,996.0
22497,12:07.000,12:07.030,1,1130.0,686.0,1370.0,1000.0
22512,12:07.500,12:07.530,1,1123.0,694.0,1362.0,1005.0
22527,12:08.000,12:08.030,1,1108.0,696.0,1349.0,1009.0
22542,12:08.500,12:08.530,1,1107.0,684.0,1345.0,995.0
22557,12:09.000,12:09.030,1,1108.0,686.0,1347.0,996.0
22572,12:09.500,12:09.530,1,1113.0,695.0,1351.0,1006.0
22587,12:10.000,12:10.032,1,1119.0,717.0,1359.0,1025.0
22602,12:10.500,12:10.532,1,1144.0,792.0,1383.0,1106.0
22617,12:11.000,12:11.032,1,1141.0,791.0,1379.0,1104.0
22632,12:11.500,12:11.532,1,1136.0,795.0,1376.0,1111.0
22647,12:12.000,12:12.032,1,1123.0,793.0,1365.0,1110.0
22662,12:12.500,12:12.532,1,1128.0,787.0,1367.0,1100.0
22677,12:13.000,12:13.032,1,1026.0,741.0,1265.0,1055.0
22692,12:13.500,12:13.532,1,1095.0,693.0,1334.0,1006.0
22706,12:14.000,12:14.000,1,1091.0,698.0,1328.0,1018.0
22721,12:14.500,12:14.500,1,1092.0,706.0,1329.0,1023.0
22736,12:15.000,12:15.000,1,1104.0,721.0,1344.0,1036.0
22751,12:15.500,12:15.500,1,1128.0,688.0,1367.0,1002.0
22766,12:16.000,12:16.000,1,1159.0,617.0,1402.0,934.0
22782,12:16.500,12:16.525,1,1155.0,602.0,1393.0,916.0
22797,12:17.000,12:17.025,1,1156.0,591.0,1393.0,903.0
22812,12:17.500,12:17.525,1,1131.0,599.0,1368.0,908.0
22827,12:18.000,12:18.027,1,1126.0,598.0,1364.0,907.0
22842,12:18.500,12:18.527,1,1131.0,589.0,1371.0,903.0
22857,12:19.000,12:19.027,1,1133.0,599.0,1371.0,914.0
22872,12:19.500,12:19.527,1,1132.0,628.0,1372.0,949.0
22887,12:20.000,12:20.027,1,1131.0,685.0,1371.0,996.0
22902,12:20.500,12:20.527,1,1141.0,670.0,1379.0,984.0
22917,12:21.000,12:21.027,1,1138.0,674.0,1377.0,990.0
22932,12:21.500,12:21.527,1,1136.0,670.0,1374.0,986.0
22947,12:22.000,12:22.028,1,1138.0,669.0,1375.0,985.0
22962,12:22.500,12:22.528,1,1146.0,692.0,1382.0,1008.0
