frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
26145,14:12.000,14:12.017,1,1649.0,394.0,1946.0,787.0
26160,14:12.500,14:12.508,1,1649.0,392.0,1946.0,784.0
26175,14:13.000,14:13.008,1,1636.0,380.0,1931.0,777.0
26190,14:13.500,14:13.508,1,1643.0,394.0,1943.0,788.0
26205,14:14.000,14:14.008,1,1632.0,370.0,1930.0,771.0
26220,14:14.500,14:14.508,1,1658.0,361.0,1963.0,762.0
26235,14:15.000,14:15.008,1,1670.0,390.0,1975.0,790.0
26250,14:15.500,14:15.510,1,1659.0,380.0,1960.0,778.0
26265,14:16.000,14:16.010,1,1671.0,392.0,1975.0,793.0
26280,14:16.500,14:16.510,1,1664.0,353.0,1971.0,753.0
26295,14:17.000,14:17.010,1,1661.0,367.0,1967.0,766.0
26310,14:17.500,14:17.510,1,1657.0,390.0,1958.0,784.0
26325,14:18.000,14:18.010,1,1371.0,382.0,1637.0,765.0
26340,14:18.500,14:18.510,1,1272.0,392.0,1533.0,764.0
26355,14:19.000,14:19.010,1,1235.0,436.0,1494.0,811.0
26370,14:19.500,14:19.512,1,1212.0,487.0,1468.0,858.0
26385,14:20.000,14:20.012,1,1213.0,492.0,1469.0,867.0
26400,14:20.500,14:20.512,1,1215.0,512.0,1471.0,881.0
26415,14:21.000,14:21.012,1,1205.0,525.0,1459.0,891.0
26430,14:21.500,14:21.512,1,1213.0,527.0,1469.0,895.0
26445,14:22.000,14:22.012,1,1222.0,560.0,1477.0,925.0
26460,14:22.500,14:22.512,1,1211.0,578.0,1465.0,951.0
26475,14:23.000,14:23.012,1,1216.0,542.0,1472.0,910.0
26490,14:23.500,14:23.512,1,1233.0,531.0,1495.0,901.0
26505,14:24.000,14:24.013,1,1378.0,583.0,1645.0,951.0
26520,14:24.500,14:24.513,1,1648.0,537.0,1947.0,929.0
26535,14:25.000,14:25.013,1,1633.0,530.0,1934.0,926.0
26550,14:25.500,14:25.513,1,1661.0,485.0,1969.0,891.0
