frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
26183,13:55.000,13:55.008,2,1557.0,442.0,1737.0,691.0,902.0,530.0,1063.0,769.0,,,,
26198,13:55.500,13:55.510,2,1499.0,438.0,1679.0,690.0,954.0,518.0,1118.0,759.0,,,,
26213,13:56.000,13:56.010,2,852.0,523.0,1021.0,771.0,1407.0,445.0,1582.0,698.0,,,,
26228,13:56.500,13:56.510,2,885.0,444.0,1064.0,713.0,1478.0,370.0,1667.0,641.0,,,,
26243,13:57.000,13:57.010,2,1668.0,339.0,1885.0,629.0,1069.0,368.0,1247.0,637.0,,,,
26258,13:57.500,13:57.510,2,1625.0,335.0,1837.0,615.0,1048.0,297.0,1226.0,564.0,,,,
26273,13:58.000,13:58.010,2,1636.0,421.0,1840.0,689.0,1081.0,366.0,1251.0,618.0,,,,
26288,13:58.500,13:58.510,2,1033.0,388.0,1205.0,641.0,1572.0,394.0,1760.0,655.0,,,,
26303,13:59.000,13:59.010,2,1105.0,381.0,1275.0,634.0,1643.0,349.0,1831.0,622.0,,,,
26318,13:59.500,13:59.510,2,997.0,464.0,1167.0,715.0,1537.0,418.0,1719.0,685.0,,,,
26333,14:00.000,14:00.012,2,915.0,474.0,1085.0,730.0,1457.0,423.0,1638.0,684.0,,,,
26348,14:00.500,14:00.512,2,890.0,480.0,1059.0,738.0,1437.0,423.0,1615.0,681.0,,,,
26363,14:01.000,14:01.012,2,831.0,470.0,1005.0,726.0,1386.0,417.0,1561.0,675.0,,,,
26378,14:01.500,14:01.512,2,855.0,531.0,1029.0,784.0,1404.0,457.0,1583.0,713.0,,,,
26393,14:02.000,14:02.012,2,1405.0,455.0,1585.0,715.0,855.0,559.0,1029.0,808.0,,,,
26408,14:02.500,14:02.512,2,841.0,501.0,1016.0,758.0,1396.0,425.0,1574.0,681.0,,,,
26423,14:03.000,14:03.012,2,867.0,421.0,1042.0,681.0,1430.0,370.0,1613.0,636.0,,,,
26438,14:03.500,14:03.512,2,1559.0,413.0,1745.0,677.0,999.0,466.0,1169.0,721.0,,,,
26453,14:04.000,14:04.013,2,1009.0,487.0,1179.0,745.0,1567.0,431.0,1753.0,691.0,,,,
26468,14:04.500,14:04.513,2,1039.0,456.0,1208.0,713.0,1622.0,372.0,1813.0,646.0,,,,
26483,14:05.000,14:05.013,2,1651.0,365.0,1844.0,634.0,1069.0,447.0,1239.0,704.0,,,,
26498,14:05.500,14:05.513,2,1656.0,366.0,1848.0,631.0,1076.0,445.0,1243.0,708.0,,,,
26513,14:06.000,14:06.005,2,1658.0,357.0,1854.0,625.0,1070.0,438.0,1238.0,697.0,,,,
26528,14:06.500,14:06.505,2,1656.0,350.0,1851.0,616.0,1062.0,433.0,1234.0,695.0,,,,
26543,14:07.000,14:07.005,2,1071.0,423.0,1238.0,684.0,1657.0,342.0,1853.0,613.0,,,,
26558,14:07.500,14:07.505,2,1068.0,421.0,1238.0,686.0,1657.0,340.0,1853.0,611.0,,,,
26573,14:08.000,14:08.005,2,1072.0,419.0,1242.0,677.0,1663.0,343.0,1858.0,612.0,,,,
26588,14:08.500,14:08.507,2,983.0,469.0,1154.0,727.0,1553.0,375.0,1741.0,636.0,,,,
26603,14:09.000,14:09.007,2,973.0,437.0,1147.0,697.0,1548.0,334.0,1741.0,601.0,,,,
26618,14:09.500,14:09.507,2,988.0,363.0,1166.0,626.0,1585.0,245.0,1781.0,520.0,,,,
26633,14:10.000,14:10.007,2,1042.0,372.0,1217.0,636.0,1633.0,243.0,1832.0,522.0,,,,
26648,14:10.500,14:10.507,2,1668.0,236.0,1867.0,515.0,1078.0,369.0,1251.0,629.0,,,,
26663,14:11.000,14:11.007,2,1119.0,341.0,1297.0,604.0,1721.0,213.0,1925.0,503.0,,,,
26678,14:11.500,14:11.507,2,1125.0,351.0,1298.0,611.0,1723.0,231.0,1927.0,517.0,,,,
26693,14:12.000,14:12.007,2,1132.0,350.0,1305.0,613.0,1730.0,236.0,1935.0,519.0,,,,
26708,14:12.500,14:12.507,2,1131.0,351.0,1304.0,613.0,1730.0,236.0,1935.0,519.0,,,,
26723,14:13.000,14:13.008,2,1132.0,348.0,1305.0,609.0,1734.0,229.0,1940.0,516.0,,,,
26738,14:13.500,14:13.508,2,1132.0,337.0,1307.0,601.0,1736.0,219.0,1943.0,506.0,,,,
26753,14:14.000,14:14.008,2,1732.0,217.0,1938.0,504.0,1132.0,332.0,1305.0,597.0,,,,
26768,14:14.500,14:14.508,2,1729.0,216.0,1934.0,503.0,1127.0,331.0,1301.0,595.0,,,,
26783,14:15.000,14:15.008,2,1726.0,215.0,1929.0,503.0,1123.0,333.0,1298.0,597.0,,,,
26798,14:15.500,14:15.508,2,1111.0,347.0,1285.0,608.0,1706.0,228.0,1914.0,510.0,,,,
26813,14:16.000,14:16.008,2,1097.0,336.0,1271.0,603.0,1692.0,222.0,1895.0,505.0,,,,
26828,14:16.500,14:16.508,2,1573.0,255.0,1770.0,534.0,997.0,311.0,1173.0,578.0,,,,
26843,14:17.000,14:17.010,2,1378.0,383.0,1568.0,629.0,839.0,298.0,1016.0,561.0,,,,
26858,14:17.500,14:17.510,2,1504.0,352.0,1697.0,617.0,957.0,320.0,1129.0,581.0,,,,
26873,14:18.000,14:18.010,2,1377.0,345.0,1554.0,604.0,1961.0,370.0,2201.0,654.0,,,,
26887,14:18.500,14:18.510,2,1548.0,382.0,1734.0,652.0,2213.0,287.0,2457.0,596.0,,,,
26902,14:19.000,14:19.010,1,1597.0,500.0,1785.0,763.0,,,,,,,,
26917,14:19.500,14:19.510,2,1931.0,338.0,2162.0,635.0,1309.0,463.0,1483.0,722.0,,,,
26932,14:20.000,14:20.010,2,1874.0,397.0,2092.0,679.0,1263.0,521.0,1438.0,777.0,,,,
26947,14:20.500,14:20.510,2,1008.0,531.0,1176.0,783.0,1604.0,466.0,1789.0,729.0,,,,
26962,14:21.000,14:21.010,2,928.0,529.0,1100.0,783.0,1510.0,485.0,1688.0,744.0,,,,
26977,14:21.500,14:21.512,2,1566.0,473.0,1751.0,731.0,1000.0,512.0,1166.0,756.0,,,,
26992,14:22.000,14:22.012,2,986.0,512.0,1151.0,766.0,1554.0,474.0,1740.0,728.0,,,,
27007,14:22.500,14:22.512,2,1029.0,511.0,1197.0,773.0,1606.0,458.0,1795.0,721.0,,,,
27022,14:23.000,14:23.012,2,1621.0,435.0,1808.0,700.0,1042.0,498.0,1209.0,752.0,,,,
27037,14:23.500,14:23.512,2,1623.0,430.0,1809.0,693.0,1043.0,494.0,1210.0,745.0,,,,
27052,14:24.000,14:24.012,2,1063.0,475.0,1228.0,727.0,1642.0,406.0,1833.0,674.0,,,,
27067,14:24.500,14:24.512,2,1068.0,466.0,1237.0,719.0,1653.0,399.0,1843.0,667.0,,,,
27082,14:25.000,14:25.012,2,1069.0,458.0,1238.0,713.0,1653.0,387.0,1848.0,655.0,,,,
27097,14:25.500,14:25.513,2,1233.0,464.0,1400.0,714.0,1832.0,400.0,2041.0,678.0,,,,
27112,14:26.000,14:26.013,2,1779.0,530.0,1978.0,798.0,1197.0,585.0,1362.0,831.0,,,,
27127,14:26.500,14:26.513,2,858.0,691.0,1029.0,937.0,1422.0,634.0,1597.0,883.0,,,,
27142,14:27.000,14:27.005,2,1424.0,669.0,1596.0,912.0,859.0,734.0,1027.0,979.0,,,,
27157,14:27.500,14:27.505,2,1336.0,672.0,1506.0,912.0,766.0,753.0,938.0,1001.0,,,,
27172,14:28.000,14:28.005,2,1410.0,630.0,1583.0,875.0,869.0,733.0,1037.0,977.0,,,,
27187,14:28.500,14:28.505,2,1418.0,604.0,1589.0,846.0,881.0,722.0,1049.0,961.0,,,,
27202,14:29.000,14:29.005,2,861.0,703.0,1034.0,950.0,1424.0,588.0,1594.0,831.0,,,,
27217,14:29.500,14:29.505,2,1424.0,578.0,1596.0,819.0,841.0,691.0,1003.0,939.0,,,,
27232,14:30.000,14:30.007,2,1429.0,578.0,1603.0,818.0,836.0,695.0,998.0,940.0,,,,
