frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
31732,17:28.000,17:28.000,1,1387.0,673.0,1557.0,911.0
31747,17:28.500,17:28.500,1,1390.0,662.0,1560.0,904.0
31762,17:29.000,17:29.000,1,1085.0,733.0,1225.0,935.0
31777,17:29.500,17:29.502,1,1068.0,732.0,1243.0,988.0
31792,17:30.000,17:30.002,1,1059.0,719.0,1260.0,1008.0
31807,17:30.500,17:30.502,1,1046.0,706.0,1262.0,1009.0
31822,17:31.000,17:31.002,1,1043.0,698.0,1264.0,1009.0
31837,17:31.500,17:31.502,1,1030.0,704.0,1256.0,1018.0
31852,17:32.000,17:32.002,1,1030.0,706.0,1257.0,1022.0
31867,17:32.500,17:32.502,1,1025.0,704.0,1254.0,1023.0
31882,17:33.000,17:33.002,1,1026.0,711.0,1258.0,1049.0
31897,17:33.500,17:33.503,1,1016.0,708.0,1246.0,1037.0
31912,17:34.000,17:34.003,1,1016.0,710.0,1247.0,1037.0
31927,17:34.500,17:34.503,1,1021.0,705.0,1251.0,1030.0
31942,17:35.000,17:35.003,1,1026.0,708.0,1255.0,1029.0
31957,17:35.500,17:35.503,1,1026.0,719.0,1258.0,1049.0
31972,17:36.000,17:36.003,1,1024.0,718.0,1254.0,1045.0
31987,17:36.500,17:36.503,1,1018.0,718.0,1252.0,1051.0
32002,17:37.000,17:37.003,1,1008.0,705.0,1244.0,1035.0
32017,17:37.500,17:37.503,1,1011.0,700.0,1247.0,1040.0
32033,17:38.000,17:38.030,1,1011.0,708.0,1247.0,1045.0
32048,17:38.500,17:38.530,1,1008.0,713.0,1244.0,1041.0
32063,17:39.000,17:39.030,1,1013.0,706.0,1247.0,1034.0
32078,17:39.500,17:39.530,1,1001.0,710.0,1236.0,1031.0
32093,17:40.000,17:40.030,1,984.0,706.0,1222.0,1034.0
32108,17:40.500,17:40.530,1,998.0,687.0,1232.0,1016.0
32123,17:41.000,17:41.030,1,997.0,695.0,1230.0,1020.0
32138,17:41.500,17:41.530,1,1005.0,694.0,1236.0,1012.0
32153,17:42.000,17:42.032,1,1012.0,691.0,1243.0,1010.0
32168,17:42.500,17:42.532,1,1018.0,700.0,1248.0,1018.0
32183,17:43.000,17:43.032,1,1019.0,691.0,1248.0,1010.0
32198,17:43.500,17:43.532,1,1021.0,691.0,1249.0,1012.0
32213,17:44.000,17:44.032,1,1016.0,683.0,1245.0,1003.0
32228,17:44.500,17:44.532,1,1017.0,681.0,1247.0,1005.0
32243,17:45.000,17:45.032,1,1006.0,686.0,1239.0,1011.0
32258,17:45.500,17:45.532,1,1014.0,711.0,1245.0,1038.0
32273,17:46.000,17:46.032,1,1005.0,691.0,1235.0,1026.0
32287,17:46.500,17:46.500,1,986.0,687.0,1220.0,1019.0
32302,17:47.000,17:47.000,1,983.0,693.0,1216.0,1027.0
32317,17:47.500,17:47.500,1,976.0,695.0,1208.0,1033.0
32332,17:48.000,17:48.000,1,982.0,701.0,1216.0,1033.0
