frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
22834,11:56.000,11:56.013,1,1859.0,649.0,2037.0,864.0
22849,11:56.500,11:56.513,1,1347.0,651.0,1495.0,847.0
22864,11:57.000,11:57.013,1,1395.0,635.0,1546.0,836.0
22879,11:57.500,11:57.513,1,1366.0,617.0,1519.0,816.0
22894,11:58.000,11:58.013,1,1463.0,667.0,1616.0,870.0
22909,11:58.500,11:58.513,1,1460.0,639.0,1614.0,837.0
22924,11:59.000,11:59.013,1,1421.0,642.0,1574.0,843.0
22939,11:59.500,11:59.515,1,1421.0,653.0,1575.0,859.0
22954,12:00.000,12:00.015,1,1452.0,638.0,1606.0,840.0
22970,12:00.500,12:00.515,1,1467.0,602.0,1624.0,802.0
22985,12:01.000,12:01.015,1,1473.0,581.0,1629.0,784.0
23000,12:01.500,12:01.515,1,1490.0,504.0,1650.0,714.0
23015,12:02.000,12:02.015,1,1496.0,501.0,1659.0,714.0
23030,12:02.500,12:02.515,1,1336.0,686.0,1489.0,884.0
23045,12:03.000,12:03.007,1,1333.0,803.0,1481.0,996.0
23060,12:03.500,12:03.507,1,1380.0,769.0,1530.0,965.0
23075,12:04.000,12:04.008,1,1393.0,756.0,1543.0,961.0
23090,12:04.500,12:04.508,1,1415.0,717.0,1563.0,934.0
23105,12:05.000,12:05.008,1,1420.0,683.0,1574.0,887.0
23120,12:05.500,12:05.508,1,1433.0,658.0,1585.0,866.0
23135,12:06.000,12:06.008,1,1445.0,643.0,1596.0,850.0
23150,12:06.500,12:06.508,1,1456.0,627.0,1609.0,827.0
23165,12:07.000,12:07.008,1,1461.0,619.0,1617.0,820.0
23180,12:07.500,12:07.508,1,1502.0,648.0,1657.0,852.0
23195,12:08.000,12:08.010,1,1513.0,662.0,1670.0,872.0
23210,12:08.500,12:08.510,1,1502.0,651.0,1658.0,858.0
23225,12:09.000,12:09.010,1,1410.0,671.0,1563.0,879.0
23240,12:09.500,12:09.510,1,1378.0,682.0,1529.0,893.0
23255,12:10.000,12:10.010,1,1396.0,682.0,1548.0,887.0
23270,12:10.500,12:10.510,1,1398.0,667.0,1551.0,871.0
23285,12:11.000,12:11.010,1,1396.0,662.0,1548.0,867.0
23300,12:11.500,12:11.510,1,1399.0,662.0,1551.0,861.0
23315,12:12.000,12:12.010,1,1494.0,734.0,1649.0,938.0
23330,12:12.500,12:12.512,1,1509.0,706.0,1668.0,919.0
23345,12:13.000,12:13.012,1,1489.0,678.0,1649.0,891.0
23360,12:13.500,12:13.512,1,1490.0,676.0,1650.0,888.0
23375,12:14.000,12:14.012,1,1518.0,671.0,1674.0,884.0
23390,12:14.500,12:14.512,1,1522.0,662.0,1681.0,867.0
23405,12:15.000,12:15.012,1,1519.0,660.0,1678.0,865.0
23420,12:15.500,12:15.512,1,1521.0,671.0,1682.0,886.0
