frame,time,faces_detected_count,037_detected,037_tl_x,037_tl_y,037_br_x,037_br_y,038_detected,038_tl_x,038_tl_y,038_br_x,038_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
20968,11:36.550,1,False,,,,,True,1513,795,1681,1049,False,,,,
20983,11:37.048,1,False,,,,,True,1532,578,1702,816,False,,,,
20998,11:37.546,1,False,,,,,True,1471,510,1634,766,False,,,,
21013,11:38.045,1,False,,,,,True,1431,435,1599,680,False,,,,
21028,11:38.543,1,False,,,,,True,1464,402,1632,650,False,,,,
21043,11:39.041,1,False,,,,,True,1439,405,1602,649,False,,,,
21058,11:39.540,1,False,,,,,True,1407,410,1569,652,False,,,,
21073,11:40.038,1,False,,,,,True,1415,446,1575,685,False,,,,
21088,11:40.536,1,False,,,,,True,1411,480,1570,722,False,,,,
21103,11:41.034,1,False,,,,,True,1428,478,1588,714,False,,,,
21118,11:41.533,1,False,,,,,True,1427,510,1587,743,False,,,,
21133,11:42.031,1,False,,,,,True,1434,520,1593,752,False,,,,
21148,11:42.529,1,False,,,,,True,1466,509,1634,751,False,,,,
21163,11:43.028,1,False,,,,,True,1489,508,1659,760,False,,,,
21178,11:43.526,1,False,,,,,True,1501,518,1670,766,False,,,,
21193,11:44.024,1,False,,,,,True,1480,519,1646,757,False,,,,
21208,11:44.523,1,False,,,,,True,1413,518,1570,757,False,,,,
21223,11:45.021,1,False,,,,,True,1420,564,1582,804,False,,,,
21238,11:45.519,1,False,,,,,True,1414,590,1581,829,False,,,,
21253,11:46.017,1,False,,,,,True,1409,596,1577,848,False,,,,
21268,11:46.516,1,False,,,,,True,1434,644,1599,878,False,,,,
21283,11:47.014,1,False,,,,,True,1492,627,1657,873,False,,,,
21298,11:47.512,1,False,,,,,True,1507,622,1672,875,False,,,,
21313,11:48.011,1,False,,,,,True,1503,622,1669,874,False,,,,
21328,11:48.509,1,False,,,,,True,1496,632,1661,884,False,,,,
21343,11:49.007,1,False,,,,,True,1502,635,1668,889,False,,,,
21358,11:49.505,1,False,,,,,True,1492,635,1656,888,False,,,,
21373,11:50.004,1,False,,,,,True,1478,628,1643,876,False,,,,
21388,11:50.502,1,False,,,,,True,1469,596,1632,849,False,,,,
21403,11:51.000,1,False,,,,,True,1483,592,1647,846,False,,,,
21418,11:51.499,1,False,,,,,True,1500,576,1662,821,False,,,,
21433,11:51.997,1,False,,,,,True,1493,576,1656,807,False,,,,
21448,11:52.495,1,False,,,,,True,1502,581,1665,821,False,,,,
21463,11:52.994,1,False,,,,,True,1499,554,1664,793,False,,,,
21478,11:53.492,1,False,,,,,True,1498,548,1662,788,False,,,,
21493,11:53.990,1,False,,,,,True,1492,586,1655,823,False,,,,
21508,11:54.488,1,False,,,,,True,1489,586,1653,824,False,,,,
21523,11:54.987,1,False,,,,,True,1461,581,1624,815,False,,,,
21538,11:55.485,1,False,,,,,True,1486,595,1648,836,False,,,,
21553,11:55.983,1,False,,,,,True,1498,595,1660,846,False,,,,
21568,11:56.482,1,False,,,,,True,1420,607,1581,849,False,,,,
21583,11:56.980,1,False,,,,,True,1412,616,1571,853,False,,,,
21598,11:57.478,1,False,,,,,True,1408,658,1567,899,False,,,,
21613,11:57.977,1,False,,,,,True,1411,663,1570,896,False,,,,
21628,11:58.475,1,False,,,,,True,1419,677,1581,910,False,,,,
21643,11:58.973,1,False,,,,,True,1408,678,1571,912,False,,,,
21658,11:59.471,1,False,,,,,True,1442,684,1606,925,False,,,,
21673,11:59.970,1,False,,,,,True,1452,686,1616,921,False,,,,
21688,12:00.468,1,False,,,,,True,1471,700,1633,939,False,,,,
21703,12:00.966,1,False,,,,,True,1493,678,1656,920,False,,,,
21718,12:01.465,1,False,,,,,True,1504,670,1669,921,False,,,,
21733,12:01.963,1,False,,,,,True,1460,687,1620,919,False,,,,
21748,12:02.461,1,False,,,,,True,1464,706,1625,945,False,,,,
21763,12:02.959,1,False,,,,,True,1428,583,1588,830,False,,,,
21778,12:03.458,1,False,,,,,True,1292,552,1446,789,False,,,,
21793,12:03.956,1,False,,,,,True,1265,586,1418,819,False,,,,
21808,12:04.454,1,False,,,,,True,1417,468,1577,711,False,,,,
21823,12:04.953,1,False,,,,,True,1406,482,1566,719,False,,,,
21838,12:05.451,1,False,,,,,True,1324,550,1478,786,False,,,,
21853,12:05.949,1,False,,,,,True,1344,532,1502,768,False,,,,
21868,12:06.448,1,False,,,,,True,1321,478,1476,711,False,,,,
21883,12:06.946,1,False,,,,,True,1304,355,1464,593,False,,,,
21898,12:07.444,1,False,,,,,True,1334,196,1501,443,False,,,,
21913,12:07.942,1,False,,,,,True,1347,167,1518,407,False,,,,
21928,12:08.441,1,False,,,,,True,1305,155,1474,375,False,,,,
21943,12:08.939,1,False,,,,,True,1186,143,1350,333,False,,,,
21958,12:09.437,1,False,,,,,True,1179,145,1342,329,False,,,,
21973,12:09.936,1,False,,,,,True,1177,146,1337,327,False,,,,
21988,12:10.434,1,False,,,,,True,1196,147,1359,331,False,,,,
22003,12:10.932,1,False,,,,,False,,,,,True,1198,118,1365,321
22018,12:11.430,1,False,,,,,False,,,,,True,1178,113,1342,305
22033,12:11.929,0,False,,,,,False,,,,,False,,,,
22048,12:12.427,1,False,,,,,True,1170,97,1334,288,False,,,,
22063,12:12.925,1,False,,,,,True,1169,151,1328,312,False,,,,
22078,12:13.424,0,False,,,,,False,,,,,False,,,,
22093,12:13.922,1,False,,,,,True,1196,147,1358,334,False,,,,
22108,12:14.420,1,False,,,,,True,1182,147,1344,309,False,,,,
22123,12:14.919,1,False,,,,,True,1211,144,1375,328,False,,,,
22138,12:15.417,1,False,,,,,True,1237,163,1403,386,False,,,,
22153,12:15.915,1,False,,,,,True,1251,302,1410,553,False,,,,
22168,12:16.413,1,False,,,,,True,1469,402,1633,643,False,,,,
22183,12:16.912,1,False,,,,,True,1638,457,1813,710,False,,,,
22198,12:17.410,1,False,,,,,True,1642,481,1817,736,False,,,,
22213,12:17.908,1,False,,,,,True,1663,528,1838,779,False,,,,
22228,12:18.407,1,False,,,,,True,1697,564,1874,811,False,,,,
22243,12:18.905,1,False,,,,,True,1702,567,1880,820,False,,,,
22258,12:19.403,1,False,,,,,True,1721,524,1905,784,False,,,,
22273,12:19.901,1,False,,,,,True,1790,508,1979,772,False,,,,
22288,12:20.400,1,False,,,,,True,1593,537,1762,785,False,,,,
22303,12:20.898,1,False,,,,,True,1587,584,1756,833,False,,,,
22318,12:21.396,1,False,,,,,True,1581,600,1748,847,False,,,,
22333,12:21.895,1,False,,,,,True,1580,615,1745,858,False,,,,
22348,12:22.393,1,False,,,,,True,1586,646,1752,888,False,,,,
22363,12:22.891,1,False,,,,,True,1573,640,1742,881,False,,,,
22378,12:23.390,1,False,,,,,True,1563,649,1729,888,False,,,,
22393,12:23.888,1,False,,,,,True,1500,611,1660,855,False,,,,
22408,12:24.386,1,False,,,,,True,1217,666,1356,870,False,,,,
22423,12:24.884,1,False,,,,,True,1221,630,1380,864,False,,,,
22438,12:25.383,1,False,,,,,True,1189,597,1362,861,False,,,,
