frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
15262,13:41.667,1,1995.0,244.0,2128.0,419.0,,,,
15263,16:39.627,1,1995.0,247.0,2127.0,422.0,,,,
15264,16:39.660,1,1995.0,248.0,2128.0,424.0,,,,
15265,16:39.693,1,1994.0,252.0,2127.0,425.0,,,,
15266,16:39.727,1,1995.0,253.0,2127.0,427.0,,,,
15267,16:39.760,1,1993.0,255.0,2125.0,430.0,,,,
15268,16:39.793,1,1992.0,255.0,2125.0,430.0,,,,
15269,16:39.827,1,1991.0,254.0,2124.0,428.0,,,,
15270,16:39.860,1,1989.0,250.0,2123.0,426.0,,,,
15271,16:39.895,1,1990.0,254.0,2122.0,429.0,,,,
15272,16:39.928,1,1992.0,256.0,2123.0,431.0,,,,
15273,16:39.962,1,1992.0,258.0,2125.0,432.0,,,,
15274,16:39.995,1,1993.0,258.0,2125.0,433.0,,,,
15275,16:40.028,1,1995.0,259.0,2127.0,434.0,,,,
15276,16:40.062,1,1995.0,256.0,2127.0,431.0,,,,
15277,16:40.095,1,1994.0,259.0,2126.0,434.0,,,,
15278,16:40.128,1,1995.0,262.0,2127.0,437.0,,,,
15279,16:40.162,1,1996.0,264.0,2128.0,438.0,,,,
15280,16:40.195,1,1998.0,264.0,2131.0,438.0,,,,
15281,16:40.228,1,1998.0,263.0,2132.0,437.0,,,,
15282,16:40.262,1,1998.0,262.0,2132.0,436.0,,,,
15283,16:40.295,1,1998.0,261.0,2131.0,436.0,,,,
15284,16:40.328,1,1998.0,263.0,2130.0,437.0,,,,
15285,16:40.362,1,1999.0,266.0,2132.0,440.0,,,,
15286,16:40.395,1,2000.0,269.0,2135.0,442.0,,,,
15287,16:40.428,1,2002.0,278.0,2137.0,449.0,,,,
15288,16:40.462,1,2003.0,284.0,2140.0,456.0,,,,
15289,16:40.495,1,2004.0,296.0,2139.0,469.0,,,,
15290,16:40.528,1,2005.0,316.0,2141.0,484.0,,,,
15291,16:40.562,1,2008.0,338.0,2140.0,502.0,,,,
15292,16:40.595,1,2013.0,357.0,2145.0,524.0,,,,
15293,16:40.628,1,2018.0,385.0,2150.0,553.0,,,,
15294,16:40.662,1,2027.0,430.0,2158.0,590.0,,,,
15295,16:40.695,1,2037.0,470.0,2171.0,631.0,,,,
15296,16:40.728,1,2050.0,508.0,2183.0,676.0,,,,
15297,16:40.762,1,2067.0,556.0,2201.0,717.0,,,,
15298,16:40.795,1,2085.0,592.0,2220.0,756.0,,,,
15299,16:40.828,1,2103.0,637.0,2237.0,796.0,,,,
15300,16:40.862,1,2123.0,673.0,2260.0,833.0,,,,
15301,16:40.895,1,2143.0,706.0,2280.0,867.0,,,,
15302,16:40.928,1,2160.0,740.0,2300.0,902.0,,,,
15303,16:40.962,1,2174.0,769.0,2316.0,930.0,,,,
15304,16:40.995,1,2188.0,792.0,2326.0,953.0,,,,
15305,16:41.028,1,2198.0,804.0,2341.0,970.0,,,,
15306,16:41.062,1,2208.0,816.0,2352.0,980.0,,,,
15307,16:41.095,1,2221.0,822.0,2361.0,987.0,,,,
15308,16:41.128,1,2236.0,831.0,2381.0,997.0,,,,
15309,16:41.162,1,2253.0,831.0,2391.0,999.0,,,,
15310,16:41.195,1,2268.0,830.0,2403.0,994.0,,,,
15311,16:41.228,1,2281.0,826.0,2410.0,991.0,,,,
15312,16:41.262,1,2289.0,821.0,2413.0,986.0,,,,
15313,16:41.295,1,2296.0,818.0,2419.0,980.0,,,,
15314,16:41.328,1,2299.0,813.0,2424.0,976.0,,,,
15315,16:41.353,1,2301.0,810.0,2428.0,974.0,,,,
15316,16:41.387,1,2303.0,809.0,2429.0,973.0,,,,
15317,16:41.420,1,2303.0,808.0,2430.0,973.0,,,,
15318,16:41.453,1,2304.0,809.0,2430.0,973.0,,,,
15319,16:41.487,1,2305.0,809.0,2426.0,973.0,,,,
15320,16:41.520,1,2303.0,809.0,2428.0,973.0,,,,
15321,16:41.553,1,2302.0,810.0,2429.0,973.0,,,,
15322,16:41.587,1,2302.0,811.0,2428.0,974.0,,,,
15323,16:41.620,1,2303.0,814.0,2427.0,977.0,,,,
15324,16:41.653,1,2304.0,817.0,2427.0,980.0,,,,
15325,16:41.687,1,2304.0,818.0,2428.0,982.0,,,,
15326,16:41.720,1,2305.0,820.0,2423.0,982.0,,,,
15327,16:41.753,1,2304.0,820.0,2428.0,984.0,,,,
15328,16:41.787,1,2305.0,821.0,2423.0,984.0,,,,
15329,16:41.820,1,2305.0,820.0,2428.0,985.0,,,,
15330,16:41.853,1,2307.0,822.0,2429.0,987.0,,,,
15331,16:41.887,1,2307.0,822.0,2430.0,988.0,,,,
15332,16:41.920,1,2307.0,823.0,2431.0,990.0,,,,
15333,16:41.953,1,2307.0,825.0,2431.0,991.0,,,,
15334,16:41.987,1,2306.0,828.0,2429.0,993.0,,,,
15335,16:42.020,1,2306.0,828.0,2431.0,994.0,,,,
15336,16:42.053,1,2306.0,830.0,2429.0,994.0,,,,
15337,16:42.087,1,2306.0,831.0,2432.0,997.0,,,,
15338,16:42.120,1,2309.0,833.0,2434.0,999.0,,,,
15339,16:42.153,1,2310.0,835.0,2432.0,1000.0,,,,
15340,16:42.187,1,2311.0,833.0,2436.0,1004.0,,,,
15341,16:42.220,1,2311.0,834.0,2438.0,1005.0,,,,
15342,16:42.253,1,2311.0,835.0,2438.0,1006.0,,,,
15343,16:42.287,1,2312.0,837.0,2435.0,1008.0,,,,
15344,16:42.320,1,2312.0,839.0,2436.0,1010.0,,,,
15345,16:42.353,1,2315.0,842.0,2437.0,1011.0,,,,
15346,16:42.387,1,2317.0,843.0,2438.0,1012.0,,,,
15347,16:42.420,1,2319.0,845.0,2438.0,1014.0,,,,
15348,16:42.453,1,2319.0,844.0,2438.0,1012.0,,,,
15349,16:42.487,0,,,,,,,,
15350,16:42.520,0,,,,,,,,
15351,16:42.553,0,,,,,,,,
15352,16:42.587,0,,,,,,,,
15353,16:42.620,0,,,,,,,,
15354,16:42.653,0,,,,,,,,
15355,16:42.687,0,,,,,,,,
15356,16:42.720,0,,,,,,,,
15357,16:42.753,0,,,,,,,,
15358,16:42.787,0,,,,,,,,
15359,16:42.820,1,2322.0,859.0,2439.0,1021.0,,,,
15360,16:42.853,1,2313.0,857.0,2436.0,1024.0,,,,
15361,16:42.887,1,2304.0,858.0,2427.0,1022.0,,,,
15362,16:42.920,1,2292.0,852.0,2413.0,1018.0,,,,
15363,16:42.953,1,2278.0,848.0,2406.0,1015.0,,,,
15364,16:42.987,1,2261.0,841.0,2393.0,1009.0,,,,
15365,16:43.020,1,2240.0,835.0,2379.0,1002.0,,,,
15366,16:43.053,1,2218.0,829.0,2353.0,991.0,,,,
