frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
8255,04:37.000,04:37.025,1,478.0,598.0,701.0,890.0,,,,
8270,04:37.500,04:37.525,1,479.0,597.0,700.0,884.0,,,,
8285,04:38.000,04:38.025,1,478.0,598.0,699.0,884.0,,,,
8300,04:38.500,04:38.525,1,479.0,602.0,702.0,890.0,,,,
8313,04:39.000,04:39.408,2,684.0,619.0,886.0,894.0,73.0,488.0,306.0,770.0
8318,04:39.500,04:39.500,2,975.0,674.0,1162.0,930.0,466.0,555.0,656.0,803.0
8334,04:40.000,04:40.027,2,1036.0,678.0,1223.0,936.0,545.0,568.0,725.0,815.0
8349,04:40.500,04:40.527,2,870.0,640.0,1062.0,906.0,331.0,521.0,531.0,785.0
8364,04:41.000,04:41.027,2,680.0,643.0,882.0,916.0,72.0,518.0,307.0,795.0
8377,04:41.500,04:41.527,2,700.0,704.0,902.0,979.0,122.0,564.0,350.0,827.0
8392,04:42.000,04:42.027,2,600.0,697.0,807.0,968.0,-25.0,547.0,213.0,823.0
8407,04:42.500,04:42.527,1,517.0,798.0,738.0,1087.0,,,,
8422,04:43.000,04:43.018,1,467.0,941.0,693.0,1234.0,,,,
8437,04:43.500,04:43.518,1,462.0,949.0,690.0,1243.0,,,,
8452,04:44.000,04:44.020,1,455.0,894.0,682.0,1190.0,,,,
8460,04:44.500,04:45.537,1,465.0,885.0,689.0,1173.0,,,,
8461,04:45.000,04:45.553,1,464.0,884.0,688.0,1172.0,,,,
8462,04:45.500,04:45.578,1,466.0,882.0,688.0,1169.0,,,,
8476,04:46.000,04:46.020,1,465.0,899.0,691.0,1190.0,,,,
8491,04:46.500,04:46.520,1,475.0,886.0,697.0,1178.0,,,,
8506,04:47.000,04:47.020,2,577.0,876.0,789.0,1160.0,-59.0,785.0,180.0,1064.0
8521,04:47.500,04:47.520,2,554.0,882.0,770.0,1171.0,-86.0,797.0,156.0,1079.0
8536,04:48.000,04:48.020,1,393.0,810.0,624.0,1102.0,,,,
8551,04:48.500,04:48.522,1,-85.0,819.0,189.0,1155.0,,,,
8566,04:49.000,04:49.022,0,,,,,,,,
8581,04:49.500,04:49.522,0,,,,,,,,
8596,04:50.000,04:50.022,0,,,,,,,,
8611,04:50.500,04:50.522,1,-38.0,872.0,239.0,1204.0,,,,
8626,04:51.000,04:51.022,1,16.0,883.0,303.0,1210.0,,,,
8641,04:51.500,04:51.522,1,46.0,882.0,326.0,1202.0,,,,
8656,04:52.000,04:52.022,1,62.0,878.0,338.0,1198.0,,,,
8671,04:52.500,04:52.523,1,67.0,880.0,339.0,1200.0,,,,
8687,04:53.000,04:53.023,1,102.0,885.0,371.0,1202.0,,,,
8702,04:53.500,04:53.523,1,435.0,864.0,661.0,1160.0,,,,
8717,04:54.000,04:54.023,2,1029.0,876.0,1216.0,1139.0,547.0,771.0,726.0,1014.0
8732,04:54.500,04:54.523,2,1211.0,909.0,1399.0,1166.0,759.0,784.0,928.0,1009.0
8741,04:55.000,04:55.040,2,752.0,779.0,923.0,1006.0,1222.0,900.0,1408.0,1156.0
8751,04:55.500,04:55.523,2,1076.0,833.0,1261.0,1095.0,588.0,723.0,763.0,956.0
