frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
4200,02:20.000,02:20.030,1,78.0,576.0,222.0,763.0
4215,02:20.500,02:20.530,1,76.0,586.0,220.0,771.0
4230,02:21.000,02:21.030,1,80.0,608.0,226.0,793.0
4245,02:21.500,02:21.530,1,87.0,632.0,230.0,817.0
4260,02:22.000,02:22.030,1,69.0,622.0,214.0,809.0
4275,02:22.500,02:22.530,1,87.0,614.0,228.0,801.0
4290,02:23.000,02:23.030,1,80.0,621.0,223.0,807.0
4305,02:23.500,02:23.532,1,139.0,580.0,275.0,763.0
4320,02:24.000,02:24.032,1,136.0,576.0,275.0,762.0
4335,02:24.500,02:24.532,1,170.0,571.0,309.0,750.0
4350,02:25.000,02:25.032,1,154.0,552.0,297.0,737.0
4365,02:25.500,02:25.532,1,148.0,560.0,289.0,743.0
4380,02:26.000,02:26.032,1,136.0,560.0,279.0,742.0
4395,02:26.500,02:26.532,1,117.0,569.0,259.0,751.0
4410,02:27.000,02:27.032,1,107.0,571.0,251.0,755.0
4424,02:27.500,02:27.500,1,105.0,566.0,249.0,752.0
4439,02:28.000,02:28.000,1,97.0,573.0,240.0,759.0
4454,02:28.500,02:28.500,1,88.0,577.0,231.0,762.0
4469,02:29.000,02:29.000,1,83.0,580.0,227.0,765.0
4484,02:29.500,02:29.500,1,72.0,574.0,218.0,762.0
4499,02:30.000,02:30.000,1,75.0,569.0,219.0,757.0
4514,02:30.500,02:30.500,1,81.0,567.0,224.0,753.0
4530,02:31.000,02:31.025,1,74.0,555.0,220.0,743.0
4545,02:31.500,02:31.525,1,84.0,552.0,228.0,739.0
4560,02:32.000,02:32.027,1,92.0,536.0,237.0,725.0
4575,02:32.500,02:32.527,1,95.0,502.0,243.0,690.0
4591,02:33.000,02:33.027,1,89.0,509.0,235.0,698.0
4608,02:33.500,02:33.527,1,83.0,512.0,229.0,702.0
4624,02:34.000,02:34.027,1,88.0,518.0,232.0,705.0
4640,02:34.500,02:34.527,1,86.0,521.0,228.0,708.0
4656,02:35.000,02:35.027,1,83.0,525.0,224.0,712.0
4671,02:35.500,02:35.518,1,77.0,526.0,222.0,715.0
4687,02:36.000,02:36.028,1,59.0,515.0,216.0,709.0
4702,02:36.500,02:36.528,1,60.0,514.0,218.0,708.0
4717,02:37.000,02:37.028,1,59.0,513.0,215.0,706.0
4732,02:37.500,02:37.528,1,93.0,518.0,231.0,707.0
4747,02:38.000,02:38.028,1,91.0,514.0,229.0,705.0
4762,02:38.500,02:38.528,1,97.0,508.0,233.0,698.0
4777,02:39.000,02:39.028,1,98.0,503.0,235.0,692.0
4795,02:39.500,02:39.512,1,92.0,502.0,228.0,689.0
4825,02:40.000,02:40.012,1,90.0,504.0,227.0,693.0
4855,02:40.500,02:40.513,1,89.0,501.0,228.0,689.0
4885,02:41.000,02:41.013,1,89.0,503.0,228.0,691.0
4915,02:41.500,02:41.513,1,87.0,500.0,226.0,689.0
4945,02:42.000,02:42.013,1,91.0,499.0,228.0,688.0
4975,02:42.500,02:42.513,1,87.0,501.0,225.0,690.0
5005,02:43.000,02:43.013,1,91.0,501.0,231.0,690.0
