frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
18051,19:26.242,4,1200.0,632.0,1382.0,890.0,846.0,768.0,979.0,943.0,427.0,680.0,556.0,850.0,1797.0,729.0,1947.0,925.0
18052,19:26.275,4,1199.0,634.0,1380.0,889.0,845.0,768.0,979.0,942.0,426.0,679.0,555.0,850.0,1799.0,730.0,1948.0,924.0
18053,19:26.308,4,1199.0,633.0,1379.0,889.0,426.0,679.0,555.0,850.0,844.0,767.0,978.0,942.0,1801.0,730.0,1951.0,924.0
18054,19:26.342,4,1199.0,633.0,1379.0,888.0,426.0,679.0,555.0,850.0,844.0,767.0,978.0,942.0,1805.0,732.0,1953.0,923.0
18055,19:26.375,4,1199.0,633.0,1379.0,888.0,426.0,679.0,555.0,849.0,844.0,766.0,978.0,942.0,1810.0,734.0,1957.0,922.0
18056,19:26.408,4,1198.0,633.0,1379.0,888.0,844.0,766.0,978.0,942.0,427.0,677.0,556.0,849.0,1814.0,734.0,1961.0,922.0
18057,19:26.442,4,1199.0,634.0,1379.0,888.0,845.0,767.0,978.0,942.0,427.0,678.0,557.0,849.0,1817.0,735.0,1963.0,922.0
18058,19:26.475,4,1199.0,635.0,1379.0,890.0,845.0,767.0,979.0,943.0,428.0,678.0,558.0,849.0,1819.0,733.0,1966.0,923.0
18059,19:26.508,4,1199.0,634.0,1380.0,892.0,844.0,768.0,978.0,944.0,427.0,679.0,558.0,851.0,1819.0,733.0,1969.0,925.0
18060,19:26.542,4,1199.0,636.0,1379.0,893.0,844.0,769.0,978.0,945.0,427.0,679.0,558.0,853.0,1823.0,735.0,1969.0,925.0
18061,19:26.575,4,1199.0,638.0,1379.0,894.0,844.0,770.0,978.0,946.0,429.0,682.0,559.0,855.0,1825.0,734.0,1971.0,927.0
18062,19:26.608,4,1198.0,639.0,1378.0,894.0,844.0,770.0,978.0,946.0,429.0,682.0,560.0,856.0,1828.0,732.0,1976.0,928.0
18063,19:26.642,4,1198.0,639.0,1378.0,894.0,843.0,771.0,977.0,946.0,429.0,683.0,560.0,858.0,1830.0,731.0,1978.0,928.0
18064,19:26.675,4,1198.0,639.0,1378.0,894.0,843.0,770.0,977.0,946.0,429.0,683.0,560.0,859.0,1833.0,731.0,1981.0,930.0
18065,19:26.708,4,1197.0,638.0,1378.0,894.0,842.0,770.0,977.0,946.0,428.0,684.0,559.0,860.0,1835.0,728.0,1983.0,931.0
18066,19:26.742,4,1196.0,637.0,1377.0,894.0,842.0,770.0,976.0,947.0,428.0,684.0,559.0,860.0,1837.0,725.0,1984.0,931.0
18067,19:26.775,4,1195.0,637.0,1376.0,895.0,841.0,773.0,974.0,947.0,427.0,686.0,557.0,861.0,1841.0,725.0,1984.0,932.0
18068,19:26.810,4,1193.0,639.0,1375.0,895.0,426.0,688.0,556.0,862.0,841.0,775.0,973.0,947.0,1844.0,722.0,1986.0,932.0
