frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,013_detected,013_tl_x,013_tl_y,013_br_x,013_br_y,gaze_on_013,014_detected,014_tl_x,014_tl_y,014_br_x,014_br_y,gaze_on_014,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
13931,07:42.398,922.0,774.0,273.0,0.0,273.0,3,True,True,1224,611,1318,788,False,False,,,,,False,True,-143,440,206,846,False
13946,07:42.896,1562.0,908.0,640.0,134.0,653.8776643990832,3,True,True,1918,651,2032,857,False,False,,,,,False,True,732,555,992,870,False
13961,07:43.394,1075.0,667.0,-487.0,-241.0,543.3691194758864,3,True,True,2064,758,2186,972,False,False,,,,,False,True,1615,860,1780,1130,False
13976,07:43.892,874.0,701.0,-201.0,34.0,203.85534086699812,3,True,True,1988,766,2106,969,False,False,,,,,False,True,1556,873,1716,1132,False
13991,07:44.390,826.0,827.0,-48.0,126.0,134.83323032546537,3,True,True,1913,783,2026,988,False,False,,,,,False,True,1494,890,1653,1149,False
14006,07:44.887,771.0,972.0,-55.0,145.0,155.08062419270823,3,True,True,1867,792,1980,993,False,False,,,,,False,True,1453,894,1609,1153,False
14021,07:45.385,751.0,785.0,-20.0,-187.0,188.06647760831805,3,True,True,1867,822,1980,1019,False,False,,,,,False,True,1452,913,1608,1178,False
14036,07:45.883,699.0,868.0,-52.0,83.0,97.9438614717635,3,True,True,1861,847,1975,1044,False,False,,,,,False,True,1449,938,1604,1202,False
14051,07:46.381,772.0,993.0,73.0,125.0,144.75496537252187,3,True,True,1861,849,1973,1044,False,False,,,,,False,True,1447,938,1602,1203,False
14066,07:46.879,753.0,741.0,-19.0,-252.0,252.7152547829276,3,True,True,1863,844,1978,1044,False,False,,,,,False,True,1449,942,1605,1200,False
14081,07:47.377,759.0,724.0,6.0,-17.0,18.02775637731995,3,True,True,1875,840,1988,1038,False,False,,,,,False,True,1454,928,1611,1188,False
14096,07:47.875,684.0,867.0,-75.0,143.0,161.47445618425226,3,True,True,1767,737,1870,930,False,False,,,,,False,True,1361,815,1509,1067,False
14111,07:48.373,650.0,902.0,-34.0,35.0,48.79549159502341,1,True,False,,,,,False,False,,,,,False,True,649,817,817,1089,True
14126,07:48.870,842.0,753.0,192.0,-149.0,243.03291958086666,2,True,True,1094,675,1181,844,False,False,,,,,False,True,684,745,851,1018,True
14141,07:49.368,1398.0,895.0,556.0,142.0,573.8466694161428,3,True,True,1743,660,1845,851,False,False,,,,,False,True,519,559,810,906,False
14156,07:49.866,739.0,746.0,-659.0,-149.0,675.6345165842254,3,True,True,1865,736,1977,937,False,False,,,,,False,True,1446,825,1599,1083,False
14171,07:50.364,1160.0,834.0,421.0,88.0,430.0988258528498,3,True,True,1492,758,1585,935,False,False,,,,,False,True,205,593,536,955,False
14186,07:50.862,711.0,830.0,-449.0,-4.0,449.01781701843413,2,True,True,972,738,1064,919,False,False,,,,,False,True,542,823,721,1100,True
14201,07:51.360,369.0,955.0,-342.0,125.0,364.12772484390695,2,True,True,815,736,912,921,False,False,,,,,False,True,343,835,541,1115,True
14216,07:51.858,155.0,944.0,-214.0,-11.0,214.28252378577213,1,True,True,82,764,221,990,True,False,,,,,False,False,,,,,False
14231,07:52.356,,,,,,0,False,False,,,,,False,False,,,,,False,False,,,,,False
14246,07:52.854,48.0,937.0,,,,1,True,True,-30,774,133,1020,True,False,,,,,False,False,,,,,False
14261,07:53.351,6.0,841.0,-42.0,-96.0,104.78549517943787,1,True,True,-58,770,109,1018,True,False,,,,,False,False,,,,,False
14276,07:53.849,482.0,875.0,476.0,34.0,477.2127408190188,2,True,True,896,745,989,925,False,False,,,,,False,True,440,824,628,1100,True
14291,07:54.347,790.0,948.0,308.0,73.0,316.53277871335854,2,True,True,1119,812,1205,988,False,False,,,,,False,True,708,893,873,1161,True
14306,07:54.845,759.0,963.0,-31.0,15.0,34.43835071544513,2,True,True,1163,801,1248,976,False,False,,,,,False,True,757,877,918,1146,True
14321,07:55.343,737.0,899.0,-22.0,-64.0,67.67569726275453,1,True,False,,,,,False,False,,,,,False,True,693,863,858,1138,True
14336,07:55.841,826.0,867.0,89.0,-32.0,94.57801012920497,2,True,True,1086,787,1174,964,False,False,,,,,False,True,665,859,835,1136,True
14351,07:56.339,664.0,859.0,-162.0,-8.0,162.19741058352318,2,True,True,935,768,1026,940,False,False,,,,,False,True,487,852,672,1133,True
14366,07:56.837,625.0,917.0,-39.0,58.0,69.8927750200262,2,True,True,903,760,995,934,False,False,,,,,False,True,450,840,641,1130,True
14381,07:57.334,605.0,858.0,-20.0,-59.0,62.297672508690084,2,True,True,881,755,972,937,False,False,,,,,False,True,424,851,614,1133,True
14396,07:57.832,422.0,942.0,-183.0,84.0,201.357890334598,2,True,True,879,754,968,921,False,False,,,,,False,True,421,845,611,1132,True
14411,07:58.330,524.0,884.0,102.0,-58.0,117.33712115098102,2,True,True,871,750,964,928,False,False,,,,,False,True,416,842,606,1125,True
14426,07:58.828,591.0,830.0,67.0,-54.0,86.05230967266364,2,True,True,867,733,964,914,False,False,,,,,False,True,407,820,602,1109,True
14441,07:59.326,520.0,1011.0,-71.0,181.0,194.42736432920137,2,True,True,877,708,969,886,False,False,,,,,False,True,412,773,606,1070,True
14456,07:59.824,824.0,980.0,304.0,-31.0,305.57650433238484,2,True,True,1158,704,1248,881,False,False,,,,,False,True,744,766,906,1039,True
14471,08:00.322,1183.0,797.0,359.0,-183.0,402.9516099980244,3,True,True,1452,665,1540,842,False,False,,,,,False,True,168,459,503,826,False
14486,08:00.820,946.0,851.0,-237.0,54.0,243.0740627874558,3,True,True,1311,685,1400,866,False,False,,,,,False,True,-38,439,320,840,False
14501,08:01.318,1001.0,943.0,55.0,92.0,107.18675291284832,3,True,True,1337,662,1424,845,False,False,,,,,False,True,-10,458,362,855,False
14516,08:01.815,760.0,831.0,-241.0,-112.0,265.75364531836624,2,True,True,1131,653,1219,832,False,False,,,,,False,True,716,726,878,987,True
14531,08:02.313,672.0,838.0,-88.0,7.0,88.2779700718135,2,True,True,1047,634,1137,811,False,False,,,,,False,True,624,696,795,971,True
14546,08:02.811,741.0,939.0,69.0,101.0,122.31925441237779,2,True,True,1143,637,1231,814,False,False,,,,,False,True,726,691,890,964,True
14561,08:03.309,778.0,798.0,37.0,-141.0,145.77379737113253,2,True,True,1146,638,1234,815,False,False,,,,,False,True,731,693,893,961,True
14576,08:03.807,874.0,716.0,96.0,-82.0,126.25371281669302,2,True,True,1146,633,1232,811,False,False,,,,,False,True,728,684,892,958,True
14591,08:04.305,881.0,879.0,7.0,163.0,163.1502375113196,2,True,True,1216,616,1300,795,False,False,,,,,False,True,804,670,963,933,True
14606,08:04.803,804.0,819.0,-77.0,-60.0,97.61659694949421,2,True,True,1177,627,1261,807,False,False,,,,,False,True,760,683,922,953,True
14621,08:05.301,836.0,878.0,32.0,59.0,67.11929677819934,2,True,True,1171,597,1262,782,False,False,,,,,False,True,757,672,919,935,True
14636,08:05.798,525.0,917.0,-311.0,39.0,313.43579884882325,2,True,True,952,678,1046,857,False,False,,,,,False,True,474,770,669,1059,True
14651,08:06.296,791.0,785.0,266.0,-132.0,296.95117443781896,2,True,True,1247,713,1341,904,False,False,,,,,False,True,782,775,960,1062,True
14666,08:06.794,1069.0,779.0,278.0,-6.0,278.0647406630334,3,True,True,1469,586,1565,780,False,False,,,,,False,True,26,393,396,805,False
14681,08:07.292,618.0,721.0,-451.0,-58.0,454.7141959516989,3,True,True,1723,585,1829,781,False,False,,,,,False,True,1281,667,1438,927,False
14696,08:07.790,1112.0,790.0,494.0,69.0,498.7955492985077,3,True,True,1462,511,1558,697,False,False,,,,,False,True,92,388,430,762,False
14711,08:08.288,895.0,887.0,-217.0,97.0,237.6930794112441,2,True,True,1249,609,1340,788,False,False,,,,,False,True,816,675,979,940,True
14726,08:08.786,667.0,914.0,-228.0,27.0,229.59311836376978,2,True,True,1064,686,1152,866,False,False,,,,,False,True,602,760,779,1033,True
14741,08:09.284,724.0,955.0,57.0,41.0,70.21395872616783,2,True,True,1101,668,1187,853,False,False,,,,,False,True,639,732,814,1011,True
14756,08:09.781,735.0,952.0,11.0,-3.0,11.40175425099138,2,True,True,1103,666,1194,849,False,False,,,,,False,True,652,729,825,1007,True
14771,08:10.279,687.0,916.0,-48.0,-36.0,60.0,2,True,True,1132,845,1223,1025,False,False,,,,,False,True,679,909,851,1186,True
14786,08:10.777,742.0,1002.0,55.0,86.0,102.08329931972223,2,True,True,1129,782,1222,965,False,False,,,,,False,True,681,846,851,1120,True
14801,08:11.275,687.0,867.0,-55.0,-135.0,145.7737973711325,2,True,True,1099,814,1187,995,False,False,,,,,False,True,640,866,812,1144,True
14816,08:11.773,652.0,965.0,-35.0,98.0,104.06248123122954,2,True,True,1098,835,1188,1018,False,False,,,,,False,True,636,897,809,1173,True
14831,08:12.271,812.0,939.0,160.0,-26.0,162.09873534361705,2,True,True,1202,773,1295,964,False,False,,,,,False,True,760,826,921,1099,True
14846,08:12.769,761.0,832.0,-51.0,-107.0,118.53269591129698,2,True,True,1198,773,1288,953,False,False,,,,,False,True,753,823,917,1090,True
14861,08:13.267,761.0,823.0,0.0,-9.0,9.0,2,True,True,1196,766,1287,943,False,False,,,,,False,True,753,816,914,1085,True
14876,08:13.765,833.0,1007.0,72.0,184.0,197.5854245636555,2,True,True,1204,744,1293,926,False,False,,,,,False,True,760,794,922,1060,True
14891,08:14.262,808.0,893.0,-25.0,-114.0,116.70903992407787,2,True,True,1207,718,1298,895,False,False,,,,,False,True,767,765,926,1027,True
14906,08:14.760,872.0,950.0,64.0,57.0,85.70297544426332,2,True,True,1238,692,1329,872,False,False,,,,,False,True,798,739,961,1004,True
14921,08:15.258,1026.0,965.0,154.0,15.0,154.72879499304582,3,True,True,1399,704,1494,887,False,False,,,,,False,True,167,550,523,930,False
14936,08:15.756,1168.0,837.0,142.0,-128.0,191.17531221368517,3,True,True,1545,639,1644,822,False,False,,,,,False,True,421,527,735,870,False
14951,08:16.254,972.0,651.0,-196.0,-186.0,270.2073278058906,3,True,True,1397,588,1494,778,False,False,,,,,False,True,232,495,543,836,False
14966,08:16.752,968.0,867.0,-4.0,216.0,216.03703386225246,3,True,True,1333,601,1429,788,False,False,,,,,False,True,120,442,424,786,False
14981,08:17.250,945.0,791.0,-23.0,-76.0,79.40403012442127,3,True,True,1330,587,1427,775,False,False,,,,,False,True,94,405,404,744,False
14996,08:17.748,945.0,825.0,0.0,34.0,34.0,3,True,True,1319,557,1412,753,False,False,,,,,False,True,71,394,389,700,False
15011,08:18.245,898.0,884.0,-47.0,59.0,75.43208866258445,3,True,True,1272,622,1366,810,False,False,,,,,False,True,9,420,337,758,False
15026,08:18.743,815.0,689.0,-83.0,-195.0,211.92923347193044,3,True,True,1258,628,1352,821,False,False,,,,,False,True,-6,449,306,776,False
15041,08:19.241,868.0,907.0,53.0,218.0,224.35017272112808,3,True,True,1247,646,1339,829,False,False,,,,,False,True,-25,462,287,785,False
15056,08:19.739,858.0,841.0,-10.0,-66.0,66.75327707311455,3,True,True,1268,691,1363,880,False,False,,,,,False,True,16,499,339,818,False
15071,08:20.237,890.0,719.0,32.0,-122.0,126.1269202034205,3,True,True,1291,675,1386,865,False,False,,,,,False,True,48,475,370,791,False
15086,08:20.735,940.0,796.0,50.0,77.0,91.80958555619343,3,True,True,1278,642,1369,828,False,False,,,,,False,True,13,415,347,756,False
15101,08:21.233,834.0,658.0,-106.0,-138.0,174.01149387324963,3,True,True,1272,612,1367,802,False,False,,,,,False,True,10,396,336,726,False
15116,08:21.731,913.0,912.0,79.0,254.0,266.0018796926067,3,True,True,1288,657,1382,846,False,False,,,,,False,True,40,441,360,771,False
