frame,time,faces_detected_count,042_detected,042_tl_x,042_tl_y,042_br_x,042_br_y,043_detected,043_tl_x,043_tl_y,043_br_x,043_br_y,044_detected,044_tl_x,044_tl_y,044_br_x,044_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
6767,03:39.990,1,False,,,,,False,,,,,True,1455,890,1619,1092,False,,,,
6782,03:40.478,1,False,,,,,False,,,,,True,1482,886,1646,1091,False,,,,
6797,03:40.965,1,False,,,,,False,,,,,True,1492,880,1657,1088,False,,,,
6812,03:41.453,1,False,,,,,False,,,,,True,1532,891,1699,1101,False,,,,
6827,03:41.941,1,False,,,,,False,,,,,True,1558,882,1726,1091,False,,,,
6842,03:42.428,2,False,,,,,True,-22,810,191,1064,True,1722,896,1907,1121,False,,,,
6857,03:42.916,2,False,,,,,True,70,798,288,1050,True,1788,889,1978,1111,False,,,,
6872,03:43.404,2,False,,,,,True,-6,810,217,1057,True,1758,892,1946,1112,False,,,,
6887,03:43.891,2,False,,,,,True,-71,855,141,1097,True,1689,863,1869,1078,False,,,,
6902,03:44.379,2,False,,,,,True,26,868,265,1115,True,1752,879,1940,1101,False,,,,
6917,03:44.867,2,False,,,,,True,-74,855,138,1093,True,1672,879,1851,1093,False,,,,
6932,03:45.354,1,False,,,,,False,,,,,True,1639,862,1815,1076,False,,,,
6947,03:45.842,2,False,,,,,True,75,774,297,1019,True,1798,832,1992,1057,False,,,,
6962,03:46.329,2,False,,,,,True,198,799,402,1031,True,1889,841,2095,1071,False,,,,
6977,03:46.817,2,False,,,,,True,142,825,356,1056,True,1842,870,2041,1091,False,,,,
6992,03:47.305,2,False,,,,,True,177,852,386,1085,True,1873,915,2075,1143,False,,,,
7007,03:47.792,2,False,,,,,True,202,905,407,1142,True,1882,946,2085,1177,False,,,,
7022,03:48.280,2,False,,,,,True,127,795,341,1028,True,1828,843,2029,1067,False,,,,
7037,03:48.768,2,False,,,,,True,94,729,311,963,True,1803,763,1998,978,False,,,,
7052,03:49.255,2,False,,,,,True,165,672,373,912,True,1863,718,2064,944,False,,,,
7067,03:49.743,1,False,,,,,True,822,683,975,877,False,,,,,False,,,,
7082,03:50.231,1,False,,,,,True,742,680,899,880,False,,,,,False,,,,
7097,03:50.718,2,False,,,,,True,392,631,572,839,True,2060,673,2278,905,False,,,,
7112,03:51.206,2,False,,,,,True,-16,637,185,879,True,1698,661,1876,877,False,,,,
7127,03:51.693,2,False,,,,,True,-74,680,112,919,True,1645,669,1822,879,False,,,,
7142,03:52.181,2,False,,,,,True,-27,674,174,919,True,1704,676,1884,890,False,,,,
7157,03:52.669,2,False,,,,,True,9,663,230,909,True,1750,674,1936,886,False,,,,
7172,03:53.156,2,False,,,,,True,249,715,449,940,True,1932,749,2141,972,False,,,,
7187,03:53.644,2,False,,,,,True,264,762,459,980,True,1938,789,2147,1010,False,,,,
7202,03:54.132,2,False,,,,,True,261,714,461,945,True,1939,756,2149,977,False,,,,
7217,03:54.619,2,False,,,,,True,275,690,471,914,True,1950,724,2159,942,False,,,,
7232,03:55.107,2,False,,,,,True,280,681,477,905,True,1953,712,2164,932,False,,,,
7247,03:55.595,1,False,,,,,True,665,689,827,891,False,,,,,False,,,,
7262,03:56.082,1,False,,,,,True,830,680,981,867,False,,,,,False,,,,
7277,03:56.570,1,False,,,,,True,848,685,995,865,False,,,,,False,,,,
7292,03:57.057,1,False,,,,,True,790,731,939,914,False,,,,,False,,,,
7307,03:57.545,1,False,,,,,True,727,697,876,884,False,,,,,False,,,,
7322,03:58.033,1,False,,,,,True,674,684,829,876,False,,,,,False,,,,
7337,03:58.520,1,False,,,,,True,590,721,754,919,False,,,,,False,,,,
7352,03:59.008,2,False,,,,,True,504,740,674,944,True,2220,763,2444,1021,False,,,,
7367,03:59.496,2,False,,,,,True,497,715,670,921,True,2225,746,2448,998,False,,,,
7382,03:59.983,2,False,,,,,True,496,713,668,917,True,2216,740,2441,990,False,,,,
7397,04:00.471,2,False,,,,,True,499,713,670,918,True,2213,747,2437,997,False,,,,
7412,04:00.959,2,False,,,,,True,467,723,641,929,True,2172,745,2393,986,False,,,,
7427,04:01.446,1,False,,,,,False,,,,,True,1405,733,1563,932,False,,,,
7442,04:01.934,1,False,,,,,False,,,,,True,1350,722,1506,918,False,,,,
7457,04:02.422,1,False,,,,,False,,,,,True,1338,716,1495,915,False,,,,
7472,04:02.909,1,False,,,,,False,,,,,True,1342,709,1497,902,False,,,,
7487,04:03.397,1,False,,,,,False,,,,,True,1333,702,1490,894,False,,,,
7502,04:03.884,1,False,,,,,False,,,,,True,1333,704,1489,897,False,,,,
7517,04:04.372,1,False,,,,,False,,,,,True,1324,708,1477,903,False,,,,
7532,04:04.860,1,False,,,,,False,,,,,True,1344,724,1496,919,False,,,,
7547,04:05.347,1,False,,,,,False,,,,,True,1353,721,1504,915,False,,,,
7562,04:05.835,1,False,,,,,False,,,,,True,1356,719,1517,919,False,,,,
7577,04:06.323,1,False,,,,,False,,,,,True,1363,715,1525,912,False,,,,
7592,04:06.810,1,False,,,,,False,,,,,True,1356,708,1518,900,False,,,,
7607,04:07.298,1,False,,,,,False,,,,,True,1357,711,1519,906,False,,,,
7622,04:07.786,1,False,,,,,False,,,,,True,1355,712,1516,903,False,,,,
7637,04:08.273,1,False,,,,,False,,,,,True,1363,719,1524,919,False,,,,
7652,04:08.761,1,False,,,,,False,,,,,True,1373,722,1531,920,False,,,,
7667,04:09.248,1,False,,,,,False,,,,,True,1385,776,1545,971,False,,,,
7682,04:09.736,1,False,,,,,False,,,,,True,1387,782,1538,977,False,,,,
7697,04:10.224,1,False,,,,,False,,,,,True,1391,786,1551,983,False,,,,
7712,04:10.711,1,False,,,,,False,,,,,True,1489,745,1655,953,False,,,,
7727,04:11.199,1,False,,,,,False,,,,,True,1481,719,1647,925,False,,,,
7742,04:11.687,1,False,,,,,False,,,,,True,1465,695,1631,901,False,,,,
7757,04:12.174,1,False,,,,,False,,,,,True,1445,712,1611,915,False,,,,
7772,04:12.662,1,False,,,,,False,,,,,True,1432,720,1591,923,False,,,,
7787,04:13.150,1,False,,,,,False,,,,,True,1413,760,1577,960,False,,,,
7802,04:13.637,1,False,,,,,False,,,,,True,1409,728,1574,933,False,,,,
7817,04:14.125,1,False,,,,,False,,,,,True,1407,729,1572,937,False,,,,
7832,04:14.612,1,False,,,,,False,,,,,True,1422,724,1584,929,False,,,,
7847,04:15.100,1,False,,,,,False,,,,,True,1628,866,1802,1079,False,,,,
7862,04:15.588,2,False,,,,,True,27,825,249,1066,True,1784,842,1975,1066,False,,,,
7877,04:16.075,2,False,,,,,True,12,822,236,1065,True,1770,837,1960,1060,False,,,,
7892,04:16.563,2,False,,,,,True,-6,821,209,1066,True,1750,831,1938,1051,False,,,,
7907,04:17.051,2,False,,,,,True,-6,819,204,1052,True,1744,825,1930,1040,False,,,,
7922,04:17.538,2,False,,,,,True,-12,824,196,1063,True,1744,824,1928,1045,False,,,,
7937,04:18.026,1,False,,,,,False,,,,,True,1658,832,1836,1050,False,,,,
7952,04:18.514,1,False,,,,,False,,,,,True,1455,828,1620,1036,False,,,,
7967,04:19.001,1,False,,,,,False,,,,,True,1465,821,1634,1028,False,,,,
7982,04:19.489,1,False,,,,,False,,,,,True,1463,822,1630,1033,False,,,,
7997,04:19.977,1,False,,,,,False,,,,,True,1481,846,1647,1051,False,,,,
8012,04:20.464,1,False,,,,,False,,,,,True,1474,841,1640,1048,False,,,,
8027,04:20.952,1,False,,,,,False,,,,,True,1475,838,1639,1041,False,,,,
8042,04:21.439,1,False,,,,,False,,,,,True,1471,843,1638,1048,False,,,,
8057,04:21.927,1,False,,,,,False,,,,,True,1467,841,1634,1045,False,,,,
