frame,time,faces_detected_count,057_detected,057_tl_x,057_tl_y,057_br_x,057_br_y,058_detected,058_tl_x,058_tl_y,058_br_x,058_br_y,059_detected,059_tl_x,059_tl_y,059_br_x,059_br_y,060_detected,060_tl_x,060_tl_y,060_br_x,060_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
17137,09:26.990,2,False,,,,,False,,,,,False,,,,,True,963,1188,1049,1311,True,1635,1023,1735,1172
17152,09:27.486,2,False,,,,,False,,,,,False,,,,,True,960,1198,1045,1317,True,1630,1024,1732,1172
17167,09:27.982,2,False,,,,,False,,,,,False,,,,,True,963,1214,1049,1331,True,1635,1027,1737,1175
17182,09:28.479,2,False,,,,,False,,,,,False,,,,,True,972,1224,1056,1333,True,1638,1025,1740,1172
17197,09:28.975,2,False,,,,,False,,,,,False,,,,,True,976,1224,1060,1334,True,1640,1020,1743,1170
17212,09:29.471,2,False,,,,,False,,,,,False,,,,,True,975,1228,1059,1339,True,1635,1023,1737,1172
17227,09:29.968,2,False,,,,,False,,,,,False,,,,,True,977,1230,1060,1337,True,1633,1027,1734,1173
17242,09:30.464,2,False,,,,,False,,,,,False,,,,,True,984,1227,1067,1339,True,1636,1029,1740,1174
17257,09:30.960,2,False,,,,,False,,,,,False,,,,,True,989,1228,1072,1338,True,1643,1031,1746,1177
17272,09:31.456,2,False,,,,,False,,,,,False,,,,,True,984,1229,1067,1340,True,1636,1032,1741,1179
17287,09:31.953,2,False,,,,,False,,,,,False,,,,,True,982,1225,1064,1335,True,1634,1028,1736,1174
17302,09:32.449,2,False,,,,,False,,,,,False,,,,,True,982,1227,1064,1335,True,1634,1029,1736,1175
17317,09:32.945,2,False,,,,,False,,,,,False,,,,,True,985,1223,1068,1335,True,1635,1027,1737,1173
17332,09:33.442,2,False,,,,,False,,,,,False,,,,,True,989,1225,1072,1334,True,1643,1027,1748,1172
17347,09:33.938,2,False,,,,,False,,,,,False,,,,,True,989,1224,1072,1334,True,1638,1028,1744,1173
17362,09:34.434,2,False,,,,,False,,,,,False,,,,,True,989,1198,1071,1320,True,1651,1032,1759,1177
17377,09:34.930,2,False,,,,,False,,,,,False,,,,,True,993,1192,1073,1317,True,1664,1047,1773,1194
17392,09:35.427,1,False,,,,,False,,,,,False,,,,,True,1919,1099,2015,1232,False,,,,
17407,09:35.923,0,False,,,,,False,,,,,False,,,,,False,,,,,False,,,,
17422,09:36.419,0,False,,,,,False,,,,,False,,,,,False,,,,,False,,,,
17437,09:36.916,1,False,,,,,False,,,,,False,,,,,True,2307,952,2410,1091,False,,,,
17452,09:37.412,1,False,,,,,False,,,,,False,,,,,True,2218,966,2333,1108,False,,,,
17467,09:37.908,1,False,,,,,False,,,,,False,,,,,True,1998,973,2098,1105,False,,,,
17482,09:38.404,1,False,,,,,False,,,,,False,,,,,True,1974,1034,2073,1166,False,,,,
17497,09:38.901,1,False,,,,,False,,,,,False,,,,,True,1927,1055,2022,1184,False,,,,
17512,09:39.397,1,False,,,,,False,,,,,False,,,,,True,1908,1058,2004,1188,False,,,,
17527,09:39.893,1,False,,,,,False,,,,,False,,,,,True,1970,1036,2069,1169,False,,,,
17542,09:40.390,1,False,,,,,False,,,,,False,,,,,True,1939,1035,2044,1171,False,,,,
17557,09:40.886,1,False,,,,,False,,,,,False,,,,,True,1899,1037,2000,1174,False,,,,
17572,09:41.382,1,False,,,,,False,,,,,False,,,,,True,1946,993,2048,1125,False,,,,
17587,09:41.878,1,False,,,,,False,,,,,False,,,,,True,1975,1111,2081,1246,False,,,,
17602,09:42.375,1,False,,,,,False,,,,,False,,,,,True,1972,1002,2077,1136,False,,,,
17617,09:42.871,1,False,,,,,False,,,,,False,,,,,True,1931,948,2033,1080,False,,,,
17632,09:43.367,1,False,,,,,False,,,,,False,,,,,True,1923,959,2026,1093,False,,,,
17647,09:43.864,1,False,,,,,False,,,,,False,,,,,True,1931,970,2034,1101,False,,,,
17662,09:44.360,1,False,,,,,False,,,,,False,,,,,True,1892,996,1992,1124,False,,,,
17677,09:44.856,2,False,,,,,False,,,,,False,,,,,True,1357,941,1437,1054,True,2080,787,2230,948
17692,09:45.352,2,False,,,,,False,,,,,False,,,,,True,1175,1153,1258,1276,True,1872,1060,2003,1223
17707,09:45.849,2,False,,,,,False,,,,,False,,,,,True,1179,1158,1260,1280,True,1865,1046,1996,1206
17722,09:46.345,2,False,,,,,False,,,,,False,,,,,True,1276,1190,1355,1311,True,1996,1100,2136,1264
17737,09:46.841,2,False,,,,,False,,,,,False,,,,,True,1333,1219,1415,1347,True,2075,1126,2220,1293
17752,09:47.338,2,False,,,,,False,,,,,False,,,,,True,1351,1197,1434,1322,True,2093,1088,2238,1255
17767,09:47.834,2,False,,,,,False,,,,,False,,,,,True,1367,1148,1448,1268,True,2113,1037,2255,1203
17782,09:48.330,1,False,,,,,False,,,,,False,,,,,True,1828,1200,1925,1336,False,,,,
17797,09:48.826,1,False,,,,,False,,,,,False,,,,,True,1958,1173,2065,1315,False,,,,
17812,09:49.323,1,False,,,,,False,,,,,False,,,,,True,1977,1104,2084,1241,False,,,,
17827,09:49.819,1,False,,,,,False,,,,,False,,,,,True,1927,1094,2025,1229,False,,,,
17842,09:50.315,1,False,,,,,False,,,,,False,,,,,True,1598,1069,1682,1195,False,,,,
17857,09:50.812,1,False,,,,,False,,,,,False,,,,,True,1546,1076,1629,1199,False,,,,
17872,09:51.308,2,False,,,,,False,,,,,False,,,,,True,1488,1120,1568,1237,True,2288,978,2425,1141
17887,09:51.804,2,False,,,,,False,,,,,False,,,,,True,1466,1154,1549,1278,True,2264,1019,2414,1186
17902,09:52.300,2,False,,,,,False,,,,,False,,,,,True,1446,1098,1525,1218,True,2225,946,2378,1113
