time,faces_125,faces_126,faces_127
84.67,2.0,,
127.53,2.0,,
127.56,2.0,,
127.6,2.0,,
127.63,2.0,,
127.66,2.0,,
127.7,2.0,,
127.73,2.0,,
127.76,2.0,,
127.8,2.0,,
127.83,2.0,,
127.86,2.0,,
127.9,2.0,,
127.93,2.0,,
127.96,2.0,,
128.0,2.0,,
128.03,2.0,,
128.06,2.0,,
128.1,2.0,,
128.13,1.0,,
128.16,1.0,,
128.2,1.0,,
128.23,1.0,,
128.26,1.0,,
128.3,1.0,,
128.33,1.0,,
128.36,1.0,,
128.4,1.0,,
128.43,1.0,,
128.46,1.0,,
128.5,1.0,,
128.53,1.0,,
128.56,1.0,,
128.6,1.0,,
128.63,1.0,,
128.66,1.0,,
128.7,1.0,,
128.73,1.0,,
128.76,1.0,,
128.8,1.0,,
128.83,1.0,,
128.86,1.0,,
128.9,1.0,,
128.93,1.0,,
128.96,1.0,,
129.0,1.0,,
129.03,1.0,,
129.06,1.0,,
129.1,1.0,,
129.13,1.0,,
129.17,1.0,,
129.2,1.0,,
129.23,1.0,,
129.26,1.0,,
129.3,1.0,,
129.33,1.0,,
129.36,1.0,,
129.4,1.0,,
129.43,1.0,,
129.47,1.0,,
129.5,1.0,,
129.53,1.0,,
129.57,1.0,,
129.6,1.0,,
129.63,1.0,,
129.67,1.0,,
129.7,1.0,,
129.73,1.0,,
129.77,1.0,,
129.8,1.0,,
129.83,1.0,,
129.87,1.0,,
129.9,1.0,,
129.93,1.0,,
129.97,1.0,,
130.0,1.0,,
130.03,1.0,,
130.07,1.0,,
130.1,1.0,,
130.13,1.0,,
130.17,1.0,,
130.2,1.0,,
130.23,1.0,,
130.27,1.0,,
130.3,1.0,,
130.33,1.0,,
130.37,1.0,,
130.4,1.0,,
130.43,1.0,,
130.47,1.0,,
130.5,1.0,,
130.53,1.0,,
130.57,1.0,,
130.6,1.0,,
130.63,1.0,,
130.67,1.0,,
130.7,1.0,,
130.73,1.0,,
130.77,1.0,,
130.8,1.0,,
130.83,1.0,,
130.87,1.0,,
130.9,2.0,,
130.93,2.0,,
130.97,2.0,,
131.0,2.0,,
131.03,2.0,,
131.07,2.0,,
131.1,2.0,,
131.13,2.0,,
131.17,2.0,,
131.2,2.0,,
131.23,2.0,,
131.27,1.0,,
131.3,1.0,,
131.33,1.0,,
131.37,1.0,,
131.4,1.0,,
131.43,1.0,,
131.47,1.0,,
131.5,1.0,,
131.53,1.0,,
131.57,1.0,,
131.6,1.0,,
131.63,1.0,,
131.67,1.0,,
131.7,1.0,,
131.73,1.0,,
131.77,1.0,,
131.8,1.0,,
131.83,1.0,,
131.87,1.0,,
131.9,1.0,,
131.93,1.0,,
131.97,1.0,,
132.0,1.0,,
132.03,1.0,,
132.07,1.0,,
132.1,1.0,,
132.13,1.0,,
132.17,1.0,,
132.2,1.0,,
132.23,1.0,,
132.27,1.0,,
132.3,1.0,,
132.33,1.0,,
132.37,1.0,,
132.4,1.0,,
132.43,1.0,,
132.47,1.0,,
132.5,1.0,,
132.53,1.0,,
132.57,1.0,,
132.6,1.0,,
132.63,1.0,,
132.67,1.0,,
132.7,1.0,,
132.73,1.0,,
132.77,1.0,,
132.8,2.0,,
132.83,2.0,,
132.87,2.0,,
132.9,2.0,,
132.93,2.0,,
132.97,2.0,,
133.0,2.0,,
133.03,2.0,,
133.07,2.0,,
133.1,2.0,,
133.13,2.0,,
133.17,2.0,,
133.2,2.0,,
133.23,2.0,,
133.27,2.0,,
133.3,2.0,,
133.33,2.0,,
133.37,2.0,,
133.4,2.0,,
133.44,2.0,,
133.47,1.0,,
133.5,1.0,,
133.54,1.0,,
133.57,1.0,,
133.6,1.0,,
133.64,1.0,,
133.67,1.0,,
133.7,1.0,,
133.74,1.0,,
133.77,1.0,,
133.8,1.0,,
133.83,1.0,,
133.87,1.0,,
133.9,1.0,,
133.94,1.0,,
133.97,1.0,,
134.0,2.0,,
134.04,2.0,,
134.07,2.0,,
134.1,2.0,,
134.14,2.0,,
134.17,2.0,,
134.2,2.0,,
134.24,2.0,,
134.27,1.0,,
134.3,1.0,,
134.33,1.0,,
134.37,1.0,,
134.4,1.0,,
134.44,1.0,,
134.47,1.0,,
134.5,1.0,,
134.54,1.0,,
134.57,1.0,,
134.6,1.0,,
134.64,1.0,,
134.67,1.0,,
134.7,1.0,,
134.74,1.0,,
134.77,1.0,,
134.8,1.0,,
134.83,1.0,,
134.87,1.0,,
134.9,1.0,,
134.94,1.0,,
134.97,1.0,,
135.0,1.0,,
135.04,1.0,,
135.07,1.0,,
135.1,1.0,,
135.14,1.0,,
135.17,1.0,,
135.2,1.0,,
135.24,1.0,,
135.27,1.0,,
135.3,1.0,,
135.33,1.0,,
135.37,1.0,,
135.4,1.0,,
135.44,1.0,,
135.47,1.0,,
135.5,1.0,,
135.54,1.0,,
135.57,1.0,,
135.6,1.0,,
135.64,1.0,,
135.67,1.0,,
135.7,1.0,,
135.74,1.0,,
135.77,1.0,,
135.8,1.0,,
135.83,1.0,,
135.87,1.0,,
135.9,1.0,,
135.94,1.0,,
135.97,1.0,,
136.0,1.0,,
136.04,1.0,,
136.07,1.0,,
136.1,1.0,,
136.14,1.0,,
136.17,1.0,,
136.2,1.0,,
136.24,1.0,,
136.27,1.0,,
136.3,1.0,,
136.33,1.0,,
136.37,1.0,,
136.4,1.0,,
136.44,1.0,,
136.47,1.0,,
136.5,1.0,,
136.54,1.0,,
136.57,1.0,,
136.6,1.0,,
137.0,1.0,,
137.5,1.0,,
138.0,1.0,,
138.5,2.0,,
139.0,1.0,,
139.5,1.0,,
140.0,1.0,,
140.5,1.0,,
141.0,1.0,,
141.5,1.0,,
142.03,1.0,,
142.53,1.0,,
143.03,1.0,,
143.53,1.0,,
144.03,1.0,,
144.53,0.0,,
145.03,1.0,,
145.53,1.0,,
146.03,2.0,,
146.53,2.0,,
147.03,2.0,,
147.53,1.0,,
148.03,1.0,,
148.53,1.0,,
149.03,2.0,,
149.5,1.0,,
150.0,1.0,,
150.5,1.0,,
151.0,1.0,,
151.5,1.0,,
152.0,1.0,,
152.5,1.0,,
153.0,1.0,,
153.5,1.0,,
154.0,2.0,,
154.5,2.0,,
155.0,2.0,,
155.5,2.0,,
156.0,1.0,,
156.5,1.0,,
157.0,1.0,,
157.53,1.0,,
158.0,1.0,,
158.5,1.0,,
159.0,1.0,,
159.5,1.0,,
160.0,1.0,,
160.5,1.0,,
161.0,2.0,,
161.5,2.0,,
162.03,2.0,,
162.53,2.0,,
163.03,1.0,,
163.53,1.0,,
164.03,0.0,,
164.53,0.0,,
165.03,0.0,,
165.53,0.0,,
166.03,0.0,,
166.53,0.0,,
167.03,0.0,,
167.53,0.0,,
168.03,0.0,,
168.53,1.0,,
169.03,1.0,,
169.5,1.0,,
170.03,2.0,,
170.5,2.0,,
171.0,2.0,,
171.5,1.0,,
172.0,1.0,,
172.5,1.0,,
173.0,1.0,,
173.5,1.0,,
174.0,1.0,,
174.5,1.0,,
175.0,1.0,,
175.5,1.0,,
176.0,1.0,,
176.5,1.0,,
177.0,1.0,,
177.5,1.0,,
178.0,1.0,,
178.5,1.0,,
179.0,1.0,,
179.5,1.0,,
180.0,1.0,,
180.5,1.0,,
181.03,1.0,,
181.53,1.0,,
182.03,2.0,,
182.53,1.0,,
183.03,0.0,,
183.53,0.0,,
184.09,0.0,,
184.53,0.0,,
185.03,0.0,,
185.53,0.0,,
186.03,1.0,,
186.53,1.0,,
187.03,1.0,,
187.53,1.0,,
188.03,1.0,,
188.53,1.0,,
189.03,1.0,,
189.5,1.0,,
190.0,1.0,,
190.5,0.0,,
191.0,0.0,,
191.5,0.0,,
192.0,0.0,,
192.56,0.0,,
193.0,0.0,,
193.5,0.0,,
194.0,0.0,,
194.5,0.0,,
195.0,0.0,,
195.5,0.0,,
196.0,0.0,,
196.5,0.0,,
197.0,0.0,,
197.5,0.0,,
198.0,0.0,,
198.5,0.0,,
199.0,0.0,,
199.5,0.0,,
200.0,0.0,,
200.53,0.0,,
201.03,0.0,,
201.53,0.0,,
202.03,2.0,,
202.53,2.0,,
203.03,2.0,,
203.53,2.0,,
204.03,2.0,,
204.53,2.0,,
205.03,1.0,,
205.53,1.0,,
206.03,1.0,,
206.53,1.0,,
207.03,1.0,,
207.53,1.0,,
208.03,1.0,,
208.53,1.0,,
209.0,1.0,,
209.5,2.0,,
210.0,1.0,,
210.5,2.0,,
211.05,1.0,,
211.5,1.0,,
212.0,1.0,,
212.5,2.0,,
213.0,1.0,,
213.5,1.0,,
214.0,2.0,,
214.5,2.0,,
215.0,2.0,,
215.5,2.0,,
216.0,1.0,,
216.5,1.0,,
217.0,1.0,,
217.5,1.0,,
218.0,1.0,,
218.5,1.0,,
219.0,1.0,,
219.5,1.0,,
220.0,1.0,,
220.53,1.0,,
221.03,1.0,,
221.53,2.0,,
222.03,1.0,,
222.53,1.0,,
223.03,1.0,,
223.53,1.0,,
224.03,1.0,,
224.53,1.0,,
225.03,1.0,,
225.53,2.0,,
226.03,1.0,,
226.53,1.0,,
227.03,2.0,,
227.53,1.0,,
228.03,1.0,,
228.53,1.0,,
228.67,,,0.0
229.0,1.0,,
229.5,1.0,,
230.0,1.0,,
230.5,1.0,,
231.0,1.0,,
231.5,1.0,,
232.0,1.0,,
232.5,2.0,,
233.0,1.0,,
233.5,2.0,,
234.0,2.0,,
234.5,1.0,,
235.0,1.0,,
235.5,1.0,,
236.0,1.0,,
236.5,1.0,,
237.0,1.0,,
237.5,1.0,,
238.0,1.0,,
238.5,1.0,,
239.03,1.0,,
239.53,2.0,,
240.03,1.0,,
240.53,1.0,,
241.03,1.0,,
241.53,1.0,,
242.03,2.0,,
242.53,1.0,,
243.03,1.0,,
243.53,1.0,,
244.03,1.0,,
244.53,1.0,,
245.03,1.0,,
245.53,1.0,,
246.03,1.0,,
246.53,2.0,,
247.03,2.0,,
247.53,2.0,,
248.03,2.0,,
248.53,2.0,,
249.0,2.0,,
