time,faces_107,faces_108,faces_109,faces_110
208.67,3.0,,,
300.67,,,3.0,
308.23,3.0,,,
308.26,3.0,,,
308.29,3.0,,,
308.33,3.0,,,
308.36,3.0,,,
308.39,3.0,,,
308.43,3.0,,,
308.46,3.0,,,
308.49,3.0,,,
308.53,3.0,,,
308.56,3.0,,,
308.59,3.0,,,
308.63,3.0,,,
308.66,3.0,,,
308.69,3.0,,,
308.73,3.0,,,
308.76,3.0,,,
308.79,3.0,,,
308.83,3.0,,,
308.86,3.0,,,
308.89,3.0,,,
308.93,3.0,,,
308.96,3.0,,,
308.99,3.0,,,
309.03,3.0,,,
309.06,3.0,,,
309.09,3.0,,,
309.13,3.0,,,
309.16,3.0,,,
309.19,3.0,,,
309.23,3.0,,,
309.26,3.0,,,
309.29,3.0,,,
309.33,3.0,,,
309.36,3.0,,,
309.39,3.0,,,
309.43,3.0,,,
309.46,3.0,,,
309.49,3.0,,,
309.53,3.0,,,
309.56,3.0,,,
309.59,3.0,,,
309.63,3.0,,,
309.66,3.0,,,
309.69,3.0,,,
309.73,3.0,,,
309.76,3.0,,,
309.79,3.0,,,
309.83,3.0,,,
309.86,3.0,,,
309.89,3.0,,,
309.93,3.0,,,
309.96,3.0,,,
309.99,3.0,,,
310.03,3.0,,,
310.06,3.0,,,
310.09,3.0,,,
310.13,3.0,,,
310.16,3.0,,,
310.19,3.0,,,
310.23,3.0,,,
310.26,3.0,,,
310.29,3.0,,,
310.33,3.0,,,
310.36,3.0,,,
310.39,3.0,,,
310.43,3.0,,,
310.46,3.0,,,
310.49,3.0,,,
310.53,3.0,,,
310.56,3.0,,,
310.59,3.0,,,
310.63,3.0,,,
310.66,3.0,,,
310.69,3.0,,,
310.73,3.0,,,
310.76,3.0,,,
310.79,3.0,,,
310.83,3.0,,,
310.86,3.0,,,
310.89,3.0,,,
310.93,3.0,,,
310.96,3.0,,,
310.99,3.0,,,
311.03,3.0,,,
311.06,3.0,,,
311.09,3.0,,,
311.13,3.0,,,
311.16,3.0,,,
311.19,3.0,,,
311.23,3.0,,,
311.26,3.0,,,
311.29,3.0,,,
311.33,3.0,,,
311.36,3.0,,,
311.39,3.0,,,
311.43,3.0,,,
311.46,3.0,,,
311.49,3.0,,,
311.57,3.0,,,
311.59,3.0,,,
311.6,3.0,,,
311.63,3.0,,,
311.66,3.0,,,
311.7,3.0,,,
311.73,3.0,,,
311.76,3.0,,,
311.79,3.0,,,
311.83,3.0,,,
311.86,3.0,,,
311.9,3.0,,,
311.93,3.0,,,
311.96,3.0,,,
312.0,3.0,,,
312.03,3.0,,,
312.06,3.0,,,
312.1,3.0,,,
312.13,3.0,,,
312.16,3.0,,,
312.2,3.0,,,
312.23,3.0,,,
312.26,3.0,,,
312.29,3.0,,,
312.33,3.0,,,
312.36,3.0,,,
312.4,3.0,,,
312.43,3.0,,,
312.46,3.0,,,
312.5,3.0,,,
312.53,3.0,,,
312.56,3.0,,,
312.6,3.0,,,
312.63,3.0,,,
312.66,3.0,,,
312.7,3.0,,,
312.73,3.0,,,
312.76,3.0,,,
312.79,3.0,,,
312.83,3.0,,,
312.86,3.0,,,
312.9,3.0,,,
312.93,3.0,,,
312.96,3.0,,,
313.0,3.0,,,
313.03,3.0,,,
313.06,3.0,,,
313.1,3.0,,,
313.13,3.0,,,
313.16,3.0,,,
313.2,3.0,,,
313.23,3.0,,,
313.26,3.0,,,
313.29,3.0,,,
313.33,3.0,,,
313.36,3.0,,,
313.4,3.0,,,
313.43,3.0,,,
313.46,3.0,,,
313.5,3.0,,,
313.53,3.0,,,
313.56,3.0,,,
313.6,3.0,,,
313.63,3.0,,,
313.66,3.0,,,
313.7,3.0,,,
313.73,3.0,,,
313.76,3.0,,,
313.79,3.0,,,
313.83,3.0,,,
313.86,3.0,,,
313.9,3.0,,,
313.93,3.0,,,
313.96,3.0,,,
314.0,3.0,,,
314.03,3.0,,,
314.06,3.0,,,
314.1,3.0,,,
314.13,3.0,,,
314.16,3.0,,,
314.2,3.0,,,
314.23,3.0,,,
314.26,3.0,,,
314.29,3.0,,,
314.33,3.0,,,
314.36,3.0,,,
314.4,3.0,,,
314.43,3.0,,,
314.46,3.0,,,
314.5,3.0,,,
314.53,3.0,,,
314.56,3.0,,,
314.6,3.0,,,
314.63,3.0,,,
314.66,3.0,,,
314.7,3.0,,,
314.73,3.0,,,
314.76,3.0,,,
314.79,3.0,,,
314.83,3.0,,,
314.86,3.0,,,
314.9,3.0,,,
314.93,3.0,,,
314.96,3.0,,,
315.0,3.0,,,
315.03,3.0,,,
315.06,3.0,,,
315.1,3.0,,,
315.13,3.0,,,
315.16,3.0,,,
315.2,3.0,,,
315.23,3.0,,,
315.26,3.0,,,
315.29,3.0,,,
315.33,3.0,,,
315.36,3.0,,,
315.4,3.0,,,
315.43,3.0,,,
315.46,3.0,,,
315.5,3.0,,,
315.53,3.0,,,
315.56,3.0,,,
315.6,3.0,,,
315.63,3.0,,,
315.66,3.0,,,
315.7,3.0,,,
315.73,3.0,,,
315.76,3.0,,,
315.8,3.0,,,
315.83,3.0,,,
315.86,3.0,,,
315.9,3.0,,,
315.93,3.0,,,
315.96,3.0,,,
316.0,3.0,,,
316.03,3.0,,,
316.06,3.0,,,
316.1,3.0,,,
316.13,3.0,,,
316.16,3.0,,,
316.2,3.0,,,
316.23,3.0,,,
316.26,3.0,,,
316.3,3.0,,,
316.33,3.0,,,
316.36,3.0,,,
316.4,3.0,,,
316.43,3.0,,,
316.46,3.0,,,
316.5,3.0,,,
316.53,3.0,,,
316.56,3.0,,,
316.6,3.0,,,
316.63,3.0,,,
316.66,3.0,,,
316.7,3.0,,,
316.73,3.0,,,
316.76,3.0,,,
316.8,3.0,,,
316.83,3.0,,,
316.86,3.0,,,
316.9,3.0,,,
316.93,3.0,,,
316.96,3.0,,,
317.0,3.0,,,
317.03,3.0,,,
317.06,3.0,,,
317.1,3.0,,,
317.13,3.0,,,
317.16,3.0,,,
317.2,3.0,,,
317.23,3.0,,,
317.26,3.0,,,
317.3,3.0,,,
317.33,3.0,,,
317.36,3.0,,,
317.4,3.0,,,
317.43,3.0,,,
317.46,3.0,,,
317.5,3.0,,,
317.53,3.0,,,
317.56,3.0,,,
317.6,3.0,,,
317.63,3.0,,,
317.66,3.0,,,
317.7,3.0,,,
317.73,3.0,,,
317.76,3.0,,,
317.8,3.0,,,
317.83,3.0,,,
317.86,3.0,,,
317.9,3.0,,,
317.93,3.0,,,
317.96,3.0,,,
318.0,3.0,,,
318.03,3.0,,,
318.06,3.0,,,
318.1,3.0,,,
318.13,3.0,,,
318.16,3.0,,,
318.2,3.0,,,
318.23,3.0,,,
318.26,3.0,,,
318.3,3.0,,,
318.33,3.0,,,
318.36,3.0,,,
318.4,3.0,,,
318.43,3.0,,,
318.46,3.0,,,
318.5,3.0,,,
318.53,3.0,,,
318.56,3.0,,,
318.6,3.0,,,
318.63,3.0,,,
318.66,3.0,,,
318.7,3.0,,,
318.73,3.0,,,
318.76,3.0,,,
318.8,3.0,,,
318.83,3.0,,,
318.86,3.0,,,
318.9,3.0,,,
318.93,3.0,,,
318.96,3.0,,,
319.0,3.0,,,
319.03,3.0,,,
319.06,3.0,,,
319.1,3.0,,,
319.13,3.0,,,
319.16,3.0,,,
319.2,3.0,,,
319.23,3.0,,,
319.26,3.0,,,
319.3,3.0,,,
319.33,3.0,,,
319.36,3.0,,,
319.4,3.0,,,
319.43,3.0,,,
319.46,3.0,,,
319.5,3.0,,,
319.53,3.0,,,
319.57,3.0,,,
319.6,3.0,,,
319.63,3.0,,,
319.66,3.0,,,
319.7,3.0,,,
319.73,3.0,,,
319.76,3.0,,,
319.8,3.0,,,
319.83,3.0,,,
319.86,3.0,,,
319.9,3.0,,,
319.93,3.0,,,
319.97,3.0,,,
320.0,3.0,,,
320.03,3.0,,,
320.07,3.0,,,
320.1,3.0,,,
320.13,3.0,,,
320.16,3.0,,,
320.2,3.0,,,
320.23,3.0,,,
320.26,3.0,,,
320.3,3.0,,,
320.33,3.0,,,
320.36,3.0,,,
320.4,3.0,,,
320.43,3.0,,,
320.47,3.0,,,
320.5,3.0,,,
320.53,3.0,,,
320.57,3.0,,,
320.6,3.0,,,
320.63,3.0,,,
320.66,3.0,,,
320.7,3.0,,,
320.73,3.0,,,
320.76,3.0,,,
320.8,3.0,,,
320.83,3.0,,,
320.86,3.0,,,
320.9,3.0,,,
320.93,3.0,,,
320.97,3.0,,,
321.0,3.0,,,
321.03,3.0,,,
321.07,3.0,,,
321.1,3.0,,,
321.13,3.0,,,
321.16,3.0,,,
321.2,3.0,,,
321.23,3.0,,,
321.26,3.0,,,
321.3,3.0,,,
321.33,3.0,,,
321.36,3.0,,,
321.4,3.0,,,
321.43,3.0,,,
321.47,3.0,,,
321.5,3.0,,,
321.53,3.0,,,
321.57,3.0,,,
321.6,3.0,,,
321.63,3.0,,,
321.66,3.0,,,
321.7,3.0,,,
321.73,3.0,,,
321.76,3.0,,,
321.8,3.0,,,
321.83,3.0,,,
321.86,3.0,,,
321.9,3.0,,,
321.93,3.0,,,
321.97,3.0,,,
322.0,3.0,,,
322.03,3.0,,,
322.07,3.0,,,
322.1,3.0,,,
322.13,3.0,,,
322.16,3.0,,,
322.2,3.0,,,
322.23,3.0,,,
322.26,3.0,,,
322.3,3.0,,,
322.33,3.0,,,
322.36,3.0,,,
322.4,3.0,,,
322.43,3.0,,,
322.47,3.0,,,
322.5,3.0,,,
322.53,3.0,,,
322.57,3.0,,,
322.6,3.0,,,
