time,faces_045,faces_046,faces_047,faces_048,average_numeric,average_binary,task_start_sec,task_end_sec,condition
0.0,2.0,1.0,0.0,1,1.0,0.8,556.0,1336.0,Spatial/MR
0.5,2.0,1.0,0.0,1,1.0,0.8,556.0,1336.0,Spatial/MR
1.0,2.0,1.0,0.0,1,1.0,0.8,556.0,1336.0,Spatial/MR
1.5,2.0,1.0,0.0,1,1.0,0.8,556.0,1336.0,Spatial/MR
2.0,1.0,1.0,1.0,1,1.0,0.84,556.0,1336.0,Spatial/MR
2.5,2.0,1.0,1.0,1,1.04,0.87,556.0,1336.0,Spatial/MR
3.0,2.0,1.0,1.0,1,1.07,0.89,556.0,1336.0,Spatial/MR
3.5,2.0,1.0,1.0,1,1.09,0.9,556.0,1336.0,Spatial/MR
4.0,2.0,1.0,1.0,1,1.11,0.91,556.0,1336.0,Spatial/MR
4.5,2.0,1.0,1.0,1,1.12,0.92,556.0,1336.0,Spatial/MR
5.0,2.0,1.0,1.0,1,1.15,0.94,556.0,1336.0,Spatial/MR
5.5,2.0,1.0,1.0,1,1.18,0.96,556.0,1336.0,Spatial/MR
6.0,2.0,1.0,1.0,0,1.18,0.96,556.0,1336.0,Spatial/MR
6.5,1.0,1.0,1.0,0,1.15,0.96,556.0,1336.0,Spatial/MR
7.0,1.0,1.0,1.0,0,1.12,0.94,556.0,1336.0,Spatial/MR
7.5,2.0,1.0,1.0,0,1.1,0.92,556.0,1336.0,Spatial/MR
8.0,2.0,1.0,1.0,0,1.08,0.9,556.0,1336.0,Spatial/MR
8.5,2.0,1.0,1.0,0,1.05,0.88,556.0,1336.0,Spatial/MR
9.0,2.0,1.0,1.0,0,1.02,0.86,556.0,1336.0,Spatial/MR
9.5,2.0,1.0,1.0,0,1.0,0.84,556.0,1336.0,Spatial/MR
10.0,2.0,1.0,1.0,0,0.98,0.82,556.0,1336.0,Spatial/MR
10.5,2.0,1.0,1.0,1,0.98,0.82,556.0,1336.0,Spatial/MR
11.0,2.0,1.0,1.0,1,1.0,0.84,556.0,1336.0,Spatial/MR
11.5,1.0,1.0,1.0,0,1.0,0.84,556.0,1336.0,Spatial/MR
12.0,1.0,1.0,1.0,0,1.0,0.84,556.0,1336.0,Spatial/MR
12.5,1.0,1.0,1.0,0,0.98,0.84,556.0,1336.0,Spatial/MR
13.0,1.0,2.0,1.0,0,0.98,0.84,556.0,1336.0,Spatial/MR
13.5,1.0,1.0,1.0,0,0.95,0.84,556.0,1336.0,Spatial/MR
14.0,2.0,1.0,1.0,0,0.95,0.84,556.0,1336.0,Spatial/MR
14.5,2.0,1.0,1.0,0,0.95,0.84,556.0,1336.0,Spatial/MR
15.0,1.0,1.0,1.0,1,0.95,0.86,556.0,1336.0,Spatial/MR
15.5,1.0,1.0,1.0,1,0.92,0.86,556.0,1336.0,Spatial/MR
16.0,1.0,1.0,1.0,1,0.9,0.86,556.0,1336.0,Spatial/MR
16.5,1.0,1.0,1.0,1,0.92,0.88,556.0,1336.0,Spatial/MR
17.0,1.0,1.0,1.0,1,0.95,0.9,556.0,1336.0,Spatial/MR
17.5,1.0,1.0,1.0,1,0.98,0.92,556.0,1336.0,Spatial/MR
18.0,1.0,1.0,1.0,1,0.98,0.94,556.0,1336.0,Spatial/MR
18.5,1.0,1.0,1.0,1,1.0,0.96,556.0,1336.0,Spatial/MR
19.0,1.0,1.0,1.0,1,1.0,0.98,556.0,1336.0,Spatial/MR
19.5,1.0,1.0,1.0,1,1.0,1.0,556.0,1336.0,Spatial/MR
20.0,1.0,1.0,1.0,1,1.0,1.0,556.0,1336.0,Spatial/MR
20.5,1.0,1.0,1.0,1,1.0,1.0,556.0,1336.0,Spatial/MR
21.0,1.0,1.0,1.0,1,1.0,1.0,556.0,1336.0,Spatial/MR
21.5,1.0,1.0,1.0,1,1.0,1.0,556.0,1336.0,Spatial/MR
22.0,1.0,1.0,1.0,1,1.0,1.0,556.0,1336.0,Spatial/MR
22.5,1.0,1.0,1.0,1,1.0,1.0,556.0,1336.0,Spatial/MR
23.0,1.0,1.0,1.0,1,1.0,1.0,556.0,1336.0,Spatial/MR
23.5,1.0,1.0,1.0,1,1.0,1.0,556.0,1336.0,Spatial/MR
24.0,1.0,2.0,1.0,1,1.02,1.0,556.0,1336.0,Spatial/MR
24.5,1.0,1.0,1.0,1,1.02,1.0,556.0,1336.0,Spatial/MR
25.0,1.0,1.0,1.0,1,1.02,1.0,556.0,1336.0,Spatial/MR
25.5,1.0,1.0,1.0,1,1.02,1.0,556.0,1336.0,Spatial/MR
26.0,1.0,1.0,1.0,1,1.02,1.0,556.0,1336.0,Spatial/MR
26.5,1.0,1.0,1.0,1,1.02,1.0,556.0,1336.0,Spatial/MR
27.0,1.0,1.0,1.0,1,1.02,1.0,556.0,1336.0,Spatial/MR
27.5,1.0,1.0,1.0,1,1.02,1.0,556.0,1336.0,Spatial/MR
28.0,2.0,1.0,1.0,1,1.05,1.0,556.0,1336.0,Spatial/MR
28.5,1.0,1.0,1.0,1,1.05,1.0,556.0,1336.0,Spatial/MR
29.0,1.0,1.0,1.0,1,1.02,1.0,556.0,1336.0,Spatial/MR
29.5,1.0,1.0,0.0,1,1.0,0.98,556.0,1336.0,Spatial/MR
