time,faces_130,faces_131,average_numeric,average_binary,task_start_sec,task_end_sec,condition
49.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
49.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
50.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
50.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
51.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
51.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
52.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
52.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
53.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
53.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
54.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
54.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
55.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
55.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
56.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
56.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
57.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
57.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
58.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
58.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
59.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
59.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
60.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
60.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
61.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
61.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
62.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
62.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
63.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
63.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
64.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
64.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
65.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
65.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
66.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
66.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
67.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
67.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
68.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
68.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
69.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
69.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
70.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
70.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
71.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
71.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
72.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
72.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
73.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
73.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
74.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
74.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
75.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
75.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
76.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
76.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
77.0,1,0,0.95,0.97,405.0,1185.0,Grid/MR
77.5,1,0,0.9,0.93,405.0,1185.0,Grid/MR
78.0,1,1,0.9,0.93,405.0,1185.0,Grid/MR
78.5,1,1,0.9,0.93,405.0,1185.0,Grid/MR
79.0,1,1,0.9,0.93,405.0,1185.0,Grid/MR
79.5,1,1,0.9,0.93,405.0,1185.0,Grid/MR
80.0,1,1,0.9,0.93,405.0,1185.0,Grid/MR
80.5,1,1,0.9,0.93,405.0,1185.0,Grid/MR
81.0,1,1,0.9,0.93,405.0,1185.0,Grid/MR
81.5,1,1,0.9,0.93,405.0,1185.0,Grid/MR
82.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
82.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
83.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
83.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
84.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
84.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
85.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
85.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
86.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
86.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
87.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
87.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
88.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
88.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
89.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
89.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
90.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
90.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
91.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
91.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
92.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
92.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
93.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
93.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
94.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
94.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
95.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
95.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
96.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
96.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
97.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
97.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
98.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
98.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
99.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
99.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
100.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
100.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
101.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
101.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
102.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
102.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
103.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
103.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
104.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
104.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
105.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
105.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
106.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
106.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
107.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
107.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
108.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
108.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
109.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
109.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
