time,faces_013,faces_014
15.33,0.0,
21.64,0.0,
21.67,0.0,
21.7,0.0,
21.74,0.0,
21.77,0.0,
21.8,0.0,
21.84,0.0,
21.87,0.0,
21.9,0.0,
21.94,0.0,
21.97,0.0,
22.0,0.0,
22.03,0.0,
22.07,0.0,
22.1,0.0,
22.14,0.0,
22.17,0.0,
22.19,0.0,
22.21,0.0,
22.24,0.0,
22.27,0.0,
22.3,0.0,
22.34,0.0,
22.37,0.0,
22.4,0.0,
22.44,0.0,
22.47,0.0,
22.5,0.0,
22.53,0.0,
22.57,0.0,
22.6,0.0,
22.64,0.0,
22.67,0.0,
22.7,0.0,
22.74,0.0,
22.77,0.0,
22.8,0.0,
22.84,0.0,
22.87,0.0,
22.9,0.0,
22.94,0.0,
22.97,0.0,
23.0,0.0,
23.04,0.0,
23.07,0.0,
23.1,0.0,
23.5,1.0,
24.02,1.0,
24.5,1.0,
25.0,1.0,
25.5,1.0,
26.01,1.0,
26.5,1.0,
27.01,1.0,
27.51,1.0,
28.01,1.0,
28.51,1.0,
29.01,2.0,
29.51,2.0,
30.01,2.0,
30.51,1.0,
31.01,1.0,
31.51,1.0,
32.01,1.0,
32.53,1.0,
33.03,1.0,
33.53,1.0,
34.03,1.0,
34.53,1.0,
35.0,1.0,
35.51,0.0,
36.12,1.0,
36.5,1.0,
37.0,1.0,
37.5,1.0,
38.0,1.0,
38.5,1.0,
39.0,1.0,
39.53,2.0,
40.01,2.0,
40.58,1.0,
41.06,1.0,
41.58,1.0,
42.05,1.0,
42.5,1.0,
43.0,1.0,
43.5,1.0,
44.0,1.0,
44.5,1.0,
45.0,1.0,
45.5,1.0,
46.0,1.0,
46.5,1.0,
47.0,1.0,
47.5,1.0,
48.0,1.0,
48.5,1.0,
49.0,1.0,
49.5,1.0,
50.0,1.0,
50.5,1.0,
51.01,1.0,
51.51,1.0,
52.02,1.0,
52.51,1.0,
53.04,1.0,
53.63,1.0,
54.1,1.0,
54.56,1.0,
55.0,1.0,
55.5,1.0,
56.0,1.0,
56.5,1.0,
57.0,1.0,
57.5,1.0,
58.0,1.0,
58.5,1.0,
59.0,1.0,
59.5,1.0,
60.0,1.0,
60.5,1.0,
61.0,1.0,
61.5,1.0,
62.0,1.0,
62.5,1.0,
63.0,1.0,
63.5,1.0,
64.0,1.0,
64.55,1.0,
65.0,2.0,
65.5,2.0,
66.0,1.0,
66.5,2.0,
67.0,2.0,
67.5,2.0,
68.0,1.0,
68.5,1.0,
69.0,1.0,
69.5,1.0,
70.0,1.0,
70.5,1.0,
71.0,1.0,
71.53,1.0,
72.03,1.0,
72.53,1.0,
73.03,1.0,
73.53,1.0,
74.03,1.0,
74.53,1.0,
75.03,1.0,
75.5,1.0,
76.0,1.0,
76.5,1.0,
77.0,1.0,
77.5,1.0,
78.0,1.0,
78.5,0.0,
79.0,0.0,
79.5,0.0,
80.0,0.0,
80.53,1.0,
81.01,1.0,
81.52,0.0,
82.0,0.0,
82.5,0.0,
83.0,0.0,
83.5,0.0,
84.0,0.0,
84.5,0.0,
85.0,0.0,
85.5,0.0,
86.0,0.0,
86.55,0.0,
87.04,1.0,
87.5,1.0,
88.0,1.0,
88.53,0.0,
89.0,0.0,
89.5,0.0,
90.0,0.0,
90.54,0.0,
91.0,0.0,
91.53,0.0,
92.03,0.0,
92.53,0.0,
93.03,0.0,
93.53,0.0,
94.03,0.0,
94.53,0.0,
95.03,0.0,
95.5,0.0,
96.03,1.0,
96.5,0.0,
97.0,0.0,
97.5,0.0,
98.0,0.0,
98.5,0.0,
99.0,0.0,
99.5,0.0,
100.0,0.0,
100.5,0.0,
101.0,0.0,
101.57,1.0,
102.05,0.0,
102.55,0.0,
103.0,1.0,
103.5,1.0,
104.0,0.0,
104.54,1.0,
105.05,0.0,
105.5,1.0,
106.0,1.0,
106.5,1.0,
107.0,1.0,
107.5,1.0,
108.0,1.0,
108.5,1.0,
109.0,1.0,
109.5,1.0,
110.0,1.0,
110.5,1.0,
111.0,1.0,
111.53,0.0,
112.03,0.0,
112.52,0.0,
113.01,0.0,
113.72,1.0,
114.14,1.0,
114.6,1.0,
115.06,1.0,
115.5,0.0,
116.0,0.0,
116.5,0.0,
117.0,0.0,
117.5,0.0,
118.0,0.0,
118.5,0.0,
119.0,0.0,
119.5,0.0,
120.0,0.0,
120.5,0.0,
121.0,0.0,
121.5,0.0,
122.0,0.0,
122.5,0.0,
123.0,0.0,
123.5,1.0,
124.02,1.0,
124.57,0.0,
125.08,0.0,
125.5,1.0,
126.0,1.0,
