time,faces_053,faces_054
121.33,1.0,
182.51,1.0,
182.54,1.0,
182.58,1.0,
182.61,1.0,
182.64,1.0,
182.68,1.0,
182.71,1.0,
182.74,1.0,
182.78,1.0,
182.81,1.0,
182.85,1.0,
182.88,1.0,
182.91,1.0,
182.94,1.0,
182.98,1.0,
183.01,1.0,
183.04,1.0,
183.08,1.0,
183.11,1.0,
183.14,1.0,
183.18,1.0,
183.21,1.0,
183.24,1.0,
183.28,1.0,
183.31,1.0,
183.35,1.0,
183.38,1.0,
183.41,1.0,
183.44,1.0,
183.48,1.0,
183.51,1.0,
183.54,1.0,
183.58,1.0,
183.61,1.0,
183.64,1.0,
183.68,1.0,
183.71,1.0,
183.74,1.0,
183.78,1.0,
183.81,1.0,
183.85,1.0,
183.88,1.0,
183.91,1.0,
183.94,1.0,
183.98,1.0,
184.01,1.0,
184.04,1.0,
184.08,1.0,
184.11,1.0,
184.14,1.0,
184.18,1.0,
184.21,1.0,
184.24,1.0,
184.28,1.0,
184.31,1.0,
184.35,1.0,
184.38,1.0,
184.41,1.0,
184.44,1.0,
184.48,1.0,
184.51,1.0,
184.54,1.0,
184.58,1.0,
184.61,1.0,
184.64,1.0,
184.68,1.0,
184.71,1.0,
184.74,1.0,
184.78,1.0,
184.81,1.0,
184.85,1.0,
184.88,1.0,
184.91,1.0,
184.94,1.0,
184.98,1.0,
185.01,1.0,
185.04,1.0,
185.08,1.0,
185.11,1.0,
185.14,1.0,
185.18,1.0,
185.21,1.0,
185.24,1.0,
185.28,1.0,
185.31,1.0,
185.35,1.0,
185.38,1.0,
185.41,1.0,
185.44,1.0,
185.48,1.0,
185.51,1.0,
185.55,1.0,
185.58,1.0,
185.61,1.0,
185.65,1.0,
185.68,1.0,
185.71,1.0,
185.75,1.0,
185.78,1.0,
185.81,1.0,
185.85,1.0,
185.88,1.0,
185.91,1.0,
185.95,1.0,
185.98,1.0,
186.01,1.0,
186.05,1.0,
186.08,1.0,
186.11,1.0,
186.15,1.0,
186.18,1.0,
186.21,1.0,
186.25,1.0,
186.28,1.0,
186.31,1.0,
186.35,1.0,
186.38,1.0,
186.41,1.0,
186.45,1.0,
186.48,1.0,
186.51,1.0,
186.55,1.0,
186.58,1.0,
186.61,1.0,
186.65,1.0,
186.68,1.0,
186.71,1.0,
186.75,1.0,
186.78,1.0,
186.81,1.0,
186.85,1.0,
186.88,1.0,
186.91,1.0,
186.95,1.0,
186.98,1.0,
187.01,1.0,
187.05,1.0,
187.08,1.0,
187.11,1.0,
187.15,1.0,
187.18,1.0,
187.21,1.0,
187.25,1.0,
187.28,1.0,
187.31,1.0,
187.35,1.0,
187.38,1.0,
187.41,1.0,
187.45,1.0,
187.48,1.0,
187.51,1.0,
187.55,1.0,
187.58,1.0,
187.61,1.0,
187.65,1.0,
187.68,1.0,
187.71,1.0,
187.75,1.0,
187.78,1.0,
187.81,1.0,
187.85,1.0,
187.88,1.0,
187.91,1.0,
187.95,1.0,
187.98,1.0,
188.01,1.0,
188.05,1.0,
188.08,1.0,
188.11,1.0,
188.15,1.0,
188.18,1.0,
188.21,1.0,
188.25,1.0,
188.28,1.0,
188.31,1.0,
188.35,1.0,
188.38,1.0,
188.41,1.0,
188.45,1.0,
188.48,1.0,
188.51,1.0,
188.55,1.0,
188.58,1.0,
188.61,1.0,
188.65,1.0,
188.68,1.0,
188.71,1.0,
188.75,1.0,
188.78,1.0,
188.81,1.0,
188.85,1.0,
188.88,1.0,
188.91,1.0,
188.95,1.0,
188.98,1.0,
189.01,1.0,
189.05,1.0,
189.08,1.0,
189.11,1.0,
189.15,1.0,
189.18,1.0,
189.21,1.0,
189.25,1.0,
189.28,1.0,
189.31,1.0,
189.35,1.0,
189.38,1.0,
189.41,1.0,
189.45,1.0,
189.48,1.0,
189.52,1.0,
189.55,1.0,
189.58,1.0,
189.62,1.0,
189.65,1.0,
189.68,1.0,
189.71,1.0,
189.75,1.0,
189.78,1.0,
189.82,1.0,
189.85,1.0,
189.88,1.0,
189.92,1.0,
189.95,1.0,
189.98,1.0,
190.02,1.0,
190.05,1.0,
190.08,1.0,
190.12,1.0,
190.15,1.0,
190.18,1.0,
190.21,1.0,
190.25,1.0,
190.28,1.0,
190.32,1.0,
190.35,1.0,
190.38,1.0,
190.42,1.0,
190.45,1.0,
190.48,1.0,
190.52,1.0,
190.55,1.0,
190.58,1.0,
190.62,1.0,
190.65,1.0,
190.68,1.0,
190.71,1.0,
190.75,1.0,
190.78,1.0,
190.82,1.0,
190.85,1.0,
190.88,1.0,
190.92,1.0,
190.95,1.0,
190.98,1.0,
191.02,1.0,
191.05,1.0,
191.08,1.0,
191.12,1.0,
191.15,1.0,
191.18,1.0,
191.21,1.0,
191.25,1.0,
191.28,1.0,
191.32,1.0,
191.35,1.0,
191.38,1.0,
191.42,1.0,
191.45,1.0,
191.48,1.0,
191.52,1.0,
191.55,1.0,
191.58,1.0,
191.62,1.0,
191.65,1.0,
191.68,1.0,
191.71,1.0,
191.75,1.0,
191.78,1.0,
191.82,1.0,
191.85,1.0,
191.88,1.0,
191.92,1.0,
191.95,1.0,
191.98,1.0,
192.02,1.0,
192.05,1.0,
192.08,1.0,
192.12,1.0,
192.15,1.0,
192.18,1.0,
192.21,1.0,
192.25,1.0,
192.28,1.0,
192.32,1.0,
192.35,1.0,
192.38,1.0,
192.42,1.0,
192.45,1.0,
192.48,1.0,
192.52,1.0,
192.55,1.0,
192.58,1.0,
192.62,1.0,
192.65,1.0,
192.68,1.0,
192.71,1.0,
192.75,1.0,
192.78,1.0,
192.82,1.0,
192.85,1.0,
192.88,1.0,
192.92,1.0,
192.95,1.0,
192.98,1.0,
193.02,1.0,
193.05,1.0,
193.08,1.0,
193.12,1.0,
193.15,1.0,
193.18,1.0,
193.21,1.0,
193.25,1.0,
193.28,1.0,
193.32,1.0,
193.35,1.0,
193.38,1.0,
193.42,1.0,
193.45,1.0,
193.48,1.0,
193.52,1.0,
193.55,1.0,
193.58,1.0,
193.62,1.0,
193.65,1.0,
193.68,1.0,
193.72,1.0,
193.75,1.0,
193.78,1.0,
193.82,1.0,
193.84,1.0,
193.88,1.0,
193.91,1.0,
193.94,1.0,
193.98,1.0,
194.01,1.0,
194.04,1.0,
194.08,1.0,
194.11,1.0,
194.14,1.0,
194.18,1.0,
194.21,1.0,
194.24,1.0,
194.27,1.0,
194.31,1.0,
194.34,1.0,
194.38,1.0,
194.41,1.0,
194.44,1.0,
194.48,1.0,
194.51,1.0,
194.54,1.0,
194.58,1.0,
194.61,1.0,
194.64,1.0,
194.68,1.0,
194.71,1.0,
194.74,1.0,
194.77,1.0,
194.81,1.0,
194.84,1.0,
194.88,1.0,
194.91,1.0,
194.94,1.0,
194.98,1.0,
195.01,1.0,
195.04,1.0,
195.08,1.0,
195.11,1.0,
195.14,1.0,
195.18,1.0,
195.21,1.0,
195.24,1.0,
195.27,1.0,
195.31,1.0,
195.34,1.0,
195.38,1.0,
195.41,1.0,
195.44,1.0,
195.48,1.0,
195.51,1.0,
196.01,1.0,
196.51,1.0,
197.01,1.0,
197.51,1.0,
198.01,1.0,
198.51,1.0,
199.01,1.0,
199.51,1.0,
200.01,1.0,
200.51,1.0,
201.01,1.0,
201.51,1.0,
202.01,1.0,
202.51,1.0,
203.01,1.0,
203.51,1.0,
204.01,1.0,
204.51,1.0,
205.01,1.0,
205.51,1.0,
206.01,1.0,
206.51,1.0,
207.01,1.0,
207.51,1.0,
208.01,1.0,
208.51,1.0,
209.01,1.0,
209.52,1.0,
210.02,1.0,
210.52,1.0,
211.02,1.0,
211.52,1.0,
212.02,1.0,
212.52,1.0,
213.02,1.0,
213.52,1.0,
214.01,1.0,
214.51,1.0,
215.01,1.0,
215.51,1.0,
216.01,1.0,
216.51,1.0,
217.01,1.0,
217.51,1.0,
218.01,1.0,
218.51,1.0,
219.01,1.0,
219.51,1.0,
220.01,1.0,
220.51,1.0,
221.01,1.0,
221.51,1.0,
222.01,1.0,
222.51,1.0,
223.01,1.0,
223.51,1.0,
224.01,1.0,
224.51,1.0,
225.01,1.0,
225.51,1.0,
226.01,1.0,
226.51,1.0,
227.01,1.0,
227.51,1.0,
228.01,1.0,
228.51,1.0,
229.01,1.0,
229.52,1.0,
230.02,0.0,
230.52,0.0,
231.02,0.0,
231.52,0.0,
232.02,0.0,
232.52,0.0,
233.02,0.0,
233.51,0.0,
234.01,0.0,
234.51,0.0,
235.01,0.0,
235.51,0.0,
236.01,0.0,
236.51,0.0,
237.01,1.0,
237.51,0.0,
238.01,0.0,
238.51,0.0,
239.01,0.0,
239.51,0.0,
240.01,0.0,
240.51,1.0,
241.01,1.0,
241.53,0.0,
242.01,0.0,
242.51,1.0,
243.01,1.0,
243.51,1.0,
244.01,1.0,
244.51,1.0,
245.01,1.0,
245.51,1.0,
246.01,1.0,
246.51,0.0,
247.01,0.0,
247.51,1.0,
248.01,1.0,
248.51,1.0,
249.01,1.0,
249.52,1.0,
250.02,1.0,
250.52,1.0,
251.02,1.0,
251.52,1.0,
252.02,1.0,
252.52,1.0,
253.01,0.0,
253.51,1.0,
254.08,1.0,
254.51,1.0,
255.01,1.0,
255.51,1.0,
256.01,1.0,
256.51,1.0,
257.01,1.0,
257.51,1.0,
258.01,1.0,
258.51,0.0,
259.01,0.0,
259.51,1.0,
260.01,1.0,
260.51,1.0,
261.06,1.0,
261.51,1.0,
262.0,1.0,
262.51,1.0,
262.67,,0.0
263.01,1.0,
263.51,1.0,
264.01,0.0,
264.51,0.0,
265.01,0.0,
265.51,0.0,
266.01,1.0,
266.51,0.0,
267.01,1.0,
267.51,1.0,
268.01,1.0,
268.51,0.0,
269.02,0.0,
269.52,0.0,
270.02,0.0,
270.52,0.0,
271.02,1.0,
271.52,1.0,
272.02,1.0,
272.51,1.0,
273.01,1.0,
273.51,0.0,
274.01,1.0,
274.51,1.0,
275.01,1.0,
275.51,1.0,
276.01,1.0,
276.51,1.0,
277.01,1.0,
277.51,1.0,
278.01,1.0,
278.51,1.0,
279.01,1.0,
279.51,1.0,
280.01,1.0,
280.51,1.0,
281.01,1.0,
281.51,1.0,
282.01,1.0,
282.51,1.0,
283.01,1.0,
283.51,1.0,
284.01,1.0,
284.51,1.0,
285.01,0.0,
285.51,0.0,
286.01,1.0,
286.51,1.0,
287.01,1.0,
287.51,1.0,
288.01,1.0,
288.51,1.0,
289.02,1.0,
289.52,1.0,
290.02,1.0,
290.52,1.0,
291.02,1.0,
291.52,1.0,
292.02,1.0,
292.51,1.0,
293.01,1.0,
293.51,1.0,
294.01,1.0,
294.51,1.0,
295.01,1.0,
295.51,1.0,
296.01,1.0,
296.51,1.0,
297.01,1.0,
297.51,1.0,
298.01,1.0,
298.55,1.0,
299.01,1.0,
299.5,0.0,
300.01,0.0,
300.51,0.0,
301.01,0.0,
301.51,0.0,
302.01,0.0,
302.51,1.0,
303.01,1.0,
303.51,1.0,
304.01,1.0,
304.51,1.0,
305.01,1.0,
305.51,1.0,
306.01,0.0,
306.51,0.0,
307.01,0.0,
307.51,0.0,
308.01,0.0,
308.51,0.0,
309.02,0.0,
309.52,0.0,
310.02,0.0,
310.52,0.0,
311.02,0.0,
311.52,0.0,
312.01,0.0,
312.51,0.0,
313.01,0.0,
313.51,0.0,
314.01,0.0,
314.51,0.0,
315.01,0.0,
315.51,0.0,
316.01,0.0,
316.51,0.0,
317.01,0.0,
317.51,0.0,
318.01,0.0,
318.51,0.0,
319.01,0.0,
319.51,0.0,
320.01,0.0,
320.51,0.0,
321.01,0.0,
321.51,0.0,
322.01,0.0,
322.51,0.0,
323.01,0.0,
323.51,1.0,
324.01,1.0,
324.51,1.0,
325.01,1.0,
325.51,1.0,
326.01,1.0,
326.51,1.0,
327.01,1.0,
327.51,1.0,
328.01,1.0,
328.51,1.0,
329.02,1.0,
329.52,1.0,
330.02,1.0,
330.52,1.0,
331.02,1.0,
331.51,1.0,
332.01,1.0,
332.51,1.0,
333.01,1.0,
333.51,1.0,
334.01,1.0,
334.51,1.0,
335.01,1.0,
335.51,1.0,
336.01,1.0,
336.51,1.0,
337.01,1.0,
337.51,1.0,
338.01,1.0,
338.51,1.0,
339.01,1.0,
339.51,1.0,
340.01,1.0,
340.51,1.0,
341.01,1.0,
341.51,1.0,
342.01,1.0,
342.51,1.0,
343.01,1.0,
343.51,1.0,
344.01,1.0,
344.51,1.0,
345.01,1.0,
345.51,1.0,
346.01,1.0,
346.51,1.0,
347.01,1.0,
347.51,1.0,
348.01,1.0,
348.52,1.0,
349.02,1.0,
349.52,1.0,
350.02,1.0,
350.52,1.0,
351.01,1.0,
351.52,1.0,
352.01,1.0,
352.51,1.0,
353.01,1.0,
353.51,1.0,
354.01,1.0,
