time,faces_070,faces_071,faces_072,faces_073
289.86,3.0,,,
289.9,3.0,,,
289.93,3.0,,,
289.96,3.0,,,
290.0,3.0,,,
290.03,3.0,,,
290.06,3.0,,,
290.1,3.0,,,
290.13,3.0,,,
290.16,3.0,,,
290.2,3.0,,,
290.23,3.0,,,
290.26,3.0,,,
290.3,3.0,,,
290.33,3.0,,,
290.36,3.0,,,
290.4,3.0,,,
290.43,3.0,,,
290.46,3.0,,,
290.5,3.0,,,
290.53,3.0,,,
290.56,3.0,,,
290.6,3.0,,,
290.63,3.0,,,
290.66,3.0,,,
290.7,3.0,,,
290.73,3.0,,,
290.76,3.0,,,
290.8,3.0,,,
290.83,3.0,,,
290.86,3.0,,,
290.9,3.0,,,
290.93,3.0,,,
290.96,3.0,,,
291.0,3.0,,,
291.03,3.0,,,
291.06,3.0,,,
291.1,3.0,,,
291.13,3.0,,,
291.16,3.0,,,
291.2,3.0,,,
291.23,3.0,,,
291.26,3.0,,,
291.3,3.0,,,
291.33,3.0,,,
291.36,3.0,,,
291.4,3.0,,,
291.43,3.0,,,
291.46,3.0,,,
291.5,3.0,,,
291.53,3.0,,,
291.57,3.0,,,
291.6,3.0,,,
291.63,3.0,,,
291.66,3.0,,,
291.7,3.0,,,
291.73,3.0,,,
291.76,3.0,,,
291.8,3.0,,,
291.83,3.0,,,
291.86,3.0,,,
291.9,3.0,,,
291.93,3.0,,,
291.97,3.0,,,
292.0,3.0,,,
292.03,3.0,,,
292.07,3.0,,,
292.1,3.0,,,
292.13,3.0,,,
292.16,3.0,,,
292.2,3.0,,,
292.23,3.0,,,
292.26,3.0,,,
292.3,3.0,,,
292.33,3.0,,,
292.36,3.0,,,
292.4,3.0,,,
292.43,3.0,,,
292.47,3.0,,,
292.5,3.0,,,
292.53,3.0,,,
292.57,3.0,,,
292.6,3.0,,,
292.63,3.0,,,
292.66,3.0,,,
292.7,3.0,,,
292.73,3.0,,,
292.76,3.0,,,
292.8,3.0,,,
292.83,3.0,,,
292.86,3.0,,,
292.9,3.0,,,
292.93,3.0,,,
292.97,3.0,,,
293.0,3.0,,,
293.03,3.0,,,
293.07,3.0,,,
293.1,3.0,,,
293.13,3.0,,,
293.16,3.0,,,
293.2,3.0,,,
293.23,3.0,,,
293.26,3.0,,,
293.3,3.0,,,
293.33,3.0,,,
293.36,3.0,,,
293.4,3.0,,,
293.43,3.0,,,
293.47,3.0,,,
293.5,3.0,,,
293.53,3.0,,,
293.57,3.0,,,
293.6,3.0,,,
293.63,3.0,,,
293.66,3.0,,,
293.7,3.0,,,
293.73,3.0,,,
293.76,3.0,,,
293.8,3.0,,,
293.83,3.0,,,
293.86,3.0,,,
293.9,3.0,,,
293.93,3.0,,,
293.97,3.0,,,
294.0,3.0,,,
294.03,3.0,,,
294.07,3.0,,,
294.1,3.0,,,
294.13,3.0,,,
294.16,3.0,,,
294.2,3.0,,,
294.23,3.0,,,
294.26,3.0,,,
294.3,3.0,,,
294.33,3.0,,,
294.36,3.0,,,
294.4,3.0,,,
294.43,3.0,,,
294.47,3.0,,,
294.5,3.0,,,
294.53,3.0,,,
294.57,3.0,,,
294.6,3.0,,,
294.63,3.0,,,
294.66,3.0,,,
294.7,3.0,,,
294.73,3.0,,,
294.76,3.0,,,
294.8,3.0,,,
294.83,3.0,,,
294.86,3.0,,,
294.9,3.0,,,
294.93,3.0,,,
294.97,3.0,,,
295.0,3.0,,,
295.03,3.0,,,
295.07,3.0,,,
295.1,3.0,,,
295.13,3.0,,,
295.16,3.0,,,
295.2,3.0,,,
295.23,3.0,,,
295.26,3.0,,,
295.3,3.0,,,
295.33,3.0,,,
295.36,3.0,,,
295.4,3.0,,,
295.43,3.0,,,
295.47,3.0,,,
295.5,3.0,,,
295.53,3.0,,,
295.57,3.0,,,
295.6,3.0,,,
295.63,3.0,,,
295.67,3.0,,,
295.7,3.0,,,
295.73,3.0,,,
295.77,3.0,,,
295.8,3.0,,,
295.83,3.0,,,
295.87,3.0,,,
295.9,3.0,,,
295.93,3.0,,,
295.97,3.0,,,
296.0,3.0,,,
296.03,3.0,,,
296.07,3.0,,,
296.1,3.0,,,
296.13,3.0,,,
296.17,3.0,,,
296.2,3.0,,,
296.23,3.0,,,
296.27,3.0,,,
296.3,3.0,,,
296.33,3.0,,,
296.37,3.0,,,
296.4,3.0,,,
296.43,3.0,,,
296.47,3.0,,,
296.5,3.0,,,
296.53,3.0,,,
296.57,3.0,,,
296.6,3.0,,,
296.63,3.0,,,
296.67,3.0,,,
296.7,3.0,,,
296.73,3.0,,,
296.77,3.0,,,
296.8,3.0,,,
296.83,3.0,,,
296.87,3.0,,,
296.9,3.0,,,
296.93,3.0,,,
296.97,3.0,,,
297.0,3.0,,,
297.03,3.0,,,
297.07,3.0,,,
297.1,3.0,,,
297.13,3.0,,,
297.17,3.0,,,
297.2,3.0,,,
297.23,3.0,,,
297.27,3.0,,,
297.3,3.0,,,
297.33,3.0,,,
297.37,3.0,,,
297.4,3.0,,,
297.43,3.0,,,
297.47,3.0,,,
297.5,3.0,,,
297.53,3.0,,,
297.57,3.0,,,
297.6,3.0,,,
297.63,3.0,,,
297.67,3.0,,,
297.7,3.0,,,
297.73,3.0,,,
297.77,3.0,,,
297.8,3.0,,,
297.83,3.0,,,
297.87,3.0,,,
297.9,3.0,,,
297.93,3.0,,,
297.97,3.0,,,
298.0,3.0,,,
298.03,3.0,,,
298.07,3.0,,,
298.1,3.0,,,
298.13,3.0,,,
298.17,3.0,,,
298.2,3.0,,,
298.23,3.0,,,
298.27,3.0,,,
298.3,3.0,,,
298.33,3.0,,,
298.37,3.0,,,
298.4,3.0,,,
298.43,3.0,,,
298.47,3.0,,,
298.5,3.0,,,
298.53,3.0,,,
298.57,3.0,,,
298.6,3.0,,,
298.63,3.0,,,
298.67,3.0,,,
298.7,3.0,,,
298.73,2.0,,,
298.77,2.0,,,
298.8,2.0,,,
298.83,2.0,,,
298.87,2.0,,,
298.9,1.0,,,
298.93,1.0,,,
298.97,1.0,,,
299.0,1.0,,,
299.03,1.0,,,
299.07,1.0,,,
299.1,1.0,,,
299.13,0.0,,,
299.17,0.0,,,
299.2,0.0,,,
299.23,0.0,,,
299.27,0.0,,,
299.3,0.0,,,
299.33,0.0,,,
299.37,0.0,,,
299.4,0.0,,,
299.43,0.0,,,
299.47,0.0,,,
299.5,0.0,,,
299.53,0.0,,,
299.57,0.0,,,
299.6,0.0,,,
299.64,0.0,,,
299.67,0.0,,,
299.7,0.0,,,
299.74,0.0,,,
299.77,0.0,,,
299.8,0.0,,,
299.84,0.0,,,
299.87,0.0,,,
299.9,0.0,,,
299.93,0.0,,,
299.97,0.0,,,
300.0,0.0,,,
300.03,0.0,,,
300.07,0.0,,,
300.1,0.0,,,
300.14,0.0,,,
300.17,1.0,,,
300.2,1.0,,,
300.34,1.0,,,
300.35,2.0,,,
300.5,3.0,,,
301.0,3.0,,,
301.5,3.0,,,
302.0,3.0,,,
302.5,3.0,,,
303.0,3.0,,,
303.5,3.0,,,
304.0,3.0,,,
304.5,3.0,,,
305.0,3.0,,,
305.53,3.0,,,
306.03,3.0,,,
306.53,3.0,,,
307.03,3.0,,,
307.53,3.0,,,
308.03,3.0,,,
308.53,3.0,,,
309.03,3.0,,,
309.53,3.0,,,
310.03,3.0,,,
310.53,3.0,,,
311.03,3.0,,,
311.53,3.0,,,
312.03,3.0,,,
312.53,3.0,,,
313.03,3.0,,,
313.53,3.0,,,
314.03,3.0,,,
314.53,3.0,,,
315.03,3.0,,,
315.5,3.0,,,
316.0,3.0,,,
316.5,3.0,,,
317.0,3.0,,,
317.5,3.0,,,
318.0,3.0,,,
318.5,3.0,,,
319.0,3.0,,,
319.5,3.0,,,
320.0,3.0,,,
320.5,3.0,,,
321.0,3.0,,,
321.5,3.0,,,
322.0,3.0,,,
322.5,3.0,,,
323.0,3.0,,,
323.5,3.0,,,
324.0,3.0,,,
324.5,3.0,,,
325.03,3.0,,,
325.53,3.0,,,
326.03,3.0,,,
326.53,3.0,,,
327.03,3.0,,,
327.53,3.0,,,
328.03,3.0,,,
328.53,3.0,,,
329.03,3.0,,,
329.53,3.0,,,
330.03,3.0,,,
330.53,3.0,,,
331.03,3.0,,,
331.53,3.0,,,
332.03,3.0,,,
332.53,3.0,,,
333.03,3.0,,,
333.53,3.0,,,
334.03,3.0,,,
334.53,3.0,,,
335.03,3.0,,,
335.5,3.0,,,
336.0,3.0,,,
336.5,3.0,,,
337.0,3.0,,,
337.5,3.0,,,
338.0,3.0,,,
338.5,3.0,,,
339.0,3.0,,,
339.5,3.0,,,
340.0,3.0,,,
340.5,3.0,,,
341.0,3.0,,,
341.5,3.0,,,
342.0,3.0,,,
342.5,3.0,,,
343.0,3.0,,,
343.53,3.0,,,
344.03,3.0,,,
344.53,3.0,,,
345.03,3.0,,,
345.53,3.0,,,
346.03,3.0,,,
346.53,3.0,,,
347.03,3.0,,,
347.53,3.0,,,
348.03,3.0,,,
348.53,3.0,,,
349.03,3.0,,,
349.53,3.0,,,
350.03,3.0,,,
350.53,3.0,,,
351.03,3.0,,,
351.53,3.0,,,
352.03,3.0,,,
352.53,3.0,,,
353.03,3.0,,,
353.53,3.0,,,
354.03,3.0,,,
354.53,3.0,,,
355.03,3.0,,,
355.5,3.0,,,
356.0,3.0,,,
356.5,3.0,,,
357.0,3.0,,,
357.5,3.0,,,
358.0,3.0,,,
358.5,3.0,,,
359.0,3.0,,,
359.5,3.0,,,
360.0,3.0,,,
360.5,3.0,,,
361.0,3.0,,,
361.5,3.0,,,
362.0,3.0,,,
362.53,3.0,,,
363.03,3.0,,,
363.53,3.0,,,
364.03,3.0,,,
364.53,3.0,,,
365.03,3.0,,,
365.53,3.0,,,
366.03,3.0,,,
366.53,3.0,,,
367.03,3.0,,,
367.53,2.0,,,
368.03,3.0,,,
368.53,3.0,,,
369.03,3.0,,,
369.53,3.0,,,
370.03,2.0,,,
370.53,3.0,,,
371.03,3.0,,,
371.53,3.0,,,
372.03,3.0,,,
372.53,3.0,,,
373.01,3.0,,,
373.53,3.0,,,
374.03,3.0,,,
374.53,3.0,,,
375.0,3.0,,,
375.5,3.0,,,
376.0,3.0,,,
376.5,3.0,,,
377.0,2.0,,,
377.5,3.0,,,
378.0,3.0,,,
378.5,3.0,,,
379.0,3.0,,,
379.5,3.0,,,
380.0,3.0,,,
380.5,3.0,,,
381.0,3.0,,,
381.5,3.0,,,
382.03,3.0,,,
382.53,2.0,,,
383.03,2.0,,,
383.53,2.0,,,
384.03,3.0,,,
384.53,3.0,,,
385.03,3.0,,,
385.53,3.0,,,
386.03,3.0,,,
386.53,3.0,,,
387.03,3.0,,,
387.53,3.0,,,
388.03,3.0,,,
388.53,3.0,,,
389.03,3.0,,,
389.53,3.0,,,
390.03,3.0,,,
390.53,3.0,,,
391.03,3.0,,,
391.53,3.0,,,
392.03,3.0,,,
392.53,3.0,,,
393.03,3.0,,,
393.53,3.0,,,
394.03,3.0,,,
394.53,3.0,,,
395.0,3.0,,,
395.5,3.0,,,
396.0,3.0,,,
396.5,3.0,,,
397.0,3.0,,,
397.5,3.0,,,
398.0,3.0,,,
398.5,3.0,,,
399.0,3.0,,,
399.5,3.0,,,
400.0,3.0,,,
400.5,3.0,,,
401.03,3.0,,,
401.53,3.0,,,
402.03,3.0,,,
402.53,3.0,,,
403.03,3.0,,,
403.53,3.0,,,
404.03,3.0,,,
404.53,3.0,,,
405.03,3.0,,,
405.53,3.0,,,
406.03,3.0,,,
406.53,3.0,,,
407.03,3.0,,,
407.53,3.0,,,
408.03,3.0,,,
408.53,3.0,,,
409.03,3.0,,,
409.53,3.0,,,
410.03,3.0,,,
410.53,3.0,,,
411.03,3.0,,,
411.53,3.0,,,
412.03,3.0,,,
412.53,3.0,,,
413.03,3.0,,,
413.33,,,3.0,
413.53,3.0,,,
414.03,3.0,,,
414.53,3.0,,,
415.0,3.0,,,
415.5,3.0,,,
416.0,3.0,,,
416.5,3.0,,,
417.0,3.0,,,
417.5,3.0,,,
418.0,3.0,,,
418.5,3.0,,,
419.0,3.0,,,
419.5,3.0,,,
420.0,3.0,,,
420.5,3.0,,,
421.0,3.0,,,
421.53,3.0,,,
422.03,3.0,,,
422.53,3.0,,,
423.03,3.0,,,
423.53,3.0,,,
424.03,3.0,,,
424.53,3.0,,,
424.72,,3.0,,
424.75,,3.0,,
424.78,,3.0,,
424.82,,3.0,,
424.85,,3.0,,
424.88,,3.0,,
424.92,,3.0,,
424.95,,3.0,,
424.98,,3.0,,
425.02,,3.0,,
425.03,3.0,,,
425.05,,3.0,,
425.08,,3.0,,
425.12,,3.0,,
425.15,,3.0,,
425.18,,3.0,,
425.22,,3.0,,
425.25,,3.0,,
425.28,,3.0,,
425.32,,3.0,,
425.35,,3.0,,
425.38,,3.0,,
425.42,,3.0,,
425.45,,3.0,,
425.48,,3.0,,
425.52,,3.0,,
425.53,3.0,,,
425.55,,3.0,,
425.58,,3.0,,
425.62,,3.0,,
425.65,,3.0,,
425.68,,3.0,,
425.72,,3.0,,
425.75,,3.0,,
425.78,,3.0,,
425.82,,3.0,,
425.85,,3.0,,
425.88,,3.0,,
425.92,,3.0,,
425.95,,3.0,,
425.98,,3.0,,
426.02,,3.0,,
426.03,3.0,,,
426.05,,3.0,,
426.08,,3.0,,
426.12,,3.0,,
426.15,,3.0,,
426.18,,3.0,,
426.22,,3.0,,
426.25,,3.0,,
426.28,,3.0,,
426.32,,3.0,,
426.35,,3.0,,
426.38,,3.0,,
426.42,,3.0,,
426.45,,3.0,,
426.48,,3.0,,
426.52,,3.0,,
426.53,3.0,,,
426.55,,3.0,,
426.58,,3.0,,
426.62,,3.0,,
426.65,,3.0,,
426.68,,3.0,,
426.72,,3.0,,
426.75,,3.0,,
426.78,,3.0,,
426.82,,3.0,,
426.85,,3.0,,
426.88,,3.0,,
426.92,,3.0,,
426.95,,3.0,,
426.98,,3.0,,
427.02,,3.0,,
427.03,3.0,,,
427.05,,3.0,,
427.08,,3.0,,
427.12,,3.0,,
427.15,,3.0,,
427.18,,3.0,,
427.22,,3.0,,
427.25,,3.0,,
427.28,,3.0,,
427.32,,3.0,,
427.35,,3.0,,
427.38,,3.0,,
427.42,,3.0,,
427.45,,3.0,,
427.48,,3.0,,
427.52,,3.0,,
427.53,3.0,,,
427.55,,3.0,,
427.58,,3.0,,
427.62,,3.0,,
427.65,,3.0,,
427.68,,3.0,,
427.72,,3.0,,
427.75,,3.0,,
427.78,,3.0,,
427.82,,3.0,,
427.85,,3.0,,
427.88,,3.0,,
427.92,,3.0,,
427.95,,3.0,,
427.98,,3.0,,
428.02,,3.0,,
428.03,3.0,,,
428.05,,3.0,,
428.08,,3.0,,
428.12,,3.0,,
428.15,,3.0,,
428.18,,3.0,,
428.22,,3.0,,
428.25,,3.0,,
428.28,,3.0,,
428.32,,3.0,,
428.35,,3.0,,
428.38,,3.0,,
428.42,,3.0,,
428.45,,3.0,,
428.48,,3.0,,
428.52,,3.0,,
428.53,3.0,,,
428.55,,3.0,,
428.58,,3.0,,
428.62,,3.0,,
428.65,,3.0,,
428.68,,3.0,,
428.72,,3.0,,
428.75,,3.0,,
428.78,,3.0,,
428.82,,3.0,,
428.85,,3.0,,
428.88,,3.0,,
428.92,,3.0,,
428.95,,3.0,,
428.98,,3.0,,
429.02,,3.0,,
429.03,3.0,,,
429.05,,3.0,,
429.08,,3.0,,
429.12,,3.0,,
429.15,,3.0,,
429.18,,3.0,,
429.22,,3.0,,
429.25,,3.0,,
429.28,,3.0,,
429.32,,3.0,,
429.35,,3.0,,
429.38,,3.0,,
429.42,,3.0,,
429.45,,3.0,,
429.48,,3.0,,
429.52,,3.0,,
429.53,3.0,,,
429.55,,3.0,,
429.58,,3.0,,
429.62,,3.0,,
429.65,,3.0,,
429.68,,3.0,,
429.72,,3.0,,
429.75,,3.0,,
429.78,,3.0,,
429.82,,3.0,,
429.85,,3.0,,
429.88,,3.0,,
429.92,,3.0,,
429.95,,3.0,,
429.98,,3.0,,
430.02,,3.0,,
430.03,3.0,,,
430.05,,3.0,,
430.08,,3.0,,
430.12,,3.0,,
430.15,,3.0,,
430.18,,3.0,,
430.22,,3.0,,
430.25,,3.0,,
430.28,,3.0,,
430.32,,3.0,,
430.35,,3.0,,
430.38,,3.0,,
430.42,,3.0,,
430.45,,3.0,,
430.48,,3.0,,
430.52,,3.0,,
430.53,3.0,,,
430.55,,3.0,,
430.58,,3.0,,
430.62,,3.0,,
430.65,,3.0,,
430.68,,3.0,,
430.72,,3.0,,
430.75,,3.0,,
430.78,,3.0,,
430.82,,3.0,,
430.85,,3.0,,
430.88,,3.0,,
430.92,,3.0,,
430.95,,3.0,,
430.98,,3.0,,
431.02,,3.0,,
431.03,3.0,,,
431.05,,3.0,,
431.08,,3.0,,
431.12,,3.0,,
431.15,,3.0,,
431.18,,3.0,,
431.22,,3.0,,
431.25,,3.0,,
431.28,,3.0,,
431.32,,3.0,,
431.35,,3.0,,
431.38,,3.0,,
431.42,,3.0,,
431.45,,3.0,,
431.48,,3.0,,
431.52,,3.0,,
431.53,3.0,,,
431.55,,3.0,,
431.58,,3.0,,
431.62,,3.0,,
431.65,,3.0,,
431.68,,3.0,,
431.72,,3.0,,
431.75,,3.0,,
431.78,,3.0,,
431.82,,3.0,,
431.85,,3.0,,
431.88,,3.0,,
431.92,,3.0,,
431.95,,3.0,,
431.98,,3.0,,
432.02,,3.0,,
432.03,3.0,,,
432.05,,3.0,,
432.08,,3.0,,
432.12,,3.0,,
432.15,,3.0,,
432.18,,3.0,,
432.22,,3.0,,
432.25,,3.0,,
432.28,,3.0,,
432.32,,3.0,,
432.35,,3.0,,
432.38,,3.0,,
432.42,,3.0,,
432.45,,3.0,,
432.48,,3.0,,
432.52,,3.0,,
432.53,3.0,,,
432.55,,3.0,,
432.58,,3.0,,
432.62,,3.0,,
432.65,,3.0,,
432.68,,3.0,,
432.72,,3.0,,
432.75,,3.0,,
432.78,,3.0,,
432.82,,3.0,,
432.85,,3.0,,
432.88,,3.0,,
432.92,,3.0,,
432.95,,3.0,,
432.98,,3.0,,
