time,faces_005,faces_007,average_numeric,average_binary,task_start_sec,task_end_sec,condition
0.0,0,0,0.0,0.0,3.0,783.0,Spatial/VR
0.5,0,0,0.0,0.0,3.0,783.0,Spatial/VR
1.0,2,1,0.5,0.33,3.0,783.0,Spatial/VR
1.5,2,2,0.88,0.5,3.0,783.0,Spatial/VR
2.0,2,1,1.0,0.6,3.0,783.0,Spatial/VR
2.5,2,1,1.08,0.67,3.0,783.0,Spatial/VR
3.0,2,2,1.21,0.71,3.0,783.0,Spatial/VR
3.5,1,2,1.25,0.75,3.0,783.0,Spatial/VR
4.0,1,2,1.28,0.78,3.0,783.0,Spatial/VR
4.5,1,1,1.25,0.8,3.0,783.0,Spatial/VR
5.0,1,1,1.35,0.9,3.0,783.0,Spatial/VR
5.5,2,1,1.5,1.0,3.0,783.0,Spatial/VR
6.0,2,1,1.5,1.0,3.0,783.0,Spatial/VR
6.5,2,1,1.45,1.0,3.0,783.0,Spatial/VR
7.0,2,1,1.45,1.0,3.0,783.0,Spatial/VR
7.5,1,1,1.4,1.0,3.0,783.0,Spatial/VR
8.0,1,2,1.35,1.0,3.0,783.0,Spatial/VR
8.5,1,1,1.3,1.0,3.0,783.0,Spatial/VR
9.0,1,2,1.3,1.0,3.0,783.0,Spatial/VR
9.5,1,1,1.3,1.0,3.0,783.0,Spatial/VR
10.0,1,1,1.3,1.0,3.0,783.0,Spatial/VR
10.5,2,1,1.3,1.0,3.0,783.0,Spatial/VR
11.0,2,2,1.35,1.0,3.0,783.0,Spatial/VR
11.5,2,2,1.4,1.0,3.0,783.0,Spatial/VR
12.0,2,1,1.4,1.0,3.0,783.0,Spatial/VR
12.5,2,1,1.45,1.0,3.0,783.0,Spatial/VR
13.0,2,1,1.45,1.0,3.0,783.0,Spatial/VR
13.5,2,1,1.5,1.0,3.0,783.0,Spatial/VR
14.0,2,1,1.5,1.0,3.0,783.0,Spatial/VR
14.5,2,1,1.55,1.0,3.0,783.0,Spatial/VR
15.0,2,1,1.6,1.0,3.0,783.0,Spatial/VR
