time,faces_103,faces_104,faces_105,faces_106,average_numeric,average_binary,task_start_sec,task_end_sec,condition
0.0,1.0,0,1.0,2.0,1.0,0.8,887.0,1667.0,Grid/VR
0.5,1.0,1,1.0,2.0,1.12,0.9,887.0,1667.0,Grid/VR
1.0,1.0,1,1.0,2.0,1.17,0.93,887.0,1667.0,Grid/VR
1.5,1.0,1,1.0,2.0,1.19,0.95,887.0,1667.0,Grid/VR
2.0,1.0,1,1.0,2.0,1.2,0.96,887.0,1667.0,Grid/VR
2.5,1.0,1,2.0,2.0,1.25,0.97,887.0,1667.0,Grid/VR
3.0,1.0,1,2.0,2.0,1.29,0.97,887.0,1667.0,Grid/VR
3.5,1.0,1,2.0,2.0,1.31,0.98,887.0,1667.0,Grid/VR
4.0,1.0,1,2.0,2.0,1.33,0.98,887.0,1667.0,Grid/VR
4.5,1.0,1,2.0,2.0,1.35,0.98,887.0,1667.0,Grid/VR
5.0,1.0,1,1.0,2.0,1.38,1.0,887.0,1667.0,Grid/VR
5.5,1.0,1,1.0,2.0,1.38,1.0,887.0,1667.0,Grid/VR
6.0,1.0,1,1.0,2.0,1.38,1.0,887.0,1667.0,Grid/VR
6.5,1.0,1,1.0,2.0,1.38,1.0,887.0,1667.0,Grid/VR
7.0,1.0,1,1.0,2.0,1.38,1.0,887.0,1667.0,Grid/VR
7.5,1.0,1,1.0,2.0,1.35,1.0,887.0,1667.0,Grid/VR
8.0,1.0,1,1.0,2.0,1.32,1.0,887.0,1667.0,Grid/VR
8.5,1.0,1,1.0,2.0,1.3,1.0,887.0,1667.0,Grid/VR
9.0,1.0,1,2.0,2.0,1.3,1.0,887.0,1667.0,Grid/VR
9.5,1.0,1,2.0,2.0,1.3,1.0,887.0,1667.0,Grid/VR
10.0,1.0,1,2.0,2.0,1.32,1.0,887.0,1667.0,Grid/VR
10.5,1.0,1,2.0,2.0,1.35,1.0,887.0,1667.0,Grid/VR
11.0,1.0,1,2.0,2.0,1.38,1.0,887.0,1667.0,Grid/VR
11.5,1.0,1,2.0,2.0,1.4,1.0,887.0,1667.0,Grid/VR
12.0,1.0,1,2.0,2.0,1.42,1.0,887.0,1667.0,Grid/VR
12.5,1.0,1,2.0,2.0,1.45,1.0,887.0,1667.0,Grid/VR
13.0,1.0,1,2.0,2.0,1.48,1.0,887.0,1667.0,Grid/VR
13.5,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
14.0,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
14.5,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
15.0,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
15.5,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
16.0,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
16.5,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
17.0,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
17.5,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
18.0,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
18.5,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
19.0,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
19.5,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
20.0,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
20.5,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
21.0,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
21.5,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
22.0,1.0,1,2.0,2.0,1.5,1.0,887.0,1667.0,Grid/VR
