time,faces_082,faces_083,faces_084,average_numeric,average_binary,task_start_sec,task_end_sec,condition
0.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
0.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
1.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
1.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
2.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
2.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
3.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
3.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
4.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
4.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
5.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
5.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
6.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
6.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
7.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
7.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
8.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
8.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
9.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
9.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
10.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
10.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
11.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
11.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
12.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
12.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
13.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
13.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
14.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
14.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
15.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
15.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
16.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
16.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
17.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
17.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
18.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
18.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
19.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
19.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
20.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
20.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
21.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
21.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
22.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
22.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
23.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
23.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
24.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
24.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
25.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
25.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
26.0,0.0,2.0,2,1.93,0.98,564.0,1344.0,Grid/VR
26.5,0.0,2.0,2,1.87,0.95,564.0,1344.0,Grid/VR
27.0,2.0,2.0,2,1.87,0.95,564.0,1344.0,Grid/VR
27.5,2.0,2.0,2,1.87,0.95,564.0,1344.0,Grid/VR
28.0,2.0,2.0,2,1.87,0.95,564.0,1344.0,Grid/VR
28.5,2.0,2.0,2,1.87,0.95,564.0,1344.0,Grid/VR
29.0,2.0,2.0,2,1.87,0.95,564.0,1344.0,Grid/VR
29.5,2.0,2.0,2,1.87,0.95,564.0,1344.0,Grid/VR
30.0,2.0,2.0,2,1.87,0.95,564.0,1344.0,Grid/VR
30.5,2.0,2.0,2,1.87,0.95,564.0,1344.0,Grid/VR
31.0,2.0,2.0,2,1.93,0.98,564.0,1344.0,Grid/VR
31.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
32.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
32.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
33.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
33.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
34.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
34.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
35.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
35.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
36.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
36.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
37.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
37.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
38.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
38.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
39.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
39.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
40.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
40.5,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
41.0,2.0,2.0,2,2.0,1.0,564.0,1344.0,Grid/VR
