time,faces_077,faces_078,faces_079
224.79,2.0,,
224.83,2.0,,
224.86,2.0,,
224.89,2.0,,
224.93,2.0,,
224.96,2.0,,
224.99,2.0,,
225.03,2.0,,
225.06,2.0,,
225.09,2.0,,
225.13,2.0,,
225.16,2.0,,
225.19,2.0,,
225.23,2.0,,
225.26,2.0,,
225.29,2.0,,
225.33,2.0,,
225.36,2.0,,
225.39,2.0,,
225.43,2.0,,
225.46,2.0,,
225.49,2.0,,
225.53,2.0,,
225.56,2.0,,
225.59,2.0,,
225.63,2.0,,
225.66,2.0,,
225.69,2.0,,
225.73,2.0,,
225.76,2.0,,
225.79,2.0,,
225.83,2.0,,
225.86,2.0,,
225.89,2.0,,
225.93,2.0,,
225.96,2.0,,
225.99,1.0,,
226.03,1.0,,
226.06,1.0,,
226.09,1.0,,
226.13,1.0,,
226.16,1.0,,
226.19,1.0,,
226.23,1.0,,
226.26,1.0,,
226.29,1.0,,
226.33,1.0,,
226.36,2.0,,
226.39,2.0,,
226.43,1.0,,
226.46,1.0,,
226.49,1.0,,
226.53,1.0,,
226.56,1.0,,
226.59,1.0,,
226.63,1.0,,
226.66,2.0,,
226.69,2.0,,
226.73,2.0,,
226.76,2.0,,
226.79,2.0,,
226.83,2.0,,
226.86,2.0,,
226.89,2.0,,
226.93,2.0,,
226.96,2.0,,
226.99,2.0,,
227.03,2.0,,
227.06,2.0,,
227.09,2.0,,
227.13,2.0,,
227.16,2.0,,
227.19,2.0,,
227.23,2.0,,
227.26,2.0,,
227.29,2.0,,
227.33,2.0,,
227.36,2.0,,
227.39,2.0,,
227.43,2.0,,
227.46,2.0,,
227.49,2.0,,
227.53,2.0,,
227.56,2.0,,
227.59,2.0,,
227.63,2.0,,
227.66,2.0,,
227.69,2.0,,
227.73,2.0,,
227.76,2.0,,
227.79,2.0,,
227.83,2.0,,
227.86,2.0,,
227.9,2.0,,
227.93,2.0,,
227.96,2.0,,
228.0,2.0,,
228.03,2.0,,
228.06,2.0,,
228.1,2.0,,
228.13,2.0,,
228.16,1.0,,
228.2,1.0,,
228.23,1.0,,
228.26,1.0,,
228.3,1.0,,
228.33,1.0,,
228.36,1.0,,
228.4,1.0,,
228.43,1.0,,
228.46,1.0,,
228.5,1.0,,
228.53,2.0,,
228.56,2.0,,
228.6,2.0,,
228.63,2.0,,
228.66,2.0,,
228.7,2.0,,
228.73,2.0,,
228.76,2.0,,
228.8,2.0,,
228.83,2.0,,
228.86,2.0,,
228.9,2.0,,
228.93,2.0,,
228.96,2.0,,
229.0,2.0,,
229.03,2.0,,
229.06,2.0,,
229.1,2.0,,
229.13,2.0,,
229.16,2.0,,
229.2,2.0,,
229.23,2.0,,
229.26,2.0,,
229.3,2.0,,
229.33,2.0,,
229.36,2.0,,
229.4,2.0,,
229.43,2.0,,
229.46,2.0,,
229.53,2.0,,
230.03,1.0,,
230.53,2.0,,
231.03,2.0,,
231.53,2.0,,
232.03,2.0,,
232.53,2.0,,
233.03,2.0,,
233.53,2.0,,
234.03,2.0,,
234.53,2.0,,
235.03,2.0,,
235.53,2.0,,
236.03,2.0,,
236.53,2.0,,
237.03,2.0,,
237.53,2.0,,
238.03,2.0,,
238.53,2.0,,
239.03,2.0,,
239.53,2.0,,
240.0,2.0,,
240.5,2.0,,
241.0,2.0,,
241.5,2.0,,
242.0,2.0,,
242.5,2.0,,
243.0,2.0,,
243.52,2.0,,
244.03,2.0,,
244.53,2.0,,
245.03,2.0,,
245.53,2.0,,
246.03,2.0,,
246.53,2.0,,
247.03,2.0,,
247.53,2.0,,
248.03,2.0,,
248.53,2.0,,
249.03,2.0,,
249.53,2.0,,
250.03,2.0,,
250.53,2.0,,
251.03,2.0,,
251.53,0.0,,
252.03,1.0,,
252.53,2.0,,
253.03,2.0,,
253.53,2.0,,
254.03,2.0,,
254.53,2.0,,
255.03,2.0,,
255.53,2.0,,
256.03,2.0,,
256.53,2.0,,
257.03,2.0,,
257.53,2.0,,
258.03,2.0,,
258.53,2.0,,
259.03,2.0,,
259.53,2.0,,
260.0,2.0,,
260.5,2.0,,
261.0,2.0,,
261.5,2.0,,
262.02,2.0,,
262.52,2.0,,
263.02,2.0,,
263.52,2.0,,
264.03,2.0,,
264.53,2.0,,
265.03,2.0,,
265.53,2.0,,
266.03,2.0,,
266.53,2.0,,
267.03,2.0,,
267.53,2.0,,
268.03,2.0,,
268.53,2.0,,
269.03,2.0,,
269.53,2.0,,
270.03,2.0,,
270.53,2.0,,
271.03,2.0,,
271.53,2.0,,
272.03,2.0,,
272.53,2.0,,
273.03,2.0,,
273.53,2.0,,
274.03,2.0,,
274.53,0.0,,
275.03,0.0,,
275.53,0.0,,
276.03,1.0,,
276.53,2.0,,
277.03,1.0,,
277.53,1.0,,
278.03,2.0,,
278.53,2.0,,
279.03,2.0,,
279.5,2.0,,
280.0,2.0,,
280.52,2.0,,
281.02,2.0,,
281.52,2.0,,
282.02,2.0,,
282.52,2.0,,
283.02,2.0,,
283.52,2.0,,
284.03,2.0,,
284.53,2.0,,
285.03,2.0,,
285.53,2.0,,
286.03,2.0,,
286.53,2.0,,
287.03,2.0,,
287.53,2.0,,
288.03,2.0,,
288.53,2.0,,
289.03,2.0,,
289.53,1.0,,
290.03,0.0,,
290.53,0.0,,
291.03,0.0,,
291.53,1.0,,
292.03,0.0,,
292.53,0.0,,
293.03,0.0,,
293.53,0.0,,
294.03,1.0,,
294.53,2.0,,
295.03,2.0,,
295.53,2.0,,
296.03,2.0,,
296.53,2.0,,
297.03,2.0,,
297.53,2.0,,
298.03,1.0,,
298.53,1.0,,
299.03,1.0,,
299.5,2.0,,
300.0,2.0,,
300.52,2.0,,
301.02,2.0,,
301.52,1.0,,
302.02,1.0,,
