time,faces_111,faces_112,faces_113,faces_114
112.0,,,2.0,
175.68,,,2.0,
175.72,,,2.0,
175.75,,,2.0,
175.78,,,2.0,
175.82,,,2.0,
175.85,,,2.0,
175.88,,,2.0,
175.92,,,2.0,
175.95,,,2.0,
175.98,,,2.0,
176.02,,,2.0,
176.05,,,2.0,
176.08,,,2.0,
176.12,,,2.0,
176.15,,,2.0,
176.18,,,2.0,
176.22,,,2.0,
176.25,,,2.0,
176.28,,,2.0,
176.32,,,2.0,
176.35,,,2.0,
176.38,,,2.0,
176.42,,,2.0,
176.45,,,2.0,
176.48,,,2.0,
176.52,,,2.0,
176.55,,,2.0,
176.58,,,2.0,
176.62,,,2.0,
176.65,,,2.0,
176.68,,,2.0,
176.72,,,2.0,
176.75,,,2.0,
176.78,,,2.0,
176.82,,,2.0,
176.85,,,2.0,
176.88,,,2.0,
176.92,,,2.0,
176.95,,,2.0,
176.98,,,2.0,
177.02,,,2.0,
177.05,,,2.0,
177.08,,,2.0,
177.12,,,2.0,
177.15,,,2.0,
177.18,,,2.0,
177.22,,,2.0,
177.25,,,2.0,
177.28,,,2.0,
177.32,,,2.0,
177.35,,,2.0,
177.38,,,2.0,
177.42,,,2.0,
177.45,,,2.0,
177.48,,,2.0,
177.52,,,2.0,
177.55,,,2.0,
177.58,,,2.0,
177.62,,,2.0,
177.65,,,2.0,
177.68,,,2.0,
177.72,,,2.0,
177.75,,,2.0,
177.78,,,2.0,
177.82,,,2.0,
177.85,,,2.0,
177.88,,,2.0,
177.92,,,2.0,
177.95,,,2.0,
177.98,,,2.0,
178.02,,,2.0,
178.05,,,2.0,
178.08,,,2.0,
178.12,,,2.0,
178.15,,,2.0,
178.18,,,2.0,
178.22,,,2.0,
178.25,,,2.0,
178.28,,,2.0,
178.32,,,2.0,
178.35,,,2.0,
178.38,,,2.0,
178.42,,,2.0,
178.45,,,2.0,
178.48,,,2.0,
178.52,,,2.0,
178.55,,,2.0,
178.58,,,2.0,
178.62,,,2.0,
178.65,,,2.0,
178.68,,,2.0,
178.72,,,2.0,
178.75,,,2.0,
178.78,,,2.0,
178.82,,,2.0,
178.85,,,2.0,
178.88,,,2.0,
178.92,,,2.0,
178.95,,,2.0,
178.98,,,2.0,
179.02,,,2.0,
179.05,,,2.0,
179.08,,,2.0,
179.12,,,2.0,
179.15,,,2.0,
179.18,,,2.0,
179.22,,,2.0,
179.25,,,2.0,
179.28,,,2.0,
179.32,,,2.0,
179.35,,,2.0,
179.38,,,2.0,
179.42,,,2.0,
179.45,,,2.0,
179.48,,,2.0,
179.52,,,2.0,
179.55,,,2.0,
179.58,,,2.0,
179.62,,,2.0,
179.65,,,2.0,
179.68,,,2.0,
179.72,,,2.0,
179.75,,,2.0,
179.78,,,2.0,
179.82,,,2.0,
179.85,,,2.0,
179.89,,,2.0,
179.92,,,2.0,
179.95,,,2.0,
179.99,,,2.0,
180.02,,,2.0,
180.05,,,2.0,
180.09,,,2.0,
180.12,,,2.0,
180.15,,,2.0,
180.19,,,2.0,
180.22,,,2.0,
180.25,,,2.0,
180.29,,,2.0,
180.32,,,2.0,
180.35,,,2.0,
180.39,,,2.0,
180.42,,,2.0,
180.45,,,2.0,
180.49,,,2.0,
180.52,,,2.0,
180.55,,,2.0,
180.59,,,2.0,
180.62,,,2.0,
180.65,,,2.0,
180.69,,,2.0,
180.72,,,2.0,
180.75,,,2.0,
180.79,,,2.0,
180.82,,,2.0,
