frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
7969,07:16.667,1,2040.0,906.0,2252.0,1150.0,,,,
7970,08:46.738,1,2037.0,905.0,2247.0,1149.0,,,,
7971,08:46.772,1,2033.0,907.0,2244.0,1148.0,,,,
7972,08:46.805,1,2030.0,904.0,2241.0,1146.0,,,,
7973,08:46.838,1,2027.0,905.0,2239.0,1146.0,,,,
7974,08:46.872,1,2025.0,908.0,2234.0,1146.0,,,,
7975,08:46.905,1,2022.0,909.0,2230.0,1146.0,,,,
7976,08:46.938,1,2017.0,911.0,2228.0,1146.0,,,,
7977,08:46.972,1,2014.0,910.0,2224.0,1145.0,,,,
7978,08:47.005,1,2011.0,910.0,2221.0,1145.0,,,,
7979,08:47.038,1,2009.0,910.0,2219.0,1145.0,,,,
7980,08:47.072,1,2007.0,908.0,2217.0,1144.0,,,,
7981,08:47.105,1,2006.0,908.0,2216.0,1143.0,,,,
7982,08:47.138,1,2006.0,908.0,2216.0,1142.0,,,,
7983,08:47.172,1,2005.0,907.0,2215.0,1141.0,,,,
7984,08:47.205,1,2002.0,906.0,2213.0,1140.0,,,,
7985,08:47.238,1,2001.0,906.0,2211.0,1140.0,,,,
7986,08:47.272,1,2000.0,906.0,2209.0,1139.0,,,,
7987,08:47.305,1,1998.0,905.0,2207.0,1138.0,,,,
7988,08:47.338,1,1997.0,904.0,2206.0,1138.0,,,,
7989,08:47.372,1,1995.0,903.0,2205.0,1137.0,,,,
7990,08:47.405,1,1994.0,901.0,2202.0,1135.0,,,,
7991,08:47.438,1,1993.0,900.0,2200.0,1135.0,,,,
7992,08:47.472,1,1989.0,898.0,2197.0,1132.0,,,,
7993,08:47.505,1,1987.0,897.0,2194.0,1130.0,,,,
7994,08:47.538,1,1983.0,897.0,2191.0,1128.0,,,,
7995,08:47.572,1,1980.0,897.0,2187.0,1126.0,,,,
7996,08:47.605,1,1972.0,892.0,2182.0,1126.0,,,,
7997,08:47.638,1,1968.0,887.0,2177.0,1124.0,,,,
7998,08:47.673,1,1964.0,886.0,2173.0,1123.0,,,,
7999,08:47.707,1,1959.0,887.0,2167.0,1121.0,,,,
8000,08:47.740,1,1957.0,886.0,2163.0,1120.0,,,,
8001,08:47.773,1,1952.0,886.0,2160.0,1119.0,,,,
8002,08:47.807,1,1950.0,885.0,2156.0,1117.0,,,,
8003,08:47.840,1,1949.0,884.0,2153.0,1115.0,,,,
8004,08:47.873,1,1948.0,884.0,2153.0,1115.0,,,,
8005,08:47.907,1,1948.0,883.0,2151.0,1114.0,,,,
8006,08:47.940,1,1947.0,883.0,2151.0,1113.0,,,,
8007,08:47.973,1,1946.0,882.0,2151.0,1113.0,,,,
8008,08:48.007,1,1946.0,881.0,2149.0,1111.0,,,,
8009,08:48.040,1,1944.0,881.0,2147.0,1111.0,,,,
8010,08:48.073,1,1944.0,881.0,2145.0,1111.0,,,,
8011,08:48.107,1,1941.0,879.0,2142.0,1109.0,,,,
8012,08:48.140,1,1938.0,879.0,2139.0,1109.0,,,,
8013,08:48.173,1,1932.0,878.0,2132.0,1109.0,,,,
8014,08:48.207,1,1923.0,878.0,2119.0,1107.0,,,,
8015,08:48.240,1,1902.0,880.0,2098.0,1105.0,,,,
8016,08:48.273,1,1870.0,877.0,2060.0,1104.0,,,,
8017,08:48.307,1,1827.0,873.0,2010.0,1101.0,,,,
8018,08:48.340,1,1768.0,871.0,1945.0,1093.0,,,,
8019,08:48.373,1,1699.0,869.0,1870.0,1089.0,,,,
8020,08:48.407,1,1620.0,868.0,1784.0,1082.0,,,,
8021,08:48.440,1,1530.0,862.0,1690.0,1077.0,,,,
8022,08:48.473,1,1435.0,860.0,1592.0,1069.0,,,,
8023,08:48.507,1,1335.0,858.0,1486.0,1063.0,,,,
