frame,time,faces_detected_count,057_detected,057_tl_x,057_tl_y,057_br_x,057_br_y,058_detected,058_tl_x,058_tl_y,058_br_x,058_br_y,059_detected,059_tl_x,059_tl_y,059_br_x,059_br_y,060_detected,060_tl_x,060_tl_y,060_br_x,060_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
34311,18:28.035,2,True,1434,756,1551,927,False,,,,,False,,,,,False,,,,,True,292,495,498,764
34326,18:28.519,2,True,1440,759,1559,931,False,,,,,False,,,,,False,,,,,True,301,503,510,776
34341,18:29.003,2,True,1440,759,1558,935,False,,,,,False,,,,,False,,,,,True,296,501,507,775
34356,18:29.488,2,False,,,,,False,,,,,True,1445,772,1562,931,False,,,,,True,304,509,512,779
34371,18:29.972,2,False,,,,,False,,,,,True,1452,788,1567,953,False,,,,,True,323,517,527,787
34386,18:30.457,2,False,,,,,False,,,,,True,1445,787,1560,956,False,,,,,True,309,522,521,790
34401,18:30.941,2,False,,,,,False,,,,,True,1444,784,1560,954,False,,,,,True,305,520,520,788
34416,18:31.425,2,False,,,,,False,,,,,True,1444,785,1560,955,False,,,,,True,306,521,520,790
34431,18:31.910,2,True,1437,787,1553,954,False,,,,,False,,,,,False,,,,,True,289,521,505,790
34446,18:32.394,2,True,1464,866,1580,1033,False,,,,,False,,,,,False,,,,,True,352,575,559,843
34461,18:32.879,2,True,1451,836,1566,1007,False,,,,,False,,,,,False,,,,,True,312,550,534,828
34476,18:33.363,2,False,,,,,False,,,,,True,1435,825,1550,993,False,,,,,True,284,559,516,834
34491,18:33.848,2,True,1425,857,1542,1024,False,,,,,False,,,,,False,,,,,True,283,599,509,870
34506,18:34.332,2,False,,,,,True,1901,1052,2093,1282,True,758,913,878,1084,False,,,,,False,,,,
34521,18:34.816,2,False,,,,,True,1717,1150,1909,1382,True,555,968,691,1153,False,,,,,False,,,,
34536,18:35.301,2,False,,,,,True,1933,1078,2146,1316,True,753,952,875,1129,False,,,,,False,,,,
34551,18:35.785,2,False,,,,,False,,,,,True,1271,881,1383,1053,False,,,,,True,-36,659,226,960
34566,18:36.270,2,True,1815,841,1950,1028,False,,,,,False,,,,,False,,,,,True,684,693,861,936
34581,18:36.754,2,True,1983,818,2131,1009,False,,,,,False,,,,,False,,,,,True,858,625,1024,863
34596,18:37.238,2,False,,,,,False,,,,,True,1995,835,2146,1027,False,,,,,True,855,623,1035,860
34611,18:37.723,2,False,,,,,False,,,,,True,1989,817,2139,1008,False,,,,,True,849,591,1029,830
34626,18:38.207,2,False,,,,,False,,,,,True,1952,909,2099,1105,False,,,,,True,816,680,997,918
