frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
1752,00:57.982,0,,,,,,,,,,,,,,,,
1767,00:58.479,0,,,,,,,,,,,,,,,,
1782,00:58.975,0,,,,,,,,,,,,,,,,
1797,00:59.472,1,663.0,806.0,851.0,1070.0,,,,,,,,,,,,
1812,00:59.968,0,,,,,,,,,,,,,,,,
1827,01:00.464,0,,,,,,,,,,,,,,,,
1842,01:00.961,0,,,,,,,,,,,,,,,,
1857,01:01.457,0,,,,,,,,,,,,,,,,
1872,01:01.954,0,,,,,,,,,,,,,,,,
1887,01:02.450,0,,,,,,,,,,,,,,,,
1902,01:02.946,0,,,,,,,,,,,,,,,,
1917,01:03.443,0,,,,,,,,,,,,,,,,
1932,01:03.939,0,,,,,,,,,,,,,,,,
1947,01:04.436,0,,,,,,,,,,,,,,,,
1962,01:04.932,0,,,,,,,,,,,,,,,,
1977,01:05.429,0,,,,,,,,,,,,,,,,
1992,01:05.925,0,,,,,,,,,,,,,,,,
2007,01:06.421,0,,,,,,,,,,,,,,,,
2022,01:06.918,0,,,,,,,,,,,,,,,,
2037,01:07.414,0,,,,,,,,,,,,,,,,
2052,01:07.911,0,,,,,,,,,,,,,,,,
2067,01:08.407,0,,,,,,,,,,,,,,,,
2082,01:08.904,0,,,,,,,,,,,,,,,,
2097,01:09.400,0,,,,,,,,,,,,,,,,
2112,01:09.896,0,,,,,,,,,,,,,,,,
2127,01:10.393,0,,,,,,,,,,,,,,,,
2142,01:10.889,1,50.0,920.0,267.0,1191.0,,,,,,,,,,,,
2157,01:11.386,0,,,,,,,,,,,,,,,,
2172,01:11.882,0,,,,,,,,,,,,,,,,
2187,01:12.379,0,,,,,,,,,,,,,,,,
2202,01:12.875,0,,,,,,,,,,,,,,,,
2217,01:13.371,0,,,,,,,,,,,,,,,,
2232,01:13.868,0,,,,,,,,,,,,,,,,
2247,01:14.364,0,,,,,,,,,,,,,,,,
2262,01:14.861,0,,,,,,,,,,,,,,,,
2277,01:15.357,0,,,,,,,,,,,,,,,,
2292,01:15.853,0,,,,,,,,,,,,,,,,
2307,01:16.350,1,1819.0,922.0,1943.0,1096.0,,,,,,,,,,,,
2322,01:16.846,2,1322.0,880.0,1429.0,1032.0,1904.0,729.0,2151.0,1020.0,,,,,,,,
2337,01:17.343,2,1083.0,829.0,1192.0,977.0,1581.0,653.0,1785.0,914.0,,,,,,,,
2352,01:17.839,2,1565.0,725.0,1682.0,886.0,2182.0,508.0,2443.0,822.0,,,,,,,,
2367,01:18.336,2,1624.0,803.0,1745.0,968.0,2252.0,603.0,2492.0,944.0,,,,,,,,
2382,01:18.832,1,1705.0,799.0,1826.0,958.0,,,,,,,,,,,,
2397,01:19.328,1,1912.0,795.0,2049.0,962.0,,,,,,,,,,,,
2412,01:19.825,0,,,,,,,,,,,,,,,,
2427,01:20.321,1,431.0,845.0,604.0,1114.0,,,,,,,,,,,,
2442,01:20.818,1,380.0,811.0,568.0,1089.0,,,,,,,,,,,,
2457,01:21.314,0,,,,,,,,,,,,,,,,
2472,01:21.811,0,,,,,,,,,,,,,,,,
2487,01:22.307,0,,,,,,,,,,,,,,,,
2502,01:22.803,0,,,,,,,,,,,,,,,,
2517,01:23.300,0,,,,,,,,,,,,,,,,
2532,01:23.796,0,,,,,,,,,,,,,,,,
2547,01:24.293,0,,,,,,,,,,,,,,,,
2562,01:24.789,0,,,,,,,,,,,,,,,,
2577,01:25.286,1,2168.0,1020.0,2331.0,1202.0,,,,,,,,,,,,
2592,01:25.782,1,2151.0,910.0,2309.0,1089.0,,,,,,,,,,,,
2607,01:26.278,0,,,,,,,,,,,,,,,,
2622,01:26.775,0,,,,,,,,,,,,,,,,
2637,01:27.271,0,,,,,,,,,,,,,,,,
2652,01:27.768,0,,,,,,,,,,,,,,,,
2667,01:28.264,0,,,,,,,,,,,,,,,,
2682,01:28.760,0,,,,,,,,,,,,,,,,
2697,01:29.257,0,,,,,,,,,,,,,,,,
2712,01:29.753,0,,,,,,,,,,,,,,,,
2727,01:30.250,0,,,,,,,,,,,,,,,,
2742,01:30.746,0,,,,,,,,,,,,,,,,
2757,01:31.243,0,,,,,,,,,,,,,,,,
2772,01:31.739,0,,,,,,,,,,,,,,,,
2787,01:32.235,0,,,,,,,,,,,,,,,,
2802,01:32.732,0,,,,,,,,,,,,,,,,
2817,01:33.228,0,,,,,,,,,,,,,,,,
2832,01:33.725,0,,,,,,,,,,,,,,,,
2847,01:34.221,0,,,,,,,,,,,,,,,,
2862,01:34.718,0,,,,,,,,,,,,,,,,
2877,01:35.214,0,,,,,,,,,,,,,,,,
2892,01:35.710,0,,,,,,,,,,,,,,,,
2907,01:36.207,0,,,,,,,,,,,,,,,,
2922,01:36.703,0,,,,,,,,,,,,,,,,
2937,01:37.200,0,,,,,,,,,,,,,,,,
2952,01:37.696,0,,,,,,,,,,,,,,,,
2967,01:38.193,0,,,,,,,,,,,,,,,,
2982,01:38.689,1,2295.0,935.0,2438.0,1109.0,,,,,,,,,,,,
2997,01:39.185,0,,,,,,,,,,,,,,,,
3012,01:39.682,1,2263.0,859.0,2410.0,1031.0,,,,,,,,,,,,
3027,01:40.178,1,2095.0,850.0,2246.0,1021.0,,,,,,,,,,,,
3042,01:40.675,0,,,,,,,,,,,,,,,,
3057,01:41.171,0,,,,,,,,,,,,,,,,
3072,01:41.668,0,,,,,,,,,,,,,,,,
3087,01:42.164,1,266.0,864.0,510.0,1159.0,,,,,,,,,,,,
3102,01:42.660,1,428.0,827.0,644.0,1104.0,,,,,,,,,,,,
3117,01:43.157,1,528.0,806.0,735.0,1081.0,,,,,,,,,,,,
3132,01:43.653,1,478.0,803.0,690.0,1078.0,,,,,,,,,,,,
3147,01:44.150,0,,,,,,,,,,,,,,,,
3162,01:44.646,0,,,,,,,,,,,,,,,,
3177,01:45.142,0,,,,,,,,,,,,,,,,
3192,01:45.639,0,,,,,,,,,,,,,,,,
3207,01:46.135,1,292.0,844.0,513.0,1137.0,,,,,,,,,,,,
3222,01:46.632,1,766.0,801.0,949.0,1064.0,,,,,,,,,,,,
3237,01:47.128,1,784.0,741.0,975.0,1004.0,,,,,,,,,,,,
3252,01:47.625,1,767.0,686.0,964.0,946.0,,,,,,,,,,,,
3267,01:48.121,1,734.0,687.0,939.0,953.0,,,,,,,,,,,,
3282,01:48.617,0,,,,,,,,,,,,,,,,
3297,01:49.114,1,535.0,834.0,756.0,1113.0,,,,,,,,,,,,
3312,01:49.610,1,940.0,807.0,1138.0,1069.0,,,,,,,,,,,,
3327,01:50.107,1,987.0,770.0,1184.0,1029.0,,,,,,,,,,,,
3342,01:50.603,1,953.0,756.0,1150.0,1018.0,,,,,,,,,,,,
3357,01:51.100,1,947.0,694.0,1144.0,950.0,,,,,,,,,,,,
3372,01:51.596,1,947.0,686.0,1143.0,944.0,,,,,,,,,,,,
3387,01:52.092,1,957.0,681.0,1150.0,932.0,,,,,,,,,,,,
3402,01:52.589,1,969.0,762.0,1156.0,1014.0,,,,,,,,,,,,
3417,01:53.085,1,1009.0,751.0,1192.0,996.0,,,,,,,,,,,,
3432,01:53.582,1,1060.0,747.0,1245.0,993.0,,,,,,,,,,,,
3447,01:54.078,1,1075.0,726.0,1256.0,966.0,,,,,,,,,,,,
3462,01:54.575,1,1118.0,678.0,1302.0,924.0,,,,,,,,,,,,
3477,01:55.071,1,1071.0,672.0,1254.0,914.0,,,,,,,,,,,,
3492,01:55.567,1,1044.0,675.0,1229.0,920.0,,,,,,,,,,,,
3507,01:56.064,1,1046.0,658.0,1228.0,902.0,,,,,,,,,,,,
3522,01:56.560,1,1058.0,653.0,1241.0,896.0,,,,,,,,,,,,
3537,01:57.057,1,1048.0,647.0,1230.0,892.0,,,,,,,,,,,,
3552,01:57.553,1,1039.0,641.0,1223.0,889.0,,,,,,,,,,,,
3567,01:58.049,1,1032.0,642.0,1228.0,903.0,,,,,,,,,,,,
3582,01:58.546,1,1093.0,557.0,1309.0,843.0,,,,,,,,,,,,
3597,01:59.042,1,1085.0,465.0,1304.0,756.0,,,,,,,,,,,,
3612,01:59.539,0,,,,,,,,,,,,,,,,
3627,02:00.035,0,,,,,,,,,,,,,,,,
3642,02:00.532,0,,,,,,,,,,,,,,,,
3657,02:01.028,0,,,,,,,,,,,,,,,,
