frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
11696,06:21.000,06:21.018,2,728.0,955.0,887.0,1157.0,1790.0,838.0,1898.0,929.0
11713,06:21.500,06:21.527,2,807.0,847.0,976.0,1069.0,1916.0,774.0,2039.0,863.0
11729,06:22.000,06:22.012,1,197.0,787.0,416.0,1035.0,,,,
11746,06:22.500,06:22.520,1,783.0,325.0,887.0,420.0,,,,
11763,06:23.000,06:23.028,1,826.0,190.0,944.0,324.0,,,,
11779,06:23.500,06:23.512,1,972.0,610.0,1086.0,730.0,,,,
11796,06:24.000,06:24.020,2,90.0,843.0,338.0,1125.0,1408.0,766.0,1483.0,900.0
11813,06:24.500,06:24.528,1,32.0,870.0,289.0,1154.0,,,,
11829,06:25.000,06:25.003,1,-43.0,894.0,201.0,1187.0,,,,
11846,06:25.500,06:25.520,1,-65.0,901.0,187.0,1201.0,,,,
11863,06:26.000,06:26.030,1,-67.0,888.0,184.0,1188.0,,,,
11879,06:26.500,06:26.505,1,-72.0,884.0,172.0,1187.0,,,,
11896,06:27.000,06:27.013,2,1206.0,724.0,1333.0,891.0,-81.0,883.0,159.0,1189.0
11913,06:27.500,06:27.530,1,1149.0,703.0,1258.0,851.0,,,,
11929,06:28.000,06:28.005,1,1165.0,742.0,1235.0,880.0,,,,
11946,06:28.500,06:28.513,0,,,,,,,,
11963,06:29.000,06:29.030,0,,,,,,,,
11979,06:29.500,06:29.505,1,785.0,708.0,889.0,862.0,,,,
11996,06:30.000,06:30.015,1,714.0,745.0,825.0,895.0,,,,
12013,06:30.500,06:30.523,1,944.0,793.0,1048.0,935.0,,,,
12029,06:31.000,06:31.007,1,1070.0,749.0,1178.0,896.0,,,,
12046,06:31.500,06:31.515,1,959.0,806.0,1061.0,948.0,,,,
12063,06:32.000,06:32.023,1,937.0,794.0,1038.0,933.0,,,,
12079,06:32.500,06:32.507,1,864.0,744.0,968.0,884.0,,,,
12096,06:33.000,06:33.015,1,953.0,767.0,1048.0,905.0,,,,
12113,06:33.500,06:33.523,1,984.0,756.0,1080.0,894.0,,,,
