frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
17012,09:03.000,09:03.008,2,534.0,537.0,706.0,765.0,1099.0,533.0,1269.0,754.0
17027,09:03.500,09:03.508,2,538.0,530.0,710.0,755.0,1099.0,523.0,1274.0,747.0
17042,09:04.000,09:04.010,2,535.0,528.0,707.0,750.0,1092.0,518.0,1273.0,744.0
17057,09:04.500,09:04.510,2,540.0,536.0,711.0,759.0,1097.0,525.0,1275.0,750.0
17072,09:05.000,09:05.010,2,551.0,527.0,722.0,753.0,1114.0,519.0,1283.0,749.0
17087,09:05.500,09:05.510,2,567.0,516.0,738.0,739.0,1127.0,510.0,1300.0,742.0
17102,09:06.000,09:06.010,2,597.0,487.0,767.0,711.0,1160.0,501.0,1329.0,731.0
17117,09:06.500,09:06.510,2,591.0,466.0,761.0,690.0,1164.0,488.0,1336.0,717.0
17132,09:07.000,09:07.010,0,,,,,,,,
17148,09:07.500,09:07.510,0,,,,,,,,
17163,09:08.000,09:08.012,2,1221.0,247.0,1403.0,490.0,638.0,237.0,812.0,471.0
17178,09:08.500,09:08.512,2,1188.0,391.0,1363.0,628.0,617.0,385.0,790.0,609.0
17193,09:09.000,09:09.012,2,1192.0,464.0,1368.0,696.0,635.0,447.0,806.0,677.0
17208,09:09.500,09:09.512,2,1247.0,521.0,1420.0,752.0,700.0,506.0,863.0,728.0
17223,09:10.000,09:10.012,2,1204.0,570.0,1378.0,799.0,654.0,558.0,819.0,775.0
17238,09:10.500,09:10.512,2,1103.0,581.0,1276.0,814.0,530.0,559.0,707.0,791.0
17253,09:11.000,09:11.012,2,597.0,546.0,765.0,777.0,1161.0,569.0,1334.0,792.0
17268,09:11.500,09:11.512,2,1326.0,567.0,1502.0,802.0,787.0,554.0,944.0,773.0
17283,09:12.000,09:12.013,2,1251.0,557.0,1426.0,786.0,708.0,541.0,869.0,767.0
17298,09:12.500,09:12.513,2,1248.0,557.0,1423.0,783.0,705.0,537.0,867.0,766.0
17313,09:13.000,09:13.013,2,1276.0,563.0,1450.0,788.0,734.0,552.0,896.0,774.0
17328,09:13.500,09:13.513,2,1258.0,579.0,1431.0,802.0,710.0,559.0,872.0,786.0
17343,09:14.000,09:14.013,2,1246.0,579.0,1420.0,801.0,697.0,553.0,860.0,779.0
17358,09:14.500,09:14.513,2,734.0,546.0,896.0,772.0,1282.0,575.0,1453.0,799.0
17373,09:15.000,09:15.013,2,1256.0,585.0,1427.0,809.0,704.0,567.0,867.0,788.0
17388,09:15.500,09:15.513,2,1188.0,612.0,1358.0,836.0,628.0,584.0,795.0,808.0
17403,09:16.000,09:16.013,2,1130.0,637.0,1302.0,860.0,565.0,613.0,735.0,837.0
17418,09:16.500,09:16.515,2,605.0,615.0,772.0,837.0,1163.0,637.0,1334.0,862.0
17433,09:17.000,09:17.015,2,1180.0,631.0,1350.0,848.0,618.0,613.0,785.0,831.0
17448,09:17.500,09:17.515,2,702.0,584.0,863.0,803.0,1251.0,591.0,1424.0,814.0
17463,09:18.000,09:18.015,2,1264.0,605.0,1437.0,824.0,716.0,599.0,878.0,811.0
17478,09:18.500,09:18.515,2,1244.0,619.0,1418.0,842.0,697.0,605.0,859.0,830.0
17493,09:19.000,09:19.007,2,1240.0,614.0,1416.0,836.0,696.0,601.0,858.0,827.0
17508,09:19.500,09:19.507,2,672.0,619.0,834.0,835.0,1221.0,629.0,1394.0,849.0
17523,09:20.000,09:20.007,2,1181.0,635.0,1354.0,858.0,627.0,627.0,795.0,846.0
17538,09:20.500,09:20.508,2,1265.0,623.0,1440.0,845.0,724.0,611.0,884.0,827.0
17553,09:21.000,09:21.008,2,1294.0,634.0,1468.0,852.0,757.0,625.0,915.0,835.0
17568,09:21.500,09:21.508,2,1300.0,644.0,1476.0,868.0,764.0,640.0,924.0,851.0
17583,09:22.000,09:22.008,2,1207.0,646.0,1378.0,867.0,656.0,651.0,821.0,864.0
17598,09:22.500,09:22.508,2,1161.0,655.0,1331.0,873.0,607.0,653.0,774.0,873.0
17613,09:23.000,09:23.008,2,1144.0,663.0,1315.0,882.0,587.0,661.0,756.0,881.0
17628,09:23.500,09:23.508,2,617.0,653.0,787.0,868.0,1170.0,671.0,1341.0,886.0
17643,09:24.000,09:24.008,2,1249.0,700.0,1421.0,917.0,712.0,692.0,874.0,904.0
17658,09:24.500,09:24.510,2,1279.0,699.0,1452.0,910.0,746.0,692.0,906.0,900.0
17673,09:25.000,09:25.010,2,1296.0,700.0,1469.0,911.0,765.0,683.0,924.0,892.0
17688,09:25.500,09:25.510,2,1314.0,704.0,1488.0,922.0,793.0,714.0,952.0,917.0
17703,09:26.000,09:26.010,2,1309.0,708.0,1485.0,927.0,789.0,729.0,946.0,931.0
17718,09:26.500,09:26.510,2,1310.0,707.0,1487.0,928.0,790.0,729.0,947.0,932.0
17733,09:27.000,09:27.010,2,1308.0,708.0,1485.0,929.0,790.0,731.0,947.0,936.0
17748,09:27.500,09:27.510,2,1308.0,684.0,1486.0,901.0,795.0,705.0,955.0,908.0
17763,09:28.000,09:28.010,2,1293.0,653.0,1470.0,873.0,775.0,680.0,933.0,885.0
17778,09:28.500,09:28.510,2,1222.0,659.0,1399.0,880.0,701.0,681.0,862.0,896.0
17793,09:29.000,09:29.012,2,1251.0,636.0,1430.0,850.0,733.0,657.0,892.0,868.0
17808,09:29.500,09:29.512,2,1250.0,642.0,1426.0,860.0,731.0,665.0,891.0,879.0
17823,09:30.000,09:30.012,2,1225.0,640.0,1404.0,862.0,712.0,665.0,874.0,875.0
17838,09:30.500,09:30.512,2,1212.0,650.0,1389.0,873.0,697.0,676.0,859.0,886.0
17853,09:31.000,09:31.012,2,1202.0,655.0,1376.0,879.0,685.0,683.0,847.0,890.0
17868,09:31.500,09:31.512,2,1196.0,688.0,1370.0,907.0,678.0,716.0,841.0,916.0
17883,09:32.000,09:32.012,2,1203.0,693.0,1376.0,912.0,685.0,721.0,848.0,922.0
17898,09:32.500,09:32.512,2,1208.0,684.0,1382.0,910.0,692.0,705.0,853.0,911.0
17913,09:33.000,09:33.013,2,1208.0,688.0,1381.0,916.0,690.0,710.0,852.0,916.0
17928,09:33.500,09:33.513,2,1213.0,679.0,1383.0,906.0,683.0,701.0,846.0,908.0
17943,09:34.000,09:34.013,2,1218.0,683.0,1390.0,903.0,684.0,705.0,846.0,912.0
17958,09:34.500,09:34.513,2,1194.0,684.0,1368.0,901.0,685.0,697.0,847.0,904.0
17973,09:35.000,09:35.013,2,1219.0,669.0,1389.0,896.0,684.0,688.0,846.0,898.0
17988,09:35.500,09:35.513,2,1204.0,648.0,1376.0,877.0,678.0,665.0,841.0,877.0
18003,09:36.000,09:36.013,2,1206.0,644.0,1378.0,873.0,673.0,669.0,836.0,880.0
18018,09:36.500,09:36.513,2,1201.0,675.0,1371.0,897.0,672.0,703.0,836.0,907.0
18033,09:37.000,09:37.015,2,1135.0,683.0,1307.0,898.0,597.0,697.0,767.0,909.0
18048,09:37.500,09:37.515,2,1163.0,659.0,1334.0,880.0,630.0,669.0,795.0,884.0
18063,09:38.000,09:38.015,2,1159.0,645.0,1329.0,865.0,620.0,651.0,789.0,865.0
18078,09:38.500,09:38.515,2,1052.0,660.0,1224.0,885.0,493.0,651.0,671.0,876.0
18093,09:39.000,09:39.007,2,1042.0,654.0,1214.0,880.0,478.0,640.0,656.0,861.0
18108,09:39.500,09:39.507,2,1039.0,651.0,1213.0,877.0,473.0,638.0,652.0,861.0
18123,09:40.000,09:40.007,2,1038.0,665.0,1210.0,891.0,471.0,654.0,650.0,874.0
18138,09:40.500,09:40.507,2,1038.0,661.0,1211.0,886.0,471.0,652.0,649.0,873.0
18153,09:41.000,09:41.007,2,1047.0,662.0,1219.0,887.0,484.0,654.0,660.0,879.0
18168,09:41.500,09:41.508,2,1041.0,662.0,1214.0,885.0,475.0,654.0,654.0,874.0
18183,09:42.000,09:42.008,2,1041.0,679.0,1215.0,901.0,471.0,672.0,650.0,894.0
18198,09:42.500,09:42.508,2,1086.0,701.0,1258.0,926.0,526.0,690.0,700.0,904.0
18213,09:43.000,09:43.008,2,1106.0,712.0,1280.0,939.0,539.0,726.0,713.0,945.0
18228,09:43.500,09:43.508,2,1206.0,753.0,1379.0,977.0,647.0,777.0,812.0,987.0
18243,09:44.000,09:44.008,2,1245.0,762.0,1419.0,992.0,691.0,785.0,854.0,997.0
18258,09:44.500,09:44.508,2,1202.0,726.0,1376.0,952.0,643.0,749.0,810.0,960.0
18273,09:45.000,09:45.008,2,1150.0,698.0,1323.0,932.0,585.0,723.0,755.0,942.0
18288,09:45.500,09:45.510,2,1192.0,748.0,1364.0,980.0,632.0,742.0,799.0,954.0
18303,09:46.000,09:46.010,2,1293.0,711.0,1467.0,940.0,748.0,711.0,909.0,913.0
18318,09:46.500,09:46.510,2,1254.0,728.0,1423.0,951.0,706.0,722.0,867.0,929.0
18333,09:47.000,09:47.010,2,1215.0,684.0,1386.0,909.0,666.0,660.0,829.0,872.0
18348,09:47.500,09:47.510,2,1245.0,711.0,1415.0,937.0,700.0,684.0,861.0,896.0
18363,09:48.000,09:48.010,2,1228.0,771.0,1399.0,999.0,682.0,738.0,844.0,945.0
18378,09:48.500,09:48.510,2,1235.0,740.0,1406.0,964.0,691.0,707.0,852.0,916.0
18393,09:49.000,09:49.010,2,1227.0,733.0,1400.0,959.0,678.0,752.0,841.0,959.0
18408,09:49.500,09:49.512,2,679.0,655.0,845.0,864.0,1233.0,628.0,1405.0,858.0
18423,09:50.000,09:50.012,2,1211.0,673.0,1382.0,898.0,656.0,682.0,820.0,891.0
18438,09:50.500,09:50.512,2,1160.0,667.0,1329.0,893.0,600.0,661.0,769.0,879.0
18453,09:51.000,09:51.012,2,1122.0,690.0,1295.0,915.0,557.0,669.0,729.0,890.0
18468,09:51.500,09:51.512,2,1153.0,709.0,1323.0,935.0,590.0,691.0,761.0,906.0
18483,09:52.000,09:52.012,2,1187.0,701.0,1357.0,930.0,627.0,695.0,796.0,910.0
18498,09:52.500,09:52.512,2,1230.0,690.0,1404.0,920.0,679.0,695.0,844.0,904.0
18513,09:53.000,09:53.012,2,670.0,696.0,836.0,907.0,1220.0,692.0,1394.0,918.0
18528,09:53.500,09:53.512,2,1223.0,697.0,1397.0,917.0,677.0,699.0,840.0,908.0
18543,09:54.000,09:54.013,2,1255.0,700.0,1428.0,917.0,710.0,703.0,872.0,911.0
18558,09:54.500,09:54.513,2,731.0,700.0,893.0,908.0,1276.0,694.0,1452.0,911.0
18573,09:55.000,09:55.013,2,1342.0,684.0,1518.0,906.0,808.0,676.0,962.0,885.0
18588,09:55.500,09:55.513,2,1353.0,692.0,1529.0,911.0,820.0,684.0,976.0,893.0
18603,09:56.000,09:56.013,2,1343.0,691.0,1521.0,914.0,811.0,700.0,967.0,908.0
18618,09:56.500,09:56.513,2,818.0,708.0,973.0,917.0,1347.0,698.0,1525.0,916.0
18633,09:57.000,09:57.013,2,1346.0,692.0,1527.0,910.0,820.0,713.0,977.0,919.0
18648,09:57.500,09:57.513,2,1341.0,677.0,1520.0,900.0,816.0,707.0,971.0,912.0
18663,09:58.000,09:58.015,2,1330.0,663.0,1511.0,892.0,807.0,711.0,963.0,913.0
18678,09:58.500,09:58.507,2,1313.0,712.0,1494.0,933.0,788.0,745.0,945.0,950.0
18693,09:59.000,09:59.007,2,1285.0,714.0,1466.0,931.0,757.0,738.0,918.0,944.0
18708,09:59.500,09:59.507,2,1274.0,721.0,1451.0,936.0,741.0,744.0,902.0,947.0
