frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
16644,08:20.000,08:20.027,3,1525.0,758.0,1718.0,1025.0,862.0,746.0,962.0,872.0,71.0,746.0,196.0,902.0
16659,08:20.500,08:20.527,3,1591.0,751.0,1794.0,1019.0,171.0,734.0,290.0,882.0,930.0,729.0,1030.0,861.0
16674,08:21.000,08:21.027,3,1708.0,734.0,1923.0,1007.0,319.0,715.0,427.0,859.0,1033.0,712.0,1130.0,842.0
16689,08:21.500,08:21.527,3,324.0,700.0,433.0,845.0,1715.0,731.0,1930.0,1005.0,1039.0,699.0,1138.0,831.0
16704,08:22.000,08:22.027,3,1732.0,721.0,1949.0,994.0,344.0,677.0,451.0,822.0,1055.0,685.0,1154.0,814.0
16719,08:22.500,08:22.527,3,354.0,660.0,461.0,806.0,1728.0,712.0,1938.0,985.0,1061.0,674.0,1158.0,807.0
16734,08:23.000,08:23.028,3,362.0,648.0,467.0,795.0,1741.0,711.0,1960.0,989.0,1069.0,669.0,1166.0,801.0
16749,08:23.500,08:23.528,3,412.0,601.0,514.0,744.0,1802.0,663.0,2030.0,945.0,1109.0,621.0,1206.0,750.0
16764,08:24.000,08:24.028,3,1876.0,754.0,2111.0,1037.0,486.0,717.0,585.0,857.0,1164.0,722.0,1264.0,858.0
16779,08:24.500,08:24.528,3,1893.0,762.0,2130.0,1049.0,503.0,727.0,602.0,868.0,1179.0,730.0,1275.0,862.0
16794,08:25.000,08:25.028,3,1935.0,724.0,2179.0,1023.0,545.0,702.0,641.0,836.0,1213.0,702.0,1309.0,834.0
16809,08:25.500,08:25.528,3,1925.0,759.0,2169.0,1052.0,534.0,737.0,631.0,875.0,1205.0,736.0,1302.0,867.0
16824,08:26.000,08:26.028,3,1941.0,726.0,2187.0,1024.0,545.0,709.0,640.0,843.0,1214.0,708.0,1310.0,836.0
16839,08:26.500,08:26.528,3,1993.0,737.0,2246.0,1034.0,1255.0,713.0,1354.0,842.0,597.0,716.0,690.0,850.0
16854,08:27.000,08:27.030,3,2015.0,759.0,2268.0,1056.0,616.0,740.0,707.0,875.0,1269.0,736.0,1367.0,866.0
16869,08:27.500,08:27.530,3,2046.0,755.0,2310.0,1062.0,642.0,742.0,734.0,880.0,1293.0,738.0,1391.0,868.0
16884,08:28.000,08:28.030,3,2101.0,743.0,2378.0,1059.0,687.0,741.0,778.0,878.0,1330.0,734.0,1430.0,868.0
16899,08:28.500,08:28.530,3,755.0,764.0,843.0,895.0,1392.0,754.0,1494.0,889.0,2193.0,765.0,2449.0,1086.0
16914,08:29.000,08:29.030,3,772.0,803.0,859.0,935.0,1409.0,790.0,1510.0,929.0,2222.0,800.0,2474.0,1129.0
16929,08:29.500,08:29.530,3,708.0,800.0,796.0,932.0,2124.0,802.0,2393.0,1117.0,1350.0,790.0,1450.0,927.0
16944,08:30.000,08:30.030,3,693.0,818.0,783.0,948.0,2105.0,836.0,2376.0,1152.0,1336.0,816.0,1436.0,952.0
16959,08:30.500,08:30.530,2,829.0,828.0,916.0,956.0,1467.0,844.0,1569.0,977.0,,,,
16974,08:31.000,08:31.032,2,930.0,801.0,1013.0,930.0,1565.0,832.0,1672.0,970.0,,,,
16989,08:31.500,08:31.532,3,792.0,770.0,878.0,898.0,1422.0,810.0,1525.0,950.0,2251.0,884.0,2499.0,1211.0
17004,08:32.000,08:32.032,3,738.0,707.0,825.0,835.0,2155.0,809.0,2420.0,1125.0,1373.0,750.0,1474.0,885.0
17019,08:32.500,08:32.532,3,2114.0,804.0,2387.0,1112.0,717.0,701.0,805.0,833.0,1364.0,743.0,1466.0,878.0
17034,08:33.000,08:33.032,2,952.0,717.0,1035.0,843.0,1575.0,757.0,1683.0,896.0,,,,
17049,08:33.500,08:33.532,3,1468.0,705.0,1570.0,843.0,845.0,661.0,930.0,788.0,2212.0,777.0,2375.0,1052.0
17064,08:34.000,08:34.032,3,1381.0,678.0,1481.0,813.0,759.0,642.0,847.0,772.0,2108.0,748.0,2242.0,995.0
17079,08:34.500,08:34.532,3,700.0,638.0,790.0,770.0,1326.0,673.0,1421.0,808.0,2038.0,726.0,2176.0,968.0
17093,08:35.000,08:35.000,3,1323.0,657.0,1416.0,788.0,718.0,628.0,804.0,760.0,2023.0,708.0,2162.0,951.0
17108,08:35.500,08:35.500,3,1294.0,654.0,1393.0,788.0,690.0,630.0,776.0,761.0,1990.0,695.0,2124.0,936.0
17123,08:36.000,08:36.000,3,647.0,675.0,735.0,806.0,1256.0,697.0,1355.0,834.0,1938.0,743.0,2050.0,969.0
17138,08:36.500,08:36.500,3,1157.0,795.0,1256.0,931.0,530.0,754.0,626.0,889.0,1822.0,848.0,1929.0,1076.0
17153,08:37.000,08:37.000,3,621.0,586.0,713.0,720.0,1243.0,630.0,1344.0,767.0,1926.0,674.0,2067.0,922.0
17169,08:37.500,08:37.525,3,1952.0,785.0,2179.0,1065.0,1233.0,747.0,1329.0,879.0,595.0,715.0,689.0,852.0
17184,08:38.000,08:38.025,3,1906.0,776.0,2143.0,1060.0,518.0,782.0,617.0,923.0,1175.0,777.0,1275.0,911.0
17199,08:38.500,08:38.525,3,450.0,661.0,553.0,807.0,1855.0,794.0,2090.0,1076.0,1127.0,728.0,1229.0,864.0
17214,08:39.000,08:39.027,3,1924.0,823.0,2166.0,1105.0,531.0,752.0,628.0,893.0,1178.0,782.0,1269.0,906.0
17229,08:39.500,08:39.527,3,1529.0,905.0,1726.0,1165.0,9.0,936.0,141.0,1103.0,805.0,918.0,898.0,1048.0
17244,08:40.000,08:40.027,3,1721.0,897.0,1937.0,1171.0,268.0,821.0,382.0,975.0,996.0,861.0,1096.0,990.0
17259,08:40.500,08:40.527,3,1881.0,1025.0,2115.0,1316.0,455.0,954.0,559.0,1102.0,1143.0,992.0,1244.0,1132.0
17274,08:41.000,08:41.027,3,1934.0,966.0,2188.0,1269.0,482.0,815.0,585.0,958.0,1154.0,895.0,1255.0,1028.0
17289,08:41.500,08:41.527,3,1792.0,923.0,2026.0,1206.0,325.0,771.0,436.0,921.0,1031.0,857.0,1126.0,989.0
17304,08:42.000,08:42.027,3,516.0,699.0,616.0,837.0,1935.0,875.0,2194.0,1171.0,1175.0,790.0,1270.0,918.0
17319,08:42.500,08:42.527,3,630.0,731.0,723.0,866.0,2050.0,778.0,2318.0,1085.0,1276.0,761.0,1369.0,890.0
17334,08:43.000,08:43.028,3,1964.0,787.0,2213.0,1075.0,572.0,750.0,667.0,883.0,1226.0,772.0,1317.0,900.0
17349,08:43.500,08:43.528,3,491.0,699.0,588.0,833.0,1851.0,761.0,2084.0,1037.0,1151.0,727.0,1243.0,855.0
17364,08:44.000,08:44.028,2,1375.0,747.0,1460.0,877.0,2080.0,733.0,2211.0,888.0,,,,
17378,08:44.500,08:44.528,1,2144.0,717.0,2266.0,872.0,,,,,,,,
17393,08:45.000,08:45.028,1,2107.0,694.0,2226.0,845.0,,,,,,,,
17408,08:45.500,08:45.528,1,2146.0,669.0,2268.0,821.0,,,,,,,,
17423,08:46.000,08:46.028,1,2254.0,665.0,2385.0,817.0,,,,,,,,
17438,08:46.500,08:46.528,1,2223.0,666.0,2353.0,818.0,,,,,,,,
17453,08:47.000,08:47.030,1,2214.0,650.0,2343.0,804.0,,,,,,,,
17468,08:47.500,08:47.530,1,2244.0,584.0,2377.0,739.0,,,,,,,,
17483,08:48.000,08:48.030,1,2176.0,567.0,2303.0,718.0,,,,,,,,
17498,08:48.500,08:48.530,1,2073.0,538.0,2192.0,688.0,,,,,,,,
17513,08:49.000,08:49.030,1,1968.0,564.0,2078.0,706.0,,,,,,,,
17528,08:49.500,08:49.505,1,1832.0,614.0,1933.0,754.0,,,,,,,,
17543,08:50.000,08:50.030,1,1905.0,693.0,2010.0,836.0,,,,,,,,
17558,08:50.500,08:50.530,1,1945.0,659.0,2052.0,803.0,,,,,,,,
17573,08:51.000,08:51.032,1,1893.0,618.0,1997.0,761.0,,,,,,,,
17588,08:51.500,08:51.532,1,1884.0,613.0,1988.0,756.0,,,,,,,,
17603,08:52.000,08:52.032,1,1841.0,602.0,1943.0,742.0,,,,,,,,
17618,08:52.500,08:52.532,1,1545.0,636.0,1635.0,767.0,,,,,,,,
17633,08:53.000,08:53.032,2,1510.0,594.0,1597.0,725.0,2285.0,518.0,2413.0,671.0,,,,
17648,08:53.500,08:53.532,2,1406.0,546.0,1491.0,677.0,2125.0,485.0,2259.0,638.0,,,,
17663,08:54.000,08:54.032,2,1237.0,550.0,1321.0,679.0,1908.0,511.0,2023.0,656.0,,,,
17678,08:54.500,08:54.532,2,990.0,625.0,1074.0,750.0,1618.0,608.0,1713.0,744.0,,,,
17692,08:55.000,08:55.000,2,1456.0,676.0,1550.0,810.0,839.0,691.0,925.0,819.0,,,,
17707,08:55.500,08:55.500,2,827.0,709.0,914.0,834.0,1445.0,708.0,1538.0,837.0,,,,
17722,08:56.000,08:56.000,3,660.0,716.0,750.0,847.0,2050.0,754.0,2278.0,1043.0,1289.0,735.0,1380.0,863.0
17737,08:56.500,08:56.500,3,1316.0,717.0,1407.0,843.0,688.0,689.0,777.0,818.0,2097.0,739.0,2323.0,1035.0
17753,08:57.000,08:57.025,3,716.0,665.0,804.0,795.0,1343.0,681.0,1436.0,811.0,2126.0,685.0,2362.0,983.0
17768,08:57.500,08:57.525,3,806.0,623.0,892.0,749.0,1427.0,641.0,1523.0,771.0,2258.0,647.0,2468.0,948.0
17783,08:58.000,08:58.025,3,801.0,627.0,888.0,757.0,1425.0,647.0,1519.0,777.0,2250.0,658.0,2463.0,962.0
17798,08:58.500,08:58.527,3,1424.0,648.0,1519.0,784.0,801.0,630.0,888.0,760.0,2247.0,666.0,2460.0,972.0
17813,08:59.000,08:59.027,3,782.0,654.0,869.0,784.0,1417.0,671.0,1519.0,811.0,2221.0,687.0,2434.0,986.0
17828,08:59.500,08:59.527,2,1542.0,555.0,1650.0,700.0,904.0,532.0,989.0,657.0,,,,
17843,09:00.000,09:00.027,2,893.0,523.0,979.0,652.0,1519.0,547.0,1625.0,691.0,,,,
17858,09:00.500,09:00.527,2,885.0,522.0,970.0,650.0,1505.0,548.0,1605.0,688.0,,,,
17873,09:01.000,09:01.027,3,855.0,542.0,941.0,671.0,1473.0,568.0,1572.0,709.0,2280.0,625.0,2454.0,874.0
17888,09:01.500,09:01.527,3,816.0,575.0,902.0,702.0,1435.0,596.0,1531.0,732.0,2227.0,618.0,2377.0,893.0
17903,09:02.000,09:02.027,3,799.0,578.0,884.0,704.0,1417.0,597.0,1514.0,734.0,2192.0,611.0,2359.0,901.0
17918,09:02.500,09:02.528,3,801.0,581.0,887.0,709.0,1417.0,599.0,1510.0,732.0,2192.0,607.0,2357.0,889.0
17933,09:03.000,09:03.028,3,842.0,591.0,926.0,716.0,1419.0,605.0,1511.0,734.0,2197.0,605.0,2403.0,899.0
17948,09:03.500,09:03.528,3,853.0,596.0,936.0,722.0,1426.0,608.0,1517.0,737.0,2237.0,614.0,2454.0,909.0
17963,09:04.000,09:04.028,3,859.0,587.0,942.0,713.0,1434.0,596.0,1525.0,724.0,2251.0,595.0,2457.0,894.0
17978,09:04.500,09:04.528,3,865.0,579.0,947.0,705.0,1443.0,588.0,1533.0,717.0,2265.0,595.0,2467.0,890.0
17993,09:05.000,09:05.028,3,858.0,601.0,941.0,729.0,1436.0,601.0,1528.0,739.0,2257.0,591.0,2464.0,883.0
18008,09:05.500,09:05.528,3,848.0,609.0,931.0,735.0,1423.0,603.0,1518.0,737.0,2240.0,577.0,2468.0,859.0
18023,09:06.000,09:06.028,3,840.0,615.0,925.0,742.0,1419.0,606.0,1513.0,744.0,2234.0,568.0,2465.0,856.0
18038,09:06.500,09:06.530,3,838.0,616.0,922.0,743.0,1416.0,606.0,1508.0,741.0,2215.0,571.0,2423.0,854.0
18053,09:07.000,09:07.030,3,832.0,629.0,915.0,754.0,1410.0,623.0,1501.0,756.0,2164.0,620.0,2329.0,888.0
18068,09:07.500,09:07.530,3,824.0,630.0,909.0,758.0,1403.0,630.0,1495.0,761.0,2150.0,643.0,2296.0,896.0
18083,09:08.000,09:08.030,3,836.0,616.0,920.0,744.0,1416.0,619.0,1506.0,747.0,2187.0,632.0,2327.0,885.0
18099,09:08.500,09:08.530,3,828.0,610.0,911.0,736.0,1412.0,609.0,1500.0,737.0,2171.0,631.0,2310.0,881.0
18114,09:09.000,09:09.030,3,742.0,686.0,828.0,813.0,1328.0,707.0,1409.0,833.0,2040.0,760.0,2178.0,1001.0
18129,09:09.500,09:09.530,3,471.0,776.0,571.0,913.0,1098.0,788.0,1186.0,916.0,1758.0,823.0,1890.0,1062.0
18144,09:10.000,09:10.030,3,443.0,771.0,544.0,911.0,1079.0,800.0,1166.0,924.0,1733.0,845.0,1866.0,1087.0
18159,09:10.500,09:10.530,3,377.0,706.0,481.0,845.0,1034.0,755.0,1121.0,878.0,1683.0,814.0,1815.0,1055.0
18174,09:11.000,09:11.032,3,473.0,719.0,573.0,854.0,1108.0,767.0,1194.0,889.0,1775.0,828.0,1913.0,1074.0
18189,09:11.500,09:11.532,3,484.0,740.0,583.0,875.0,1120.0,784.0,1204.0,902.0,1787.0,859.0,1923.0,1102.0
18204,09:12.000,09:12.032,3,597.0,737.0,692.0,870.0,1232.0,784.0,1329.0,910.0,1908.0,866.0,2047.0,1109.0
18219,09:12.500,09:12.532,3,755.0,732.0,844.0,857.0,1361.0,781.0,1441.0,908.0,2095.0,848.0,2250.0,1114.0
18234,09:13.000,09:13.032,2,1080.0,690.0,1164.0,815.0,1669.0,748.0,1732.0,864.0,,,,
18249,09:13.500,09:13.532,2,1189.0,711.0,1271.0,826.0,1801.0,753.0,1873.0,877.0,,,,
18264,09:14.000,09:14.032,2,1224.0,716.0,1306.0,843.0,1853.0,758.0,1924.0,883.0,,,,
18278,09:14.500,09:14.500,2,1260.0,702.0,1342.0,825.0,1905.0,734.0,1979.0,864.0,,,,
18293,09:15.000,09:15.000,2,1261.0,655.0,1346.0,782.0,1912.0,679.0,1987.0,812.0,,,,
18308,09:15.500,09:15.500,2,1276.0,640.0,1360.0,768.0,1927.0,666.0,2005.0,801.0,,,,
18323,09:16.000,09:16.000,2,1284.0,635.0,1366.0,762.0,1945.0,649.0,2044.0,791.0,,,,
18338,09:16.500,09:16.500,2,1284.0,619.0,1368.0,744.0,1946.0,629.0,2045.0,776.0,,,,
18354,09:17.000,09:17.025,2,1286.0,610.0,1368.0,730.0,1941.0,622.0,2033.0,763.0,,,,
18369,09:17.500,09:17.525,2,1288.0,596.0,1371.0,725.0,1956.0,608.0,2085.0,757.0,,,,
18384,09:18.000,09:18.025,2,1295.0,624.0,1378.0,748.0,1966.0,640.0,2090.0,786.0,,,,
18399,09:18.500,09:18.527,2,1291.0,629.0,1374.0,752.0,1933.0,651.0,2015.0,785.0,,,,
18414,09:19.000,09:19.027,2,1282.0,628.0,1366.0,749.0,1932.0,649.0,2012.0,782.0,,,,
18429,09:19.500,09:19.527,2,1275.0,622.0,1358.0,742.0,1922.0,641.0,1999.0,774.0,,,,
18444,09:20.000,09:20.027,2,1311.0,614.0,1395.0,743.0,1971.0,647.0,2050.0,782.0,,,,
18459,09:20.500,09:20.527,2,1327.0,704.0,1409.0,830.0,1986.0,756.0,2068.0,887.0,,,,
18474,09:21.000,09:21.027,2,1435.0,503.0,1523.0,635.0,2120.0,594.0,2218.0,728.0,,,,
18489,09:21.500,09:21.527,2,1532.0,630.0,1623.0,762.0,2260.0,763.0,2367.0,905.0,,,,
