frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
12832,06:28.000,06:28.030,2,154.0,664.0,352.0,910.0,821.0,777.0,988.0,1012.0
12847,06:28.500,06:28.530,2,954.0,237.0,1124.0,491.0,263.0,60.0,468.0,334.0
12862,06:29.000,06:29.030,0,,,,,,,,
12877,06:29.500,06:29.530,0,,,,,,,,
12892,06:30.000,06:30.030,2,1084.0,251.0,1266.0,515.0,426.0,127.0,610.0,397.0
12907,06:30.500,06:30.522,2,495.0,594.0,669.0,832.0,1112.0,698.0,1285.0,942.0
12922,06:31.000,06:31.022,2,1088.0,727.0,1260.0,972.0,431.0,624.0,615.0,869.0
12937,06:31.500,06:31.522,2,488.0,610.0,664.0,852.0,1130.0,714.0,1299.0,958.0
12952,06:32.000,06:32.023,2,487.0,609.0,663.0,849.0,1126.0,712.0,1296.0,956.0
12967,06:32.500,06:32.523,2,487.0,648.0,663.0,887.0,1120.0,754.0,1290.0,997.0
12982,06:33.000,06:33.023,2,483.0,654.0,659.0,896.0,1118.0,761.0,1287.0,1004.0
12997,06:33.500,06:33.523,2,484.0,648.0,660.0,892.0,1117.0,753.0,1287.0,998.0
13012,06:34.000,06:34.023,2,1114.0,748.0,1285.0,992.0,480.0,643.0,658.0,888.0
13027,06:34.500,06:34.523,2,1109.0,756.0,1280.0,1003.0,476.0,654.0,654.0,897.0
13042,06:35.000,06:35.023,2,1112.0,764.0,1283.0,1006.0,480.0,661.0,656.0,901.0
13057,06:35.500,06:35.523,2,1113.0,770.0,1283.0,1011.0,484.0,671.0,658.0,909.0
13072,06:36.000,06:36.025,2,1112.0,771.0,1282.0,1014.0,481.0,674.0,657.0,910.0
13087,06:36.500,06:36.525,2,1102.0,774.0,1271.0,1015.0,490.0,672.0,665.0,910.0
13102,06:37.000,06:37.025,2,1103.0,776.0,1272.0,1016.0,533.0,678.0,682.0,905.0
13117,06:37.500,06:37.525,2,1104.0,778.0,1273.0,1020.0,553.0,689.0,700.0,910.0
13132,06:38.000,06:38.025,2,1103.0,788.0,1273.0,1029.0,555.0,702.0,703.0,923.0
13147,06:38.500,06:38.525,2,1102.0,799.0,1271.0,1037.0,553.0,708.0,702.0,933.0
13162,06:39.000,06:39.025,2,1021.0,979.0,1193.0,1229.0,450.0,895.0,605.0,1134.0
13177,06:39.500,06:39.525,2,1003.0,946.0,1172.0,1187.0,425.0,867.0,581.0,1102.0
13192,06:40.000,06:40.027,2,1000.0,885.0,1170.0,1129.0,423.0,808.0,580.0,1042.0
13207,06:40.500,06:40.527,2,370.0,779.0,553.0,1030.0,999.0,869.0,1170.0,1117.0
13222,06:41.000,06:41.027,2,340.0,773.0,530.0,1022.0,995.0,869.0,1166.0,1118.0
13237,06:41.500,06:41.527,2,360.0,928.0,549.0,1175.0,1011.0,993.0,1182.0,1246.0
13252,06:42.000,06:42.027,2,-15.0,744.0,208.0,1010.0,728.0,816.0,910.0,1062.0
13267,06:42.500,06:42.527,2,671.0,641.0,857.0,900.0,-102.0,531.0,123.0,822.0
13282,06:43.000,06:43.027,2,63.0,699.0,285.0,965.0,784.0,807.0,964.0,1056.0
13297,06:43.500,06:43.527,2,163.0,696.0,374.0,959.0,849.0,811.0,1028.0,1057.0
13312,06:44.000,06:44.028,2,200.0,688.0,409.0,942.0,880.0,813.0,1055.0,1056.0
13327,06:44.500,06:44.528,2,183.0,652.0,392.0,900.0,869.0,807.0,1046.0,1050.0
13342,06:45.000,06:45.028,2,871.0,821.0,1047.0,1065.0,182.0,673.0,392.0,910.0
13357,06:45.500,06:45.528,2,873.0,831.0,1049.0,1074.0,185.0,689.0,396.0,922.0
13372,06:46.000,06:46.028,2,204.0,705.0,414.0,964.0,882.0,826.0,1058.0,1068.0
13387,06:46.500,06:46.528,2,203.0,707.0,412.0,965.0,881.0,829.0,1057.0,1072.0
13402,06:47.000,06:47.028,2,204.0,711.0,413.0,970.0,880.0,829.0,1056.0,1074.0
13417,06:47.500,06:47.528,2,311.0,922.0,507.0,1179.0,949.0,1028.0,1123.0,1283.0
13432,06:48.000,06:48.030,2,1006.0,1019.0,1178.0,1268.0,390.0,906.0,578.0,1158.0
13447,06:48.500,06:48.530,2,477.0,754.0,658.0,993.0,1077.0,874.0,1249.0,1119.0
13462,06:49.000,06:49.030,2,1054.0,837.0,1224.0,1074.0,448.0,701.0,631.0,944.0
13477,06:49.500,06:49.530,2,1047.0,727.0,1221.0,969.0,439.0,600.0,623.0,849.0
13492,06:50.000,06:50.022,2,369.0,598.0,559.0,852.0,995.0,723.0,1167.0,963.0
13507,06:50.500,06:50.522,2,968.0,735.0,1141.0,979.0,334.0,619.0,528.0,872.0
13522,06:51.000,06:51.022,2,990.0,763.0,1162.0,1004.0,364.0,649.0,554.0,894.0
13537,06:51.500,06:51.522,2,374.0,629.0,566.0,875.0,1001.0,748.0,1171.0,987.0
13552,06:52.000,06:52.023,2,1012.0,733.0,1184.0,975.0,388.0,610.0,578.0,860.0
13567,06:52.500,06:52.523,2,369.0,588.0,558.0,840.0,996.0,713.0,1168.0,954.0
13582,06:53.000,06:53.023,2,974.0,707.0,1148.0,948.0,341.0,579.0,538.0,837.0
13597,06:53.500,06:53.523,2,350.0,594.0,544.0,851.0,978.0,717.0,1150.0,959.0
13612,06:54.000,06:54.023,2,1029.0,711.0,1200.0,954.0,415.0,588.0,603.0,840.0
13627,06:54.500,06:54.523,2,1297.0,962.0,1468.0,1207.0,738.0,868.0,900.0,1090.0
13642,06:55.000,06:55.023,2,686.0,482.0,852.0,716.0,1257.0,565.0,1425.0,802.0
13657,06:55.500,06:55.523,2,381.0,219.0,582.0,491.0,1037.0,348.0,1213.0,602.0
