frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
37165,40:27.463,2,1443,844,1538,977,462.0,815.0,623.0,1018.0,,,,,,,,
37166,40:27.497,2,1433,840,1528,973,446.0,813.0,611.0,1017.0,,,,,,,,
37167,40:27.530,2,1425,837,1519,968,437.0,810.0,601.0,1013.0,,,,,,,,
37168,40:27.563,2,1417,833,1511,965,430.0,809.0,594.0,1012.0,,,,,,,,
37169,40:27.597,2,1412,833,1506,964,423.0,807.0,584.0,1011.0,,,,,,,,
37170,40:27.630,2,1411,835,1504,967,423.0,810.0,583.0,1014.0,,,,,,,,
37171,40:27.663,2,1412,844,1506,975,424.0,820.0,584.0,1022.0,,,,,,,,
37172,40:27.697,2,1415,844,1509,977,427.0,824.0,588.0,1024.0,,,,,,,,
37173,40:27.730,2,1419,844,1513,976,432.0,827.0,595.0,1025.0,,,,,,,,
37174,40:27.763,2,1421,846,1516,979,435.0,832.0,597.0,1031.0,,,,,,,,
37175,40:27.797,2,1423,845,1517,979,436.0,832.0,598.0,1031.0,,,,,,,,
37176,40:27.830,2,1420,845,1515,978,434.0,829.0,596.0,1027.0,,,,,,,,
37177,40:27.863,2,1416,842,1512,975,430.0,826.0,590.0,1025.0,,,,,,,,
37178,40:27.897,2,1413,841,1508,974,427.0,824.0,587.0,1023.0,,,,,,,,
37179,40:27.930,2,1414,836,1508,966,427.0,818.0,587.0,1020.0,,,,,,,,
37180,40:27.963,2,1422,837,1516,967,435.0,817.0,599.0,1021.0,,,,,,,,
37181,40:27.997,2,1436,834,1530,964,455.0,814.0,615.0,1017.0,,,,,,,,
37182,40:28.030,2,1450,827,1545,960,473.0,809.0,632.0,1010.0,,,,,,,,
37183,40:28.063,2,1463,825,1560,959,490.0,811.0,646.0,1009.0,,,,,,,,
37184,40:28.097,2,1475,828,1571,961,502.0,809.0,660.0,1008.0,,,,,,,,
37185,40:28.130,2,1484,830,1579,962,513.0,806.0,670.0,1007.0,,,,,,,,
37186,40:28.163,2,1488,826,1586,960,519.0,799.0,676.0,1003.0,,,,,,,,
37187,40:28.197,2,1491,823,1588,956,523.0,796.0,678.0,996.0,,,,,,,,
37188,40:28.230,2,1492,822,1588,953,525.0,797.0,678.0,994.0,,,,,,,,
37189,40:28.263,2,1491,823,1587,955,523.0,798.0,677.0,996.0,,,,,,,,
37190,40:28.297,2,1488,822,1584,954,520.0,795.0,674.0,995.0,,,,,,,,
37191,40:28.330,2,1484,819,1580,951,515.0,792.0,670.0,993.0,,,,,,,,
37192,40:28.363,2,1480,820,1576,951,510.0,792.0,666.0,992.0,,,,,,,,
37193,40:28.397,2,1477,822,1573,953,504.0,795.0,661.0,992.0,,,,,,,,
37194,40:28.430,2,1475,822,1570,952,503.0,797.0,658.0,992.0,,,,,,,,
37195,40:28.463,2,1472,822,1566,953,498.0,798.0,655.0,993.0,,,,,,,,
37196,40:28.497,2,1465,821,1561,952,491.0,796.0,647.0,994.0,,,,,,,,
37197,40:28.530,2,1456,818,1551,949,480.0,794.0,637.0,993.0,,,,,,,,
37198,40:28.563,2,1446,817,1540,947,463.0,790.0,626.0,991.0,,,,,,,,
37199,40:28.597,2,1433,812,1528,941,448.0,784.0,610.0,986.0,,,,,,,,
37200,40:28.630,2,1419,809,1513,937,432.0,780.0,595.0,984.0,,,,,,,,
37201,40:28.663,2,1405,806,1499,934,413.0,778.0,576.0,983.0,,,,,,,,
37202,40:28.697,2,1393,806,1486,933,396.0,781.0,562.0,985.0,,,,,,,,
37203,40:28.730,2,1381,810,1474,937,378.0,785.0,546.0,992.0,,,,,,,,
37204,40:28.763,2,1371,815,1464,944,366.0,794.0,535.0,999.0,,,,,,,,
37205,40:28.797,2,1363,817,1454,947,355.0,796.0,524.0,1005.0,,,,,,,,
37206,40:28.830,2,1356,820,1450,950,348.0,800.0,519.0,1009.0,,,,,,,,
37207,40:28.863,2,345,805,515,1013,1353.0,823.0,1447.0,953.0,,,,,,,,
37208,40:28.888,2,343,808,512,1017,1353.0,826.0,1445.0,954.0,,,,,,,,
37209,40:28.922,2,1352,826,1444,955,342.0,809.0,512.0,1020.0,,,,,,,,
37210,40:28.955,2,1351,826,1443,955,342.0,809.0,511.0,1020.0,,,,,,,,
37211,40:28.988,2,1349,826,1443,956,341.0,809.0,510.0,1021.0,,,,,,,,
37212,40:29.022,2,1349,827,1441,957,339.0,810.0,509.0,1022.0,,,,,,,,
37213,40:29.055,2,1347,824,1440,954,338.0,810.0,507.0,1020.0,,,,,,,,
37214,40:29.088,2,335,806,506,1018,1346.0,819.0,1439.0,950.0,,,,,,,,
37215,40:29.122,2,332,804,505,1015,1344.0,817.0,1437.0,947.0,,,,,,,,
37216,40:29.155,2,329,803,503,1018,1343.0,817.0,1436.0,946.0,,,,,,,,
37217,40:29.188,2,329,802,503,1019,1343.0,816.0,1435.0,945.0,,,,,,,,
37218,40:29.222,2,330,803,506,1020,1342.0,817.0,1435.0,945.0,,,,,,,,
37219,40:29.255,2,334,805,507,1021,1343.0,817.0,1435.0,945.0,,,,,,,,
37220,40:29.288,2,338,802,511,1020,1343.0,815.0,1436.0,944.0,,,,,,,,
37221,40:29.322,2,340,801,513,1017,1344.0,814.0,1436.0,943.0,,,,,,,,
37222,40:29.355,2,343,798,517,1016,1342.0,813.0,1435.0,943.0,,,,,,,,
37223,40:29.388,2,1341,813,1433,943,347.0,796.0,520.0,1014.0,,,,,,,,
37224,40:29.422,2,1339,810,1431,941,353.0,794.0,525.0,1009.0,,,,,,,,
37225,40:29.455,2,1336,809,1427,939,355.0,789.0,526.0,1007.0,,,,,,,,
37226,40:29.488,2,1337,812,1428,944,358.0,793.0,529.0,1010.0,,,,,,,,
37227,40:29.522,2,381,801,554,1016,1348.0,816.0,1440.0,948.0,,,,,,,,
37228,40:29.555,2,1370,822,1462,955,416.0,802.0,583.0,1019.0,,,,,,,,
37229,40:29.588,2,1400,820,1493,955,463.0,802.0,629.0,1017.0,,,,,,,,
37230,40:29.622,2,1426,820,1519,954,504.0,805.0,667.0,1015.0,,,,,,,,
37231,40:29.655,2,536,802,695,1014,1443.0,820.0,1538.0,953.0,,,,,,,,
37232,40:29.688,2,1452,818,1543,951,552.0,800.0,712.0,1012.0,,,,,,,,
37233,40:29.722,2,1446,814,1540,946,559.0,798.0,717.0,1006.0,,,,,,,,
37234,40:29.755,2,550,798,710,1009,1431.0,813.0,1526.0,945.0,,,,,,,,
37235,40:29.788,2,1410,810,1502,941,534.0,795.0,695.0,1009.0,,,,,,,,
37236,40:29.822,2,1381,801,1473,934,507.0,797.0,674.0,1008.0,,,,,,,,
37237,40:29.855,2,1353,793,1446,925,483.0,789.0,650.0,1003.0,,,,,,,,
37238,40:29.888,2,1331,785,1422,917,467.0,784.0,636.0,1001.0,,,,,,,,
37239,40:29.922,2,1312,776,1405,909,452.0,783.0,623.0,1001.0,,,,,,,,
37240,40:29.955,2,444,784,617,1001,1298.0,769.0,1390.0,903.0,,,,,,,,
37241,40:29.988,2,441,786,614,1002,1288.0,764.0,1380.0,898.0,,,,,,,,
37242,40:30.022,2,445,787,618,1003,1284.0,761.0,1376.0,896.0,,,,,,,,
37243,40:30.055,2,454,786,625,1005,1284.0,758.0,1375.0,891.0,,,,,,,,
37244,40:30.088,2,465,786,634,1005,1284.0,756.0,1377.0,888.0,,,,,,,,
37245,40:30.122,2,476,791,643,1007,1286.0,755.0,1377.0,887.0,,,,,,,,
37246,40:30.155,2,481,791,650,1008,1286.0,754.0,1378.0,888.0,,,,,,,,
37247,40:30.188,2,488,788,656,1005,1285.0,750.0,1378.0,884.0,,,,,,,,
37248,40:30.238,2,1284,746,1375,878,491.0,785.0,659.0,1002.0,,,,,,,,
37249,40:30.255,2,1281,743,1371,876,493.0,787.0,661.0,1002.0,,,,,,,,
37250,40:30.288,2,494,786,663,1002,1278.0,740.0,1368.0,874.0,,,,,,,,
37251,40:30.322,2,494,783,663,1000,1275.0,736.0,1366.0,874.0,,,,,,,,
37252,40:30.355,2,494,782,663,998,1272.0,732.0,1362.0,871.0,,,,,,,,
37253,40:30.388,2,1269,732,1360,872,493.0,782.0,662.0,999.0,,,,,,,,
37254,40:30.422,2,1268,729,1360,868,493.0,781.0,662.0,998.0,,,,,,,,
37255,40:30.455,2,1268,727,1360,866,495.0,782.0,663.0,997.0,,,,,,,,
37256,40:30.488,2,1268,729,1360,867,494.0,783.0,662.0,999.0,,,,,,,,
37257,40:30.522,2,1266,743,1356,877,492.0,798.0,658.0,1013.0,,,,,,,,
37258,40:30.555,2,486,827,655,1041,1265.0,770.0,1355.0,906.0,,,,,,,,
37259,40:30.588,2,486,851,653,1071,1267.0,797.0,1358.0,933.0,,,,,,,,
37260,40:30.622,2,1268,819,1359,953,484.0,872.0,651.0,1090.0,,,,,,,,
37261,40:30.655,2,472,896,642,1115,1264.0,845.0,1355.0,977.0,,,,,,,,
