frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
25478,13:39.000,27:23.582,3,1205.0,710.0,1366.0,942.0,641.0,628.0,811.0,860.0,1661.0,676.0,1829.0,887.0
25479,13:39.500,27:23.615,3,1206.0,731.0,1367.0,962.0,641.0,647.0,812.0,884.0,1660.0,696.0,1830.0,905.0
25480,13:40.000,27:23.648,3,642.0,659.0,813.0,897.0,1662.0,710.0,1832.0,919.0,1206.0,745.0,1368.0,975.0
25481,13:40.500,27:23.682,3,1207.0,753.0,1368.0,984.0,643.0,669.0,814.0,904.0,1663.0,717.0,1833.0,928.0
25482,13:41.000,27:23.715,3,1207.0,756.0,1369.0,988.0,644.0,671.0,815.0,906.0,1664.0,722.0,1833.0,933.0
25483,13:41.500,27:23.748,3,645.0,670.0,816.0,904.0,1207.0,756.0,1370.0,988.0,1665.0,724.0,1834.0,934.0
25484,13:42.000,27:23.782,3,643.0,663.0,815.0,900.0,1208.0,753.0,1369.0,984.0,1665.0,721.0,1833.0,931.0
25485,13:42.500,27:23.815,3,1206.0,749.0,1367.0,980.0,642.0,660.0,813.0,897.0,1663.0,717.0,1833.0,928.0
25486,13:43.000,27:23.848,3,639.0,655.0,810.0,893.0,1205.0,747.0,1365.0,975.0,1661.0,715.0,1830.0,923.0
25487,13:43.500,27:23.882,3,1203.0,731.0,1363.0,962.0,1659.0,701.0,1828.0,909.0,637.0,639.0,808.0,879.0
25488,13:44.000,27:23.915,3,1204.0,705.0,1364.0,935.0,1662.0,671.0,1830.0,885.0,638.0,616.0,809.0,850.0
25489,13:44.500,27:23.948,3,1207.0,668.0,1367.0,897.0,640.0,575.0,811.0,811.0,1663.0,634.0,1834.0,847.0
25490,13:45.000,27:23.982,3,1208.0,658.0,1369.0,892.0,642.0,571.0,813.0,805.0,1666.0,630.0,1834.0,841.0
25491,13:45.500,27:24.015,3,1202.0,704.0,1361.0,933.0,635.0,615.0,807.0,849.0,1659.0,669.0,1826.0,884.0
25492,13:46.000,27:24.048,3,1194.0,763.0,1355.0,990.0,627.0,667.0,799.0,904.0,1648.0,730.0,1815.0,937.0
25493,13:46.500,27:24.082,3,624.0,708.0,797.0,946.0,1645.0,772.0,1812.0,981.0,1192.0,804.0,1351.0,1032.0
25494,13:47.000,27:24.115,3,626.0,732.0,797.0,964.0,1192.0,832.0,1351.0,1054.0,1645.0,799.0,1811.0,1005.0
25495,13:47.500,27:24.148,3,630.0,731.0,802.0,964.0,1195.0,834.0,1354.0,1057.0,1647.0,803.0,1814.0,1010.0
25496,13:48.000,27:24.182,3,1200.0,811.0,1360.0,1038.0,1652.0,780.0,1820.0,992.0,639.0,708.0,809.0,944.0
25497,13:48.500,27:24.215,3,1203.0,756.0,1362.0,985.0,645.0,655.0,814.0,891.0,1657.0,733.0,1823.0,943.0
25498,13:49.000,27:24.248,3,647.0,582.0,819.0,817.0,1207.0,686.0,1367.0,910.0,1661.0,658.0,1829.0,868.0
25499,13:49.500,27:24.282,3,1210.0,627.0,1371.0,856.0,649.0,526.0,819.0,766.0,1665.0,602.0,1833.0,811.0
25500,13:50.000,27:24.315,3,1208.0,583.0,1370.0,816.0,645.0,489.0,817.0,726.0,1665.0,557.0,1834.0,769.0
25501,13:50.500,27:24.348,3,1204.0,567.0,1364.0,795.0,637.0,467.0,808.0,707.0,1661.0,536.0,1830.0,749.0
25502,13:51.000,27:24.382,3,627.0,475.0,799.0,714.0,1198.0,574.0,1358.0,803.0,1651.0,538.0,1820.0,754.0
25503,13:51.500,27:24.415,3,1191.0,599.0,1349.0,827.0,1643.0,570.0,1810.0,777.0,618.0,502.0,792.0,742.0
25504,13:52.000,27:24.448,3,613.0,539.0,786.0,780.0,1184.0,637.0,1343.0,866.0,1635.0,610.0,1802.0,817.0
25505,13:52.500,27:24.482,3,609.0,581.0,782.0,818.0,1630.0,648.0,1796.0,855.0,1180.0,681.0,1339.0,903.0
25506,13:53.000,27:24.515,3,607.0,617.0,782.0,856.0,1179.0,718.0,1337.0,943.0,1628.0,688.0,1794.0,891.0
25507,13:53.500,27:24.548,3,609.0,645.0,781.0,883.0,1628.0,715.0,1793.0,920.0,1178.0,747.0,1338.0,972.0
25508,13:54.000,27:24.582,3,611.0,664.0,783.0,901.0,1179.0,765.0,1339.0,990.0,1630.0,734.0,1795.0,942.0
25509,13:54.500,27:24.615,3,615.0,665.0,788.0,902.0,1184.0,768.0,1343.0,994.0,1634.0,736.0,1802.0,946.0
25510,13:55.000,27:24.648,3,624.0,646.0,796.0,883.0,1191.0,751.0,1349.0,979.0,1643.0,725.0,1809.0,932.0
25511,13:55.500,27:24.682,3,634.0,610.0,804.0,843.0,1198.0,717.0,1357.0,946.0,1650.0,697.0,1819.0,903.0
25512,13:56.000,27:24.715,3,640.0,570.0,809.0,801.0,1656.0,662.0,1823.0,872.0,1201.0,683.0,1361.0,908.0
25513,13:56.500,27:24.748,3,639.0,529.0,808.0,765.0,1201.0,647.0,1359.0,876.0,1656.0,634.0,1822.0,843.0
25514,13:57.000,27:24.782,3,1199.0,620.0,1358.0,850.0,1654.0,611.0,1820.0,821.0,633.0,499.0,805.0,738.0
25515,13:57.500,27:24.815,3,629.0,470.0,800.0,710.0,1197.0,593.0,1356.0,824.0,1652.0,583.0,1819.0,793.0
25516,13:58.000,27:24.848,3,1651.0,549.0,1820.0,764.0,624.0,437.0,797.0,679.0,1197.0,566.0,1356.0,794.0
25517,13:58.500,27:24.882,3,624.0,424.0,797.0,665.0,1652.0,540.0,1821.0,751.0,1196.0,550.0,1354.0,780.0
25518,13:59.000,27:24.915,3,1199.0,567.0,1358.0,797.0,1653.0,551.0,1821.0,765.0,624.0,440.0,798.0,682.0
25519,13:59.500,27:24.948,3,627.0,477.0,800.0,718.0,1197.0,600.0,1357.0,831.0,1654.0,587.0,1820.0,797.0
25520,14:00.000,27:24.982,3,629.0,526.0,800.0,765.0,1196.0,647.0,1357.0,874.0,1650.0,635.0,1818.0,841.0
25521,14:00.500,27:25.015,3,630.0,577.0,802.0,813.0,1195.0,696.0,1355.0,924.0,1649.0,675.0,1817.0,887.0
25522,14:01.000,27:25.048,3,1648.0,723.0,1817.0,929.0,1196.0,734.0,1355.0,963.0,631.0,621.0,802.0,858.0
25523,14:01.500,27:25.083,3,636.0,652.0,806.0,887.0,1198.0,767.0,1359.0,995.0,1651.0,750.0,1818.0,958.0
25524,14:02.000,27:25.117,3,641.0,671.0,810.0,903.0,1201.0,782.0,1362.0,1013.0,1656.0,767.0,1823.0,974.0
25525,14:02.500,27:25.150,3,645.0,672.0,815.0,904.0,1205.0,781.0,1364.0,1012.0,1660.0,767.0,1827.0,975.0
25526,14:03.000,27:25.183,3,1206.0,766.0,1369.0,999.0,650.0,656.0,818.0,891.0,1662.0,750.0,1831.0,962.0
25527,14:03.500,27:25.217,3,1666.0,727.0,1834.0,936.0,1209.0,740.0,1372.0,970.0,654.0,628.0,823.0,863.0
25528,14:04.000,27:25.250,3,1212.0,698.0,1373.0,926.0,656.0,580.0,826.0,814.0,1671.0,687.0,1837.0,892.0
25529,14:04.500,27:25.283,3,657.0,532.0,825.0,770.0,1215.0,651.0,1378.0,881.0,1673.0,637.0,1841.0,849.0
