frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
24470,26:24.125,2,317.0,777.0,520.0,1028.0,1522.0,767.0,1673.0,985.0,,,,,,,,
24471,26:24.158,2,379.0,773.0,581.0,1022.0,1569.0,771.0,1723.0,985.0,,,,,,,,
24472,26:24.192,2,425.0,765.0,626.0,1014.0,1612.0,765.0,1770.0,980.0,,,,,,,,
24473,26:24.225,2,1645.0,760.0,1802.0,979.0,464.0,758.0,656.0,1003.0,,,,,,,,
24474,26:24.258,2,490.0,751.0,682.0,1000.0,1669.0,754.0,1831.0,974.0,,,,,,,,
24475,26:24.292,2,510.0,752.0,696.0,995.0,1683.0,755.0,1847.0,972.0,,,,,,,,
24476,26:24.325,2,519.0,749.0,705.0,992.0,1692.0,750.0,1858.0,971.0,,,,,,,,
24477,26:24.358,2,522.0,750.0,709.0,991.0,1697.0,746.0,1862.0,968.0,,,,,,,,
24478,26:24.392,2,522.0,749.0,709.0,990.0,1696.0,743.0,1862.0,965.0,,,,,,,,
24479,26:24.425,2,522.0,748.0,708.0,990.0,1697.0,742.0,1862.0,964.0,,,,,,,,
24480,26:24.458,2,521.0,749.0,707.0,990.0,1696.0,743.0,1862.0,965.0,,,,,,,,
24481,26:24.492,2,520.0,748.0,707.0,992.0,1695.0,745.0,1861.0,966.0,,,,,,,,
24482,26:24.525,2,518.0,750.0,703.0,993.0,1693.0,745.0,1861.0,967.0,,,,,,,,
24483,26:24.558,2,512.0,748.0,699.0,992.0,1688.0,742.0,1857.0,967.0,,,,,,,,
24484,26:24.592,2,501.0,744.0,688.0,989.0,1680.0,741.0,1845.0,964.0,,,,,,,,
24485,26:24.625,2,483.0,744.0,671.0,983.0,1664.0,737.0,1828.0,959.0,,,,,,,,
24486,26:24.658,2,466.0,739.0,656.0,978.0,1648.0,738.0,1808.0,957.0,,,,,,,,
24487,26:24.692,2,442.0,731.0,635.0,974.0,1631.0,734.0,1790.0,953.0,,,,,,,,
24488,26:24.725,2,421.0,723.0,616.0,966.0,1613.0,732.0,1769.0,951.0,,,,,,,,
24489,26:24.758,2,403.0,721.0,600.0,963.0,1598.0,738.0,1753.0,953.0,,,,,,,,
24490,26:24.792,2,382.0,721.0,582.0,965.0,1579.0,745.0,1736.0,959.0,,,,,,,,
24491,26:24.825,2,358.0,721.0,558.0,967.0,1557.0,754.0,1711.0,969.0,,,,,,,,
24492,26:24.858,2,321.0,727.0,524.0,974.0,1532.0,760.0,1683.0,977.0,,,,,,,,
24493,26:24.892,2,284.0,727.0,493.0,977.0,1504.0,776.0,1653.0,982.0,,,,,,,,
24494,26:24.925,2,253.0,730.0,468.0,984.0,1482.0,775.0,1631.0,987.0,,,,,,,,
24495,26:24.958,2,232.0,731.0,449.0,985.0,1463.0,780.0,1609.0,992.0,,,,,,,,
24496,26:24.992,2,207.0,728.0,424.0,983.0,1444.0,776.0,1592.0,990.0,,,,,,,,
24497,26:25.025,2,184.0,723.0,406.0,981.0,1429.0,774.0,1575.0,986.0,,,,,,,,
24498,26:25.058,2,164.0,725.0,390.0,984.0,1416.0,771.0,1561.0,987.0,,,,,,,,
24499,26:25.092,2,141.0,729.0,368.0,989.0,1399.0,779.0,1544.0,990.0,,,,,,,,
24500,26:25.125,2,112.0,735.0,347.0,998.0,1383.0,785.0,1528.0,999.0,,,,,,,,
24501,26:25.158,2,88.0,738.0,326.0,1003.0,1367.0,787.0,1509.0,999.0,,,,,,,,
24502,26:25.192,2,69.0,741.0,302.0,1008.0,1352.0,791.0,1494.0,1005.0,,,,,,,,
24503,26:25.225,2,55.0,748.0,294.0,1014.0,1341.0,798.0,1487.0,1011.0,,,,,,,,
24504,26:25.258,2,39.0,753.0,282.0,1019.0,1335.0,799.0,1480.0,1013.0,,,,,,,,
24505,26:25.292,2,32.0,752.0,273.0,1020.0,1328.0,803.0,1472.0,1015.0,,,,,,,,
24506,26:25.325,2,25.0,751.0,269.0,1019.0,1324.0,801.0,1469.0,1016.0,,,,,,,,
24507,26:25.358,2,25.0,751.0,267.0,1017.0,1323.0,800.0,1467.0,1015.0,,,,,,,,
24508,26:25.392,2,26.0,750.0,268.0,1016.0,1323.0,798.0,1468.0,1015.0,,,,,,,,
24509,26:25.425,2,27.0,748.0,268.0,1015.0,1324.0,795.0,1468.0,1012.0,,,,,,,,
24510,26:25.458,2,29.0,744.0,270.0,1013.0,1325.0,792.0,1470.0,1011.0,,,,,,,,
24511,26:25.492,2,30.0,742.0,271.0,1011.0,1326.0,793.0,1471.0,1011.0,,,,,,,,
24512,26:25.525,2,31.0,741.0,272.0,1011.0,1327.0,793.0,1471.0,1011.0,,,,,,,,
24513,26:25.558,2,35.0,739.0,274.0,1008.0,1329.0,795.0,1473.0,1011.0,,,,,,,,
24514,26:25.592,2,36.0,738.0,276.0,1007.0,1331.0,793.0,1475.0,1012.0,,,,,,,,
24515,26:25.625,2,37.0,738.0,277.0,1007.0,1332.0,793.0,1478.0,1012.0,,,,,,,,
24516,26:25.658,2,38.0,736.0,277.0,1003.0,1332.0,791.0,1477.0,1011.0,,,,,,,,
24517,26:25.692,2,36.0,731.0,275.0,994.0,1330.0,789.0,1475.0,1009.0,,,,,,,,
24518,26:25.725,2,33.0,727.0,275.0,991.0,1329.0,790.0,1474.0,1006.0,,,,,,,,
24519,26:25.758,2,30.0,724.0,273.0,988.0,1327.0,788.0,1473.0,1004.0,,,,,,,,
24520,26:25.792,2,29.0,721.0,272.0,987.0,1327.0,787.0,1472.0,1002.0,,,,,,,,
24521,26:25.825,2,28.0,719.0,271.0,985.0,1326.0,786.0,1472.0,1002.0,,,,,,,,
24522,26:25.858,2,27.0,719.0,270.0,985.0,1326.0,787.0,1471.0,1003.0,,,,,,,,
24523,26:25.892,2,27.0,719.0,269.0,985.0,1326.0,788.0,1471.0,1003.0,,,,,,,,
24524,26:25.925,2,27.0,719.0,269.0,985.0,1325.0,788.0,1471.0,1003.0,,,,,,,,
24525,26:25.958,2,27.0,719.0,269.0,985.0,1325.0,787.0,1471.0,1003.0,,,,,,,,
24526,26:25.992,2,27.0,719.0,269.0,984.0,1325.0,787.0,1470.0,1003.0,,,,,,,,
