frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y,face_4_tl_x,face_4_tl_y,face_4_br_x,face_4_br_y
5652,06:09.953,3,1436.0,625.0,1610.0,866.0,2026.0,393.0,2296.0,699.0,971.0,633.0,1105.0,831.0,,,,,,,,
5653,06:09.987,3,1435.0,625.0,1610.0,866.0,2023.0,393.0,2294.0,699.0,970.0,633.0,1104.0,832.0,,,,,,,,
5654,06:10.020,3,1436.0,626.0,1610.0,866.0,2021.0,391.0,2291.0,698.0,970.0,633.0,1104.0,831.0,,,,,,,,
5655,06:10.053,3,1435.0,624.0,1609.0,865.0,2020.0,388.0,2289.0,697.0,968.0,632.0,1103.0,831.0,,,,,,,,
5656,06:10.087,3,1435.0,623.0,1608.0,864.0,2020.0,386.0,2287.0,695.0,967.0,631.0,1103.0,831.0,,,,,,,,
5657,06:10.120,3,1435.0,623.0,1608.0,865.0,2018.0,385.0,2287.0,695.0,967.0,631.0,1102.0,830.0,,,,,,,,
5658,06:10.153,3,1434.0,623.0,1608.0,865.0,2018.0,385.0,2286.0,695.0,966.0,632.0,1102.0,830.0,,,,,,,,
5659,06:10.187,3,1435.0,623.0,1608.0,865.0,2018.0,385.0,2286.0,695.0,966.0,631.0,1102.0,830.0,,,,,,,,
5660,06:10.220,3,1436.0,624.0,1610.0,865.0,2018.0,386.0,2287.0,695.0,967.0,632.0,1102.0,830.0,,,,,,,,
5661,06:10.253,3,1436.0,624.0,1611.0,864.0,2019.0,385.0,2288.0,696.0,968.0,632.0,1103.0,831.0,,,,,,,,
5662,06:10.287,3,1437.0,625.0,1612.0,865.0,2020.0,387.0,2290.0,697.0,969.0,636.0,1103.0,831.0,,,,,,,,
5663,06:10.320,3,1438.0,625.0,1612.0,865.0,2020.0,387.0,2291.0,699.0,970.0,635.0,1104.0,831.0,,,,,,,,
5664,06:10.353,3,1438.0,625.0,1613.0,865.0,2020.0,387.0,2292.0,699.0,972.0,637.0,1104.0,832.0,,,,,,,,
5665,06:10.387,3,1438.0,625.0,1613.0,865.0,2020.0,390.0,2291.0,700.0,972.0,642.0,1103.0,832.0,,,,,,,,
5666,06:10.420,3,1438.0,625.0,1613.0,865.0,2019.0,389.0,2290.0,701.0,972.0,642.0,1102.0,833.0,,,,,,,,
5667,06:10.453,3,1438.0,625.0,1613.0,864.0,2019.0,390.0,2290.0,702.0,973.0,641.0,1104.0,833.0,,,,,,,,
5668,06:10.487,3,1439.0,625.0,1613.0,863.0,2020.0,390.0,2291.0,701.0,973.0,640.0,1105.0,834.0,,,,,,,,
5669,06:10.520,3,1439.0,624.0,1613.0,863.0,2021.0,390.0,2293.0,701.0,974.0,641.0,1106.0,833.0,,,,,,,,
5670,06:10.553,3,1441.0,624.0,1615.0,863.0,2022.0,389.0,2295.0,701.0,975.0,640.0,1107.0,833.0,,,,,,,,
5671,06:10.587,3,1442.0,624.0,1616.0,862.0,2025.0,391.0,2297.0,701.0,977.0,639.0,1108.0,832.0,,,,,,,,
5672,06:10.620,3,1442.0,623.0,1616.0,863.0,2025.0,391.0,2297.0,701.0,977.0,642.0,1108.0,833.0,,,,,,,,
5673,06:10.653,3,1442.0,624.0,1616.0,863.0,2025.0,391.0,2297.0,702.0,977.0,642.0,1107.0,833.0,,,,,,,,
5674,06:10.687,3,1442.0,625.0,1616.0,863.0,2025.0,392.0,2297.0,702.0,976.0,640.0,1108.0,834.0,,,,,,,,
5675,06:10.720,3,1442.0,624.0,1616.0,862.0,2025.0,392.0,2297.0,701.0,974.0,639.0,1107.0,834.0,,,,,,,,
5676,06:10.753,3,1442.0,623.0,1616.0,861.0,2024.0,390.0,2297.0,700.0,973.0,638.0,1107.0,834.0,,,,,,,,
5677,06:10.787,3,1443.0,622.0,1616.0,861.0,2024.0,388.0,2298.0,698.0,973.0,638.0,1106.0,833.0,,,,,,,,
5678,06:10.820,3,1443.0,620.0,1616.0,860.0,2025.0,386.0,2298.0,697.0,973.0,638.0,1106.0,832.0,,,,,,,,
5679,06:10.853,3,1442.0,620.0,1615.0,860.0,2025.0,385.0,2298.0,696.0,971.0,636.0,1106.0,832.0,,,,,,,,
5680,06:10.887,3,1442.0,619.0,1615.0,859.0,2024.0,385.0,2298.0,695.0,970.0,636.0,1105.0,832.0,,,,,,,,
5681,06:10.920,3,1442.0,619.0,1615.0,859.0,2024.0,384.0,2298.0,695.0,970.0,636.0,1105.0,832.0,,,,,,,,
5682,06:10.953,3,1442.0,619.0,1615.0,859.0,2025.0,384.0,2299.0,696.0,970.0,636.0,1105.0,832.0,,,,,,,,
5683,06:10.987,3,1443.0,620.0,1615.0,860.0,2026.0,384.0,2300.0,696.0,971.0,637.0,1105.0,833.0,,,,,,,,
5684,06:11.020,3,1444.0,619.0,1616.0,859.0,2028.0,386.0,2300.0,696.0,972.0,637.0,1105.0,833.0,,,,,,,,
5685,06:11.053,3,1444.0,618.0,1616.0,858.0,2028.0,384.0,2301.0,693.0,972.0,637.0,1105.0,832.0,,,,,,,,
