frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
4625,04:43.127,1,1393.0,828.0,1533.0,1006.0
4626,04:43.160,1,1393.0,826.0,1533.0,1004.0
4627,04:43.193,1,1393.0,824.0,1534.0,1003.0
4628,04:43.227,1,1393.0,824.0,1534.0,1003.0
4629,04:43.260,1,1392.0,825.0,1533.0,1004.0
4630,04:43.293,1,1391.0,830.0,1531.0,1006.0
4631,04:43.327,1,1391.0,830.0,1531.0,1008.0
4632,04:43.360,1,1393.0,829.0,1531.0,1010.0
4633,04:43.393,1,1394.0,828.0,1532.0,1010.0
4634,04:43.427,1,1394.0,831.0,1534.0,1013.0
4635,04:43.460,1,1394.0,833.0,1534.0,1014.0
4636,04:43.493,1,1393.0,833.0,1532.0,1013.0
4637,04:43.527,1,1390.0,836.0,1529.0,1013.0
4638,04:43.560,1,1388.0,835.0,1528.0,1013.0
4639,04:43.593,1,1387.0,837.0,1527.0,1014.0
4640,04:43.627,1,1385.0,838.0,1525.0,1016.0
4641,04:43.660,1,1385.0,837.0,1525.0,1014.0
4642,04:43.693,1,1386.0,834.0,1526.0,1011.0
4643,04:43.727,1,1388.0,833.0,1528.0,1009.0
4644,04:43.760,1,1394.0,832.0,1532.0,1009.0
4645,04:43.793,1,1395.0,831.0,1535.0,1009.0
4646,04:43.827,1,1397.0,833.0,1536.0,1010.0
4647,04:43.860,1,1399.0,831.0,1539.0,1009.0
4648,04:43.893,1,1403.0,831.0,1543.0,1008.0
4649,04:43.927,1,1405.0,833.0,1545.0,1007.0
4650,04:43.960,1,1408.0,831.0,1548.0,1006.0
4651,04:43.993,1,1412.0,826.0,1552.0,1004.0
4652,04:44.027,1,1420.0,818.0,1560.0,995.0
4653,04:44.060,1,1431.0,803.0,1571.0,984.0
4654,04:44.093,1,1444.0,798.0,1584.0,976.0
4655,04:44.127,1,1458.0,791.0,1597.0,967.0
4656,04:44.160,1,1469.0,789.0,1610.0,963.0
4657,04:44.193,1,1477.0,784.0,1620.0,959.0
4658,04:44.227,1,1487.0,783.0,1629.0,959.0
4659,04:44.260,1,1494.0,780.0,1637.0,958.0
4660,04:44.293,1,1500.0,775.0,1644.0,953.0
4661,04:44.327,1,1508.0,772.0,1651.0,950.0
4662,04:44.360,1,1515.0,769.0,1657.0,948.0
4663,04:44.393,1,1519.0,766.0,1661.0,946.0
4664,04:44.427,1,1523.0,763.0,1666.0,943.0
4665,04:44.460,1,1524.0,758.0,1667.0,938.0
4666,04:44.495,1,1524.0,753.0,1666.0,931.0
4667,04:44.528,1,1525.0,748.0,1667.0,929.0
4668,04:44.562,1,1528.0,745.0,1674.0,926.0
4669,04:44.595,1,1532.0,745.0,1678.0,927.0
4670,04:44.628,1,1537.0,751.0,1682.0,931.0
4671,04:44.662,1,1539.0,757.0,1683.0,934.0
4672,04:44.695,1,1536.0,760.0,1682.0,941.0
4673,04:44.728,1,1535.0,761.0,1681.0,944.0
4674,04:44.762,1,1533.0,761.0,1680.0,942.0
4675,04:44.795,1,1534.0,761.0,1679.0,940.0
4676,04:44.828,1,1535.0,761.0,1680.0,940.0
4677,04:44.862,1,1535.0,761.0,1681.0,942.0
4678,04:44.895,1,1534.0,762.0,1680.0,943.0
4679,04:44.928,1,1532.0,762.0,1678.0,944.0
4680,04:44.962,1,1530.0,764.0,1677.0,944.0
4681,04:44.995,1,1529.0,764.0,1675.0,945.0
4682,04:45.028,1,1528.0,766.0,1673.0,945.0
4683,04:45.062,1,1525.0,767.0,1671.0,946.0
4684,04:45.095,1,1524.0,767.0,1669.0,946.0
4685,04:45.128,1,1523.0,766.0,1667.0,946.0
4686,04:45.162,1,1522.0,766.0,1667.0,947.0
4687,04:45.195,1,1521.0,766.0,1666.0,946.0
4688,04:45.228,1,1521.0,767.0,1664.0,946.0
4689,04:45.262,1,1520.0,769.0,1662.0,946.0
4690,04:45.295,1,1517.0,769.0,1661.0,946.0
4691,04:45.328,1,1516.0,768.0,1660.0,945.0
4692,04:45.362,1,1516.0,772.0,1659.0,948.0
4693,04:45.395,1,1516.0,773.0,1659.0,949.0
4694,04:45.428,1,1517.0,771.0,1660.0,947.0
4695,04:45.462,1,1518.0,768.0,1661.0,945.0
4696,04:45.495,1,1521.0,764.0,1663.0,944.0
4697,04:45.528,1,1522.0,759.0,1665.0,941.0
4698,04:45.562,1,1523.0,758.0,1667.0,943.0
4699,04:45.595,1,1526.0,766.0,1671.0,952.0
4700,04:45.628,1,1530.0,788.0,1673.0,972.0
4701,04:45.662,1,1531.0,817.0,1677.0,1007.0
4702,04:45.695,1,1533.0,855.0,1678.0,1045.0
4703,04:45.728,1,1533.0,878.0,1678.0,1066.0
4704,04:45.762,1,1530.0,883.0,1675.0,1068.0
4705,04:45.795,1,1526.0,859.0,1669.0,1050.0
4706,04:45.828,1,1517.0,835.0,1661.0,1021.0
4707,04:45.862,1,1510.0,799.0,1651.0,985.0
4708,04:45.895,1,1500.0,763.0,1641.0,946.0
4709,04:45.928,1,1484.0,714.0,1625.0,900.0
4710,04:45.962,1,1464.0,709.0,1603.0,893.0
4711,04:45.995,1,1443.0,758.0,1581.0,936.0
4712,04:46.028,1,1423.0,820.0,1563.0,1002.0
4713,04:46.062,1,1406.0,872.0,1545.0,1051.0
4714,04:46.095,1,1389.0,881.0,1528.0,1059.0
4715,04:46.128,1,1375.0,842.0,1512.0,1020.0
4716,04:46.162,1,1362.0,787.0,1497.0,960.0
4717,04:46.195,1,1351.0,743.0,1485.0,923.0
4718,04:46.228,1,1341.0,757.0,1474.0,933.0
4719,04:46.262,1,1332.0,791.0,1467.0,963.0
4720,04:46.295,1,1327.0,809.0,1461.0,989.0
4721,04:46.328,1,1322.0,808.0,1457.0,988.0
4722,04:46.362,1,1321.0,794.0,1457.0,967.0
4723,04:46.395,1,1320.0,771.0,1453.0,944.0
4724,04:46.428,1,1318.0,774.0,1452.0,948.0
4725,04:46.462,1,1317.0,802.0,1451.0,977.0
4726,04:46.495,1,1316.0,844.0,1453.0,1021.0
4727,04:46.528,1,1316.0,882.0,1449.0,1056.0
4728,04:46.562,1,1310.0,896.0,1446.0,1073.0
4729,04:46.595,1,1306.0,901.0,1442.0,1077.0
4730,04:46.628,1,1298.0,893.0,1434.0,1071.0
4731,04:46.662,1,1290.0,885.0,1427.0,1065.0
4732,04:46.695,1,1285.0,880.0,1420.0,1062.0
4733,04:46.728,1,1278.0,879.0,1413.0,1057.0
4734,04:46.762,1,1272.0,872.0,1408.0,1048.0
4735,04:46.795,1,1267.0,854.0,1401.0,1028.0
4736,04:46.828,1,1260.0,825.0,1395.0,1000.0
4737,04:46.862,1,1255.0,793.0,1388.0,969.0
4738,04:46.895,1,1245.0,757.0,1380.0,929.0
4739,04:46.928,1,1237.0,735.0,1372.0,912.0
4740,04:46.962,1,1232.0,758.0,1366.0,933.0
4741,04:46.995,1,1230.0,807.0,1364.0,984.0
4742,04:47.028,1,1230.0,859.0,1365.0,1039.0
4743,04:47.062,1,1233.0,888.0,1367.0,1069.0
4744,04:47.095,1,1236.0,866.0,1372.0,1045.0
4745,04:47.128,1,1240.0,801.0,1375.0,980.0
4746,04:47.162,1,1245.0,744.0,1379.0,922.0
4747,04:47.195,1,1245.0,762.0,1380.0,939.0
4748,04:47.228,1,1247.0,802.0,1383.0,983.0
