frame,time,faces_detected_count,061_detected,061_tl_x,061_tl_y,061_br_x,061_br_y,062_detected,062_tl_x,062_tl_y,062_br_x,062_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
34955,19:03.007,1,True,1176,690,1302,857,False,,,,,False,,,,
34970,19:03.497,1,True,1152,721,1278,886,False,,,,,False,,,,
34985,19:03.988,1,True,1131,741,1259,914,False,,,,,False,,,,
35000,19:04.478,1,True,1062,890,1193,1068,False,,,,,False,,,,
35015,19:04.969,1,True,1099,669,1232,849,False,,,,,False,,,,
35030,19:05.459,1,True,1086,840,1215,1014,False,,,,,False,,,,
35045,19:05.950,1,True,1021,662,1149,837,False,,,,,False,,,,
35060,19:06.440,1,True,1178,671,1308,843,False,,,,,False,,,,
35075,19:06.931,1,True,1213,733,1343,908,False,,,,,False,,,,
35090,19:07.421,1,True,1194,686,1325,863,False,,,,,False,,,,
35105,19:07.912,1,True,1229,685,1359,858,False,,,,,False,,,,
35120,19:08.402,1,True,1216,693,1345,870,False,,,,,False,,,,
35135,19:08.893,1,True,1228,717,1359,889,False,,,,,False,,,,
35150,19:09.383,1,True,1220,707,1352,883,False,,,,,False,,,,
35165,19:09.874,1,True,1160,941,1290,1113,False,,,,,False,,,,
35180,19:10.364,1,True,1212,967,1344,1137,False,,,,,False,,,,
35195,19:10.855,1,True,1104,954,1253,1119,False,,,,,False,,,,
35210,19:11.345,1,True,1068,922,1227,1075,False,,,,,False,,,,
35225,19:11.836,1,True,1168,854,1297,1020,False,,,,,False,,,,
35240,19:12.326,1,True,1136,854,1266,1028,False,,,,,False,,,,
35255,19:12.817,1,True,1339,920,1471,1086,False,,,,,False,,,,
35270,19:13.307,1,True,1215,936,1352,1095,False,,,,,False,,,,
35285,19:13.798,1,True,1137,801,1268,967,False,,,,,False,,,,
35300,19:14.288,1,True,1049,735,1189,895,False,,,,,False,,,,
