frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
12933,14:14.683,1,1380.0,622.0,1532.0,851.0
12934,14:14.717,1,1376.0,626.0,1526.0,853.0
12935,14:14.750,1,1373.0,623.0,1524.0,851.0
12936,14:14.783,1,1375.0,619.0,1524.0,843.0
12937,14:14.817,1,1379.0,609.0,1527.0,837.0
12938,14:14.850,1,1381.0,607.0,1530.0,836.0
12939,14:14.883,1,1377.0,613.0,1527.0,840.0
12940,14:14.917,1,1374.0,623.0,1523.0,847.0
12941,14:14.950,1,1367.0,623.0,1519.0,848.0
12942,14:14.983,1,1365.0,620.0,1514.0,845.0
12943,14:15.017,1,1365.0,610.0,1514.0,838.0
12944,14:15.050,1,1367.0,603.0,1515.0,834.0
12945,14:15.083,1,1367.0,603.0,1517.0,836.0
12946,14:15.117,1,1365.0,606.0,1514.0,837.0
12947,14:15.150,1,1355.0,602.0,1508.0,836.0
12948,14:15.183,1,1348.0,596.0,1500.0,832.0
12949,14:15.217,1,1344.0,601.0,1495.0,830.0
12950,14:15.250,1,1341.0,600.0,1492.0,831.0
12951,14:15.283,1,1337.0,598.0,1488.0,832.0
12952,14:15.317,1,1335.0,594.0,1487.0,830.0
12953,14:15.350,1,1338.0,591.0,1490.0,820.0
12954,14:15.383,1,1349.0,579.0,1501.0,809.0
12955,14:15.417,1,1369.0,566.0,1521.0,798.0
12956,14:15.450,1,1387.0,567.0,1540.0,799.0
12957,14:15.483,1,1403.0,580.0,1557.0,807.0
12958,14:15.517,1,1410.0,586.0,1564.0,819.0
12959,14:15.550,1,1407.0,594.0,1562.0,824.0
12960,14:15.583,1,1403.0,602.0,1555.0,830.0
12961,14:15.617,1,1393.0,612.0,1545.0,840.0
12962,14:15.650,1,1385.0,614.0,1537.0,843.0
12963,14:15.683,1,1384.0,613.0,1535.0,844.0
12964,14:15.717,1,1388.0,614.0,1541.0,846.0
12965,14:15.750,1,1400.0,622.0,1554.0,854.0
12966,14:15.783,1,1418.0,650.0,1572.0,874.0
12967,14:15.817,1,1443.0,668.0,1597.0,902.0
12968,14:15.850,1,1467.0,692.0,1625.0,919.0
12969,14:15.883,1,1491.0,698.0,1648.0,922.0
12970,14:15.917,1,1502.0,678.0,1660.0,909.0
12971,14:15.950,1,1507.0,657.0,1666.0,888.0
12972,14:15.983,1,1505.0,634.0,1664.0,864.0
12973,14:16.017,1,1503.0,617.0,1662.0,850.0
12974,14:16.050,1,1505.0,611.0,1664.0,846.0
12975,14:16.083,1,1509.0,605.0,1671.0,842.0
12976,14:16.117,1,1515.0,603.0,1677.0,840.0
12977,14:16.150,1,1517.0,599.0,1679.0,837.0
12978,14:16.183,1,1514.0,600.0,1677.0,839.0
12979,14:16.217,1,1510.0,598.0,1672.0,839.0
12980,14:16.250,1,1505.0,592.0,1668.0,833.0
12981,14:16.283,1,1502.0,590.0,1660.0,821.0
12982,14:16.317,1,1496.0,580.0,1655.0,815.0
12983,14:16.350,1,1492.0,575.0,1652.0,812.0
12984,14:16.383,1,1486.0,580.0,1646.0,810.0
12985,14:16.417,1,1478.0,573.0,1640.0,807.0
12986,14:16.450,1,1473.0,577.0,1632.0,810.0
12987,14:16.483,1,1464.0,577.0,1624.0,812.0
12988,14:16.517,1,1454.0,584.0,1613.0,815.0
12989,14:16.550,1,1443.0,586.0,1600.0,825.0
12990,14:16.583,1,1432.0,601.0,1588.0,837.0
12991,14:16.617,1,1415.0,618.0,1571.0,850.0
12992,14:16.650,1,1403.0,641.0,1558.0,869.0
12993,14:16.683,1,1392.0,655.0,1548.0,884.0
12994,14:16.717,1,1388.0,660.0,1544.0,893.0
12995,14:16.750,1,1389.0,661.0,1545.0,893.0
12996,14:16.783,1,1392.0,658.0,1549.0,889.0
12997,14:16.817,1,1394.0,655.0,1550.0,885.0
12998,14:16.852,1,1392.0,656.0,1548.0,883.0
12999,14:16.885,1,1386.0,651.0,1542.0,882.0
13000,14:16.918,1,1380.0,650.0,1533.0,886.0
13001,14:16.952,1,1366.0,658.0,1521.0,888.0
13002,14:16.985,1,1350.0,656.0,1505.0,889.0
13003,14:17.018,1,1339.0,661.0,1492.0,884.0
13004,14:17.052,1,1331.0,655.0,1485.0,882.0
13005,14:17.085,1,1329.0,653.0,1482.0,878.0
13006,14:17.118,1,1333.0,654.0,1486.0,874.0
13007,14:17.152,1,1340.0,655.0,1493.0,874.0
13008,14:17.185,1,1348.0,648.0,1501.0,873.0
