frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,008_detected,008_tl_x,008_tl_y,008_br_x,008_br_y,gaze_on_008,009_detected,009_tl_x,009_tl_y,009_br_x,009_br_y,gaze_on_009,010_detected,010_tl_x,010_tl_y,010_br_x,010_br_y,gaze_on_010,011_detected,011_tl_x,011_tl_y,011_br_x,011_br_y,gaze_on_011,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
7631,04:11.980,182.0,68.0,,,,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
7646,04:12.476,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,24,986,157,1129,False,False,,,,,False,False,,,,,False,False,,,,,False
7661,04:12.971,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,65,1003,199,1144,False,False,,,,,False,False,,,,,False,False,,,,,False
7676,04:13.466,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,40,985,165,1129,False,False,,,,,False,False,,,,,False,False,,,,,False
7691,04:13.962,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,87,948,210,1085,False,False,,,,,False,False,,,,,False,False,,,,,False
7706,04:14.457,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,True,-27,848,89,988,False
7721,04:14.952,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,True,-25,811,89,950,False
7736,04:15.447,1378.0,856.0,1196.0,788.0,1432.2569601855666,1,False,False,,,,,False,True,60,783,186,925,False,False,,,,,False,False,,,,,False,False,,,,,False
7751,04:15.943,1346.0,892.0,-32.0,36.0,48.16637831516918,1,False,False,,,,,False,True,-13,839,107,982,False,False,,,,,False,False,,,,,False,False,,,,,False
7766,04:16.438,1378.0,818.0,32.0,-74.0,80.62257748298549,1,False,False,,,,,False,True,11,879,139,1020,False,False,,,,,False,False,,,,,False,False,,,,,False
7781,04:16.933,1310.0,838.0,-68.0,20.0,70.88018058667741,1,False,False,,,,,False,True,9,873,139,1017,False,False,,,,,False,False,,,,,False,False,,,,,False
7796,04:17.429,182.0,68.0,-1128.0,-770.0,1365.754004204271,1,False,False,,,,,False,True,82,858,204,998,False,False,,,,,False,False,,,,,False,False,,,,,False
7811,04:17.924,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,73,868,195,1008,False,False,,,,,False,False,,,,,False,False,,,,,False
7826,04:18.419,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,74,865,194,1004,False,False,,,,,False,False,,,,,False,False,,,,,False
7841,04:18.915,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,162,844,295,992,False,False,,,,,False,False,,,,,False,False,,,,,False
7856,04:19.410,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,147,845,290,998,False,False,,,,,False,False,,,,,False,False,,,,,False
7871,04:19.905,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,148,845,283,991,False,False,,,,,False,False,,,,,False,False,,,,,False
7886,04:20.401,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,148,873,295,1022,False,False,,,,,False,False,,,,,False,False,,,,,False
