frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,008_detected,008_tl_x,008_tl_y,008_br_x,008_br_y,gaze_on_008,009_detected,009_tl_x,009_tl_y,009_br_x,009_br_y,gaze_on_009,010_detected,010_tl_x,010_tl_y,010_br_x,010_br_y,gaze_on_010,011_detected,011_tl_x,011_tl_y,011_br_x,011_br_y,gaze_on_011,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
3280,01:46.974,1090.0,682.0,,,,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3295,01:47.463,1530.0,542.0,440.0,-140.0,461.7358552246078,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3310,01:47.952,1514.0,546.0,-16.0,4.0,16.492422502470642,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3325,01:48.441,1696.0,746.0,182.0,200.0,270.4144966528237,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3340,01:48.931,1110.0,772.0,-586.0,26.0,586.576508223778,1,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,True,2310,832,2403,984,False
3355,01:49.420,,,,,,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3370,01:49.909,1314.0,478.0,,,,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3385,01:50.398,1402.0,448.0,88.0,-30.0,92.97311439335567,1,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,True,2180,617,2270,777,False
3400,01:50.887,1566.0,386.0,164.0,-62.0,175.32826355154492,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3415,01:51.377,1678.0,214.0,112.0,-172.0,205.25106577067996,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3430,01:51.866,1370.0,494.0,-308.0,280.0,416.2499249249181,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3445,01:52.355,1330.0,510.0,-40.0,16.0,43.08131845707604,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3460,01:52.844,1348.0,570.0,18.0,60.0,62.6418390534633,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3475,01:53.333,1516.0,494.0,168.0,-76.0,184.39088914585776,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3490,01:53.823,1686.0,754.0,170.0,260.0,310.64449134018133,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3505,01:54.312,726.0,910.0,-960.0,156.0,972.5924120617024,1,False,False,,,,,False,True,657,980,845,1206,False,False,,,,,False,False,,,,,False,False,,,,,False
3520,01:54.801,182.0,68.0,-544.0,-842.0,1002.4470060806208,1,False,False,,,,,False,True,927,783,1100,1000,False,False,,,,,False,False,,,,,False,False,,,,,False
3535,01:55.290,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,1231,465,1406,689,False,False,,,,,False,False,,,,,False,False,,,,,False
3550,01:55.780,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,1247,389,1411,624,False,False,,,,,False,False,,,,,False,False,,,,,False
3565,01:56.269,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,1215,439,1379,668,False,False,,,,,False,False,,,,,False,False,,,,,False
3580,01:56.758,,,,,,1,False,False,,,,,False,True,704,446,887,690,False,False,,,,,False,False,,,,,False,False,,,,,False
3595,01:57.247,1472.0,622.0,,,,1,False,False,,,,,False,False,,,,,False,True,2188,942,2354,1116,False,False,,,,,False,False,,,,,False
3610,01:57.736,1076.0,630.0,-396.0,8.0,396.0807998376089,1,False,False,,,,,False,False,,,,,False,True,1710,836,1839,999,False,False,,,,,False,False,,,,,False
3625,01:58.226,1346.0,638.0,270.0,8.0,270.11849251763573,1,False,False,,,,,False,False,,,,,False,True,2044,843,2203,1017,False,False,,,,,False,False,,,,,False
3640,01:58.715,182.0,68.0,-1164.0,-570.0,1296.0694425839997,1,False,False,,,,,False,False,,,,,False,True,2165,822,2339,1005,False,False,,,,,False,False,,,,,False
3655,01:59.204,182.0,68.0,0.0,0.0,0.0,0,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
3670,01:59.693,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,802,630,975,863,False,False,,,,,False,False,,,,,False,False,,,,,False
3685,02:00.182,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,True,942,624,1105,815,False,False,,,,,False,False,,,,,False,False,,,,,False
3700,02:00.672,,,,,,1,False,False,,,,,False,True,743,760,918,954,False,False,,,,,False,False,,,,,False,False,,,,,False
3715,02:01.161,1262.0,354.0,,,,1,False,False,,,,,False,False,,,,,False,True,1991,548,2156,728,False,False,,,,,False,False,,,,,False
3730,02:01.650,2084.0,314.0,822.0,-40.0,822.9726605422563,1,False,False,,,,,False,False,,,,,False,True,1364,382,1501,555,False,False,,,,,False,False,,,,,False
3745,02:02.139,534.0,510.0,-1550.0,196.0,1562.3431121235822,1,False,False,,,,,False,False,,,,,False,True,1376,802,1516,983,False,False,,,,,False,False,,,,,False
3760,02:02.628,1242.0,746.0,708.0,236.0,746.2975277997376,1,False,False,,,,,False,False,,,,,False,True,1372,780,1520,975,False,False,,,,,False,False,,,,,False
3775,02:03.118,1370.0,898.0,128.0,152.0,198.71587757398754,1,True,False,,,,,False,False,,,,,False,True,1295,800,1437,983,True,False,,,,,False,False,,,,,False
3790,02:03.607,1108.0,788.0,-262.0,-110.0,284.1548873413934,1,False,False,,,,,False,False,,,,,False,True,1299,937,1441,1130,False,False,,,,,False,False,,,,,False
3805,02:04.096,182.0,68.0,-926.0,-720.0,1172.9774081370877,1,False,False,,,,,False,False,,,,,False,True,1287,891,1433,1080,False,False,,,,,False,False,,,,,False
3820,02:04.585,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,True,1276,814,1419,1001,False,False,,,,,False,False,,,,,False
3835,02:05.074,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,True,1274,827,1423,1020,False,False,,,,,False,False,,,,,False
3850,02:05.564,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,True,1272,794,1410,979,False,False,,,,,False,False,,,,,False
3865,02:06.053,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,True,1220,851,1358,1039,False,False,,,,,False,False,,,,,False
3880,02:06.542,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,True,1218,1055,1366,1263,False,False,,,,,False,False,,,,,False
3895,02:07.031,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,True,1260,795,1400,983,False,False,,,,,False,False,,,,,False
3910,02:07.521,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,True,1323,826,1452,1000,False,False,,,,,False,False,,,,,False
3925,02:08.010,182.0,68.0,0.0,0.0,0.0,2,False,False,,,,,False,False,,,,,False,True,1057,705,1168,857,False,False,,,,,False,True,1799,617,2024,911,False
3940,02:08.499,182.0,68.0,0.0,0.0,0.0,2,False,False,,,,,False,False,,,,,False,True,1111,817,1218,962,False,True,1705,722,1834,958,False,False,,,,,False
3955,02:08.988,182.0,68.0,0.0,0.0,0.0,2,False,False,,,,,False,False,,,,,False,True,1132,825,1238,965,False,True,1652,731,1786,963,False,False,,,,,False
3970,02:09.477,182.0,68.0,0.0,0.0,0.0,2,False,False,,,,,False,False,,,,,False,True,1042,746,1144,875,False,True,1513,668,1644,882,False,False,,,,,False
3985,02:09.967,182.0,68.0,0.0,0.0,0.0,2,False,False,,,,,False,False,,,,,False,True,946,846,1040,973,False,True,1404,760,1551,964,False,False,,,,,False
