frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,008_detected,008_tl_x,008_tl_y,008_br_x,008_br_y,gaze_on_008,009_detected,009_tl_x,009_tl_y,009_br_x,009_br_y,gaze_on_009,010_detected,010_tl_x,010_tl_y,010_br_x,010_br_y,gaze_on_010,011_detected,011_tl_x,011_tl_y,011_br_x,011_br_y,gaze_on_011,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
14588,08:05.984,182.0,68.0,0.0,0.0,0.0,1,False,True,1210,609,1304,739,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14603,08:06.483,182.0,68.0,0.0,0.0,0.0,1,False,True,1204,583,1298,712,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14618,08:06.983,182.0,68.0,0.0,0.0,0.0,1,False,True,1187,567,1280,698,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14633,08:07.483,182.0,68.0,0.0,0.0,0.0,1,False,True,1184,534,1276,662,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14648,08:07.983,182.0,68.0,0.0,0.0,0.0,1,False,True,1188,542,1281,671,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14663,08:08.482,182.0,68.0,0.0,0.0,0.0,1,False,True,1220,530,1313,661,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14678,08:08.982,182.0,68.0,0.0,0.0,0.0,1,False,True,1238,563,1331,692,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14693,08:09.482,182.0,68.0,0.0,0.0,0.0,1,False,True,1252,545,1345,671,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14708,08:09.981,182.0,68.0,0.0,0.0,0.0,1,False,True,1271,589,1364,709,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14723,08:10.481,182.0,68.0,0.0,0.0,0.0,2,False,True,1297,625,1389,748,False,False,,,,,False,False,,,,,False,False,,,,,False,True,-79,527,116,778,False
14738,08:10.981,182.0,68.0,0.0,0.0,0.0,2,False,True,1277,644,1369,771,False,False,,,,,False,False,,,,,False,False,,,,,False,True,-78,537,101,792,False
14753,08:11.481,182.0,68.0,0.0,0.0,0.0,1,False,True,1273,645,1366,777,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14768,08:11.980,182.0,68.0,0.0,0.0,0.0,1,False,True,1284,666,1378,798,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14783,08:12.480,182.0,68.0,0.0,0.0,0.0,2,False,True,1323,664,1416,795,False,False,,,,,False,False,,,,,False,False,,,,,False,True,-63,561,151,829,False
14798,08:12.980,182.0,68.0,0.0,0.0,0.0,1,False,True,1265,649,1358,782,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14813,08:13.479,182.0,68.0,0.0,0.0,0.0,1,False,True,1250,654,1342,785,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
14828,08:13.979,182.0,68.0,0.0,0.0,0.0,1,False,True,1133,599,1227,733,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False
