frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
1976,02:06.295,1,637.0,887.0,780.0,1078.0
1977,02:06.328,1,637.0,888.0,781.0,1078.0
1978,02:06.362,1,637.0,887.0,780.0,1078.0
1979,02:06.395,1,636.0,886.0,780.0,1078.0
1980,02:06.428,1,635.0,886.0,780.0,1079.0
1981,02:06.462,1,635.0,888.0,779.0,1080.0
1982,02:06.495,1,635.0,889.0,780.0,1082.0
1983,02:06.528,1,637.0,890.0,781.0,1083.0
1984,02:06.562,1,637.0,889.0,782.0,1083.0
1985,02:06.595,1,637.0,889.0,783.0,1083.0
1986,02:06.628,1,637.0,888.0,782.0,1082.0
1987,02:06.662,1,636.0,886.0,782.0,1081.0
1988,02:06.695,1,635.0,884.0,782.0,1078.0
1989,02:06.728,1,635.0,883.0,781.0,1077.0
1990,02:06.762,1,636.0,883.0,781.0,1076.0
1991,02:06.795,1,635.0,883.0,782.0,1076.0
1992,02:06.828,1,635.0,883.0,782.0,1076.0
1993,02:06.862,1,635.0,883.0,781.0,1075.0
1998,02:07.028,1,635.0,885.0,781.0,1077.0
2013,02:07.528,1,631.0,888.0,776.0,1086.0
2028,02:08.028,1,610.0,883.0,757.0,1082.0
2043,02:08.528,1,601.0,879.0,752.0,1079.0
2058,02:09.028,1,629.0,883.0,773.0,1080.0
2073,02:09.530,1,639.0,899.0,786.0,1092.0
2088,02:10.030,1,641.0,899.0,788.0,1094.0
2103,02:10.530,1,636.0,897.0,783.0,1092.0
2118,02:11.030,1,638.0,877.0,783.0,1066.0
2133,02:11.530,1,647.0,830.0,785.0,1002.0
2148,02:12.030,1,597.0,850.0,735.0,1037.0
2161,02:12.505,1,35.0,930.0,203.0,1135.0
2177,02:13.030,1,-30.0,952.0,122.0,1161.0
2192,02:13.532,1,-28.0,892.0,133.0,1112.0
2207,02:14.032,1,-6.0,886.0,169.0,1102.0
2221,02:14.532,1,534.0,822.0,683.0,1021.0
2236,02:15.032,1,784.0,821.0,920.0,1009.0
2251,02:15.532,1,753.0,840.0,888.0,1032.0
2266,02:16.032,0,,,,
2281,02:16.532,1,1219.0,863.0,1348.0,1046.0
2295,02:17.032,1,1189.0,860.0,1318.0,1040.0
2309,02:17.500,1,1179.0,879.0,1308.0,1056.0
2324,02:18.000,1,1152.0,833.0,1281.0,1009.0
2339,02:18.500,1,1143.0,1062.0,1272.0,1246.0
2354,02:19.000,1,1141.0,804.0,1269.0,979.0
2369,02:19.500,1,1119.0,859.0,1247.0,1032.0
2384,02:20.000,1,1122.0,932.0,1251.0,1108.0
2399,02:20.500,1,1116.0,1000.0,1246.0,1187.0
2414,02:21.000,1,1121.0,1002.0,1252.0,1188.0
2430,02:21.527,1,1120.0,996.0,1250.0,1180.0
2445,02:22.027,1,1109.0,1002.0,1239.0,1188.0
2460,02:22.527,1,1098.0,985.0,1228.0,1168.0
2475,02:23.027,1,1104.0,995.0,1234.0,1178.0
2490,02:23.527,1,1120.0,975.0,1251.0,1157.0
2505,02:24.027,1,1118.0,947.0,1247.0,1130.0
2520,02:24.527,1,1129.0,937.0,1259.0,1114.0
2535,02:25.027,1,1076.0,985.0,1216.0,1170.0
2550,02:25.528,1,1096.0,980.0,1233.0,1161.0
2565,02:26.028,1,1091.0,1103.0,1229.0,1294.0
2580,02:26.528,1,1071.0,987.0,1206.0,1169.0
2595,02:27.028,1,1083.0,1043.0,1216.0,1225.0
2610,02:27.528,1,1060.0,995.0,1198.0,1175.0
2625,02:28.028,1,1067.0,999.0,1205.0,1188.0
2640,02:28.528,1,1088.0,931.0,1223.0,1110.0
2655,02:29.028,1,1101.0,965.0,1235.0,1145.0
2670,02:29.530,1,1110.0,1000.0,1243.0,1186.0
2685,02:30.030,1,1089.0,1015.0,1223.0,1199.0
2700,02:30.530,1,1100.0,998.0,1230.0,1177.0
2715,02:31.030,1,1087.0,1025.0,1220.0,1206.0
2730,02:31.530,1,1092.0,982.0,1224.0,1163.0
2745,02:32.030,1,1085.0,1040.0,1218.0,1223.0
2760,02:32.530,1,1055.0,1001.0,1185.0,1177.0
2775,02:33.032,1,874.0,1119.0,1011.0,1311.0
2790,02:33.532,1,859.0,1109.0,1005.0,1303.0
2805,02:34.032,1,1039.0,1086.0,1180.0,1275.0
2820,02:34.532,1,1081.0,909.0,1217.0,1092.0
2835,02:35.032,1,1090.0,840.0,1225.0,1020.0
2850,02:35.532,1,1126.0,959.0,1261.0,1142.0
2865,02:36.032,1,1076.0,962.0,1206.0,1147.0
2880,02:36.532,1,1068.0,958.0,1199.0,1142.0
2894,02:37.000,1,1093.0,969.0,1220.0,1146.0
2909,02:37.500,1,1217.0,895.0,1345.0,1073.0
2924,02:38.000,1,1128.0,987.0,1257.0,1167.0
2939,02:38.500,1,1154.0,987.0,1286.0,1168.0
2954,02:39.000,1,1141.0,1002.0,1272.0,1176.0
2969,02:39.500,1,1159.0,992.0,1295.0,1170.0
2984,02:40.000,1,1126.0,978.0,1258.0,1154.0
2999,02:40.500,1,1117.0,943.0,1250.0,1124.0
3015,02:41.027,1,1113.0,960.0,1245.0,1138.0
3030,02:41.527,1,1085.0,972.0,1218.0,1152.0
3045,02:42.027,1,1072.0,981.0,1202.0,1164.0
3060,02:42.527,1,1054.0,998.0,1188.0,1183.0
3075,02:43.027,1,1056.0,976.0,1188.0,1159.0
3090,02:43.527,1,1078.0,997.0,1208.0,1184.0
3105,02:44.027,1,1850.0,576.0,2012.0,777.0
3120,02:44.527,0,,,,
3131,02:45.003,0,,,,
3148,02:45.528,0,,,,
3162,02:46.028,1,581.0,950.0,733.0,1147.0
3176,02:46.528,1,1052.0,940.0,1185.0,1124.0
3191,02:47.028,1,1096.0,967.0,1229.0,1156.0
3206,02:47.528,1,1090.0,975.0,1221.0,1162.0
3221,02:48.028,1,575.0,998.0,726.0,1198.0
3236,02:48.528,0,,,,
3251,02:49.030,0,,,,
3266,02:49.530,0,,,,
3278,02:50.013,1,218.0,1331.0,404.0,1510.0
3295,02:50.530,1,1195.0,1054.0,1324.0,1243.0
3310,02:51.030,1,1170.0,1010.0,1303.0,1199.0
3325,02:51.530,1,1155.0,1010.0,1287.0,1198.0
3340,02:52.030,1,1142.0,1047.0,1275.0,1234.0
3355,02:52.530,1,1128.0,1061.0,1261.0,1248.0
3370,02:53.032,1,1120.0,1064.0,1254.0,1247.0
3385,02:53.532,1,1109.0,1061.0,1244.0,1249.0
3400,02:54.032,1,1107.0,1042.0,1242.0,1228.0
3415,02:54.532,1,1099.0,1015.0,1235.0,1206.0
3430,02:55.032,1,1100.0,1032.0,1233.0,1219.0
3445,02:55.532,1,1116.0,1066.0,1247.0,1247.0
3460,02:56.032,1,1041.0,1030.0,1176.0,1223.0
3475,02:56.532,1,1065.0,1019.0,1200.0,1210.0
3489,02:57.000,1,1072.0,997.0,1207.0,1185.0
3504,02:57.500,1,1065.0,989.0,1201.0,1178.0
3519,02:58.000,1,1058.0,920.0,1191.0,1108.0
3534,02:58.500,1,1051.0,992.0,1185.0,1178.0
3549,02:59.000,1,1058.0,970.0,1192.0,1161.0
3564,02:59.500,1,1089.0,1092.0,1224.0,1285.0
3579,03:00.000,1,1064.0,1064.0,1201.0,1260.0
3595,03:00.525,1,1119.0,933.0,1256.0,1116.0
3610,03:01.027,1,1135.0,960.0,1272.0,1151.0
3625,03:01.527,1,1087.0,1028.0,1222.0,1215.0
3640,03:02.027,1,1090.0,985.0,1226.0,1175.0
3655,03:02.527,1,1092.0,978.0,1224.0,1160.0
3670,03:03.027,1,1066.0,911.0,1197.0,1089.0
3685,03:03.527,1,1075.0,960.0,1205.0,1142.0
3700,03:04.027,1,1101.0,968.0,1230.0,1147.0
3715,03:04.527,1,1077.0,1030.0,1206.0,1214.0
3730,03:05.028,1,1087.0,938.0,1217.0,1121.0
3745,03:05.528,1,1133.0,951.0,1263.0,1129.0
3761,03:06.028,1,1163.0,972.0,1295.0,1156.0
3776,03:06.528,1,1169.0,983.0,1300.0,1166.0
3791,03:07.028,1,1165.0,997.0,1297.0,1180.0
3806,03:07.528,1,1165.0,1000.0,1294.0,1184.0
3821,03:08.028,1,1166.0,911.0,1294.0,1088.0
3836,03:08.528,1,1148.0,901.0,1278.0,1082.0
3851,03:09.030,1,1126.0,905.0,1260.0,1087.0
3866,03:09.530,1,1129.0,907.0,1263.0,1096.0
3881,03:10.030,1,1129.0,970.0,1261.0,1157.0
3896,03:10.530,1,1135.0,987.0,1266.0,1170.0
