frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
12680,06:52.973,1,573.0,695.0,699.0,853.0,,,,
12695,06:53.461,1,677.0,585.0,795.0,743.0,,,,
12710,06:53.950,1,846.0,397.0,964.0,557.0,,,,
12725,06:54.438,1,1024.0,514.0,1130.0,670.0,,,,
12740,06:54.927,1,1185.0,312.0,1299.0,477.0,,,,
12755,06:55.415,2,1196.0,504.0,1303.0,653.0,-86.0,430.0,161.0,748.0
12770,06:55.904,1,1193.0,290.0,1306.0,447.0,,,,
12785,06:56.392,1,1147.0,352.0,1259.0,506.0,,,,
12800,06:56.881,1,1154.0,351.0,1267.0,508.0,,,,
12815,06:57.369,1,1160.0,358.0,1273.0,516.0,,,,
12830,06:57.858,1,1030.0,458.0,1139.0,610.0,,,,
12845,06:58.346,1,732.0,565.0,849.0,716.0,,,,
12860,06:58.835,1,450.0,461.0,584.0,626.0,,,,
12875,06:59.324,0,,,,,,,,
12890,06:59.812,0,,,,,,,,
12905,07:00.301,1,-14.0,535.0,150.0,720.0,,,,
12920,07:00.789,1,4.0,501.0,170.0,683.0,,,,
12935,07:01.278,1,55.0,524.0,223.0,709.0,,,,
12950,07:01.766,1,73.0,519.0,237.0,702.0,,,,
12965,07:02.255,1,84.0,524.0,248.0,706.0,,,,
12980,07:02.743,1,112.0,526.0,273.0,707.0,,,,
12995,07:03.232,1,120.0,540.0,281.0,719.0,,,,
13010,07:03.720,1,137.0,456.0,296.0,636.0,,,,
13025,07:04.209,1,298.0,495.0,442.0,668.0,,,,
13040,07:04.697,1,357.0,533.0,498.0,710.0,,,,
13055,07:05.186,1,330.0,565.0,475.0,736.0,,,,
13070,07:05.674,1,151.0,592.0,310.0,769.0,,,,
13085,07:06.163,1,153.0,599.0,312.0,773.0,,,,
13100,07:06.652,0,,,,,,,,
13115,07:07.140,0,,,,,,,,
13130,07:07.629,1,814.0,694.0,929.0,843.0,,,,
13145,07:08.117,1,1083.0,635.0,1191.0,782.0,,,,
13160,07:08.606,2,1593.0,619.0,1710.0,771.0,484.0,633.0,676.0,895.0
13175,07:09.094,1,1162.0,624.0,1266.0,768.0,,,,
13190,07:09.583,1,1103.0,651.0,1207.0,794.0,,,,
13205,07:10.071,1,1069.0,633.0,1174.0,781.0,,,,
13220,07:10.560,1,1044.0,620.0,1148.0,764.0,,,,
13235,07:11.048,1,1058.0,607.0,1163.0,750.0,,,,
13250,07:11.537,1,1084.0,600.0,1188.0,748.0,,,,
13265,07:12.025,1,1070.0,599.0,1174.0,751.0,,,,
13280,07:12.514,1,1063.0,604.0,1168.0,757.0,,,,
13295,07:13.002,1,1057.0,608.0,1161.0,752.0,,,,
13310,07:13.491,1,1054.0,618.0,1158.0,770.0,,,,
13325,07:13.980,1,1061.0,622.0,1166.0,773.0,,,,
13340,07:14.468,1,1064.0,624.0,1170.0,773.0,,,,
13355,07:14.957,1,1049.0,621.0,1153.0,764.0,,,,
13370,07:15.445,1,1046.0,625.0,1152.0,772.0,,,,
13385,07:15.934,1,1045.0,629.0,1151.0,776.0,,,,
13400,07:16.422,1,1046.0,630.0,1151.0,775.0,,,,
13415,07:16.911,1,1052.0,635.0,1155.0,779.0,,,,
13430,07:17.399,1,1050.0,635.0,1153.0,779.0,,,,
